session_id,utterance_id,role,content,timestamp
peofbzx,0,background,[unclear],00:00:00
peofbzx,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
peofbzx,2,student,"Yes, I think so.",00:00:16
peofbzx,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
peofbzx,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
peofbzx,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
peofbzx,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
peofbzx,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
peofbzx,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
peofbzx,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
peofbzx,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
peofbzx,11,tutor,What do you notice about these two numbers?,00:01:28
peofbzx,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
peofbzx,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
peofbzx,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
peofbzx,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
peofbzx,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
peofbzx,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
peofbzx,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
peofbzx,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
peofbzx,20,student,No,00:02:40
peofbzx,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
peofbzx,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
peofbzx,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
peofbzx,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
peofbzx,25,tutor,What do you notice about these two numbers?,00:03:20
peofbzx,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
peofbzx,27,tutor,What do you notice about these two numbers?,00:03:36
peofbzx,28,student,6?,00:03:44
peofbzx,29,tutor,Uh-huh. And what would you do next?,00:03:52
peofbzx,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
peofbzx,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
peofbzx,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
peofbzx,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
peofbzx,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
peofbzx,35,tutor,Can you talk me through how you got that answer?,00:04:40
peofbzx,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
peofbzx,37,tutor,Can you talk me through how you got that answer?,00:04:56
peofbzx,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
peofbzx,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
peofbzx,40,student,Maybe I should compare them as decimals first.,00:05:20
peofbzx,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
peofbzx,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
peofbzx,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
peofbzx,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
peofbzx,45,tutor,Can you talk me through how you got that answer?,00:06:00
peofbzx,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
peofbzx,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
peofbzx,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
peofbzx,49,tutor,Can you talk me through how you got that answer?,00:06:32
peofbzx,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
peofbzx,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
peofbzx,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
peofbzx,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
peofbzx,54,student,Yes,00:07:12
peofbzx,55,tutor,Uh-huh. And what would you do next?,00:07:20
peofbzx,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
peofbzx,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
peofbzx,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
peofbzx,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
peofbzx,60,student,Maybe I should compare them as decimals first.,00:08:00
peofbzx,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
peofbzx,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
peofbzx,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
peofbzx,64,student,300?,00:08:32
peofbzx,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
peofbzx,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
peofbzx,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
peofbzx,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
peofbzx,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
peofbzx,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
peofbzx,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
