session_id,utterance_id,role,content,timestamp
jrvewsc,0,background,[unclear],00:00:00
jrvewsc,1,tutor,"Hello, are you ready to get started today?",00:00:08
jrvewsc,2,student,"Yes, I think so.",00:00:16
jrvewsc,3,tutor,Can you talk me through how you got that answer?,00:00:24
jrvewsc,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
jrvewsc,5,tutor,Uh-huh. And what would you do next?,00:00:40
jrvewsc,6,student,Is it 4?,00:00:48
jrvewsc,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
jrvewsc,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
jrvewsc,9,tutor,What do you notice about these two numbers?,00:01:12
jrvewsc,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
jrvewsc,11,tutor,Can you talk me through how you got that answer?,00:01:28
jrvewsc,12,student,6?,00:01:36
jrvewsc,13,tutor,What do you notice about these two numbers?,00:01:44
jrvewsc,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
jrvewsc,15,tutor,Uh-huh. And what would you do next?,00:02:00
jrvewsc,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
jrvewsc,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
jrvewsc,18,student,6?,00:02:24
jrvewsc,19,tutor,Can you talk me through how you got that answer?,00:02:32
jrvewsc,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
jrvewsc,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
jrvewsc,22,student,6?,00:02:56
jrvewsc,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
jrvewsc,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
jrvewsc,25,tutor,Can you talk me through how you got that answer?,00:03:20
jrvewsc,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
jrvewsc,27,tutor,Can you talk me through how you got that answer?,00:03:36
jrvewsc,28,student,Half?,00:03:44
jrvewsc,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
jrvewsc,30,student,Half?,00:04:00
jrvewsc,31,tutor,Can you talk me through how you got that answer?,00:04:08
jrvewsc,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
jrvewsc,33,tutor,Uh-huh. And what would you do next?,00:04:24
jrvewsc,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
jrvewsc,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
jrvewsc,36,student,6?,00:04:48
jrvewsc,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
jrvewsc,38,student,6?,00:05:04
jrvewsc,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
jrvewsc,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
jrvewsc,41,tutor,What do you notice about these two numbers?,00:05:28
jrvewsc,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
jrvewsc,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
jrvewsc,44,student,Is it 4?,00:05:52
jrvewsc,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
jrvewsc,46,student,75.,00:06:08
jrvewsc,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
jrvewsc,48,student,Maybe I should compare them as decimals first.,00:06:24
jrvewsc,49,tutor,What do you notice about these two numbers?,00:06:32
jrvewsc,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
jrvewsc,51,tutor,What do you notice about these two numbers?,00:06:48
jrvewsc,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
jrvewsc,53,tutor,Uh-huh. And what would you do next?,00:07:04
jrvewsc,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
jrvewsc,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
jrvewsc,56,student,Yes,00:07:28
jrvewsc,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
jrvewsc,58,student,Yes,00:07:44
jrvewsc,59,tutor,Can you talk me through how you got that answer?,00:07:52
jrvewsc,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
jrvewsc,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
