session_id,utterance_id,role,content,timestamp
tcwfzwl,0,background,[unclear],00:00:00
tcwfzwl,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
tcwfzwl,2,student,"Yes, I think so.",00:00:16
tcwfzwl,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
tcwfzwl,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
tcwfzwl,5,tutor,Uh-huh. And what would you do next?,00:00:40
tcwfzwl,6,student,Maybe I should compare them as decimals first.,00:00:48
tcwfzwl,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
tcwfzwl,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
tcwfzwl,9,tutor,Uh-huh. And what would you do next?,00:01:12
tcwfzwl,10,student,Okay,00:01:20
tcwfzwl,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
tcwfzwl,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
tcwfzwl,13,tutor,Can you talk me through how you got that answer?,00:01:44
tcwfzwl,14,student,75.,00:01:52
tcwfzwl,15,tutor,Uh-huh. And what would you do next?,00:02:00
tcwfzwl,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
tcwfzwl,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
tcwfzwl,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
tcwfzwl,19,tutor,Uh-huh. And what would you do next?,00:02:32
tcwfzwl,20,student,12.,00:02:40
tcwfzwl,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
tcwfzwl,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
tcwfzwl,23,tutor,What do you notice about these two numbers?,00:03:04
tcwfzwl,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
tcwfzwl,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
tcwfzwl,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
tcwfzwl,27,tutor,What do you notice about these two numbers?,00:03:36
tcwfzwl,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
tcwfzwl,29,tutor,Uh-huh. And what would you do next?,00:03:52
tcwfzwl,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
tcwfzwl,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
tcwfzwl,32,student,Is it 4?,00:04:16
tcwfzwl,33,tutor,What do you notice about these two numbers?,00:04:24
tcwfzwl,34,student,Maybe I should compare them as decimals first.,00:04:32
tcwfzwl,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
tcwfzwl,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
tcwfzwl,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
tcwfzwl,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
tcwfzwl,39,tutor,Uh-huh. And what would you do next?,00:05:12
tcwfzwl,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
tcwfzwl,41,tutor,Can you talk me through how you got that answer?,00:05:28
tcwfzwl,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
tcwfzwl,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
tcwfzwl,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
tcwfzwl,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
tcwfzwl,46,student,Yes,00:06:08
tcwfzwl,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
tcwfzwl,48,student,12.,00:06:24
tcwfzwl,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
tcwfzwl,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
tcwfzwl,51,tutor,What do you notice about these two numbers?,00:06:48
tcwfzwl,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
tcwfzwl,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
tcwfzwl,54,student,No,00:07:12
tcwfzwl,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
tcwfzwl,56,student,300?,00:07:28
tcwfzwl,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
tcwfzwl,58,student,Maybe I should compare them as decimals first.,00:07:44
tcwfzwl,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
tcwfzwl,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
tcwfzwl,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
tcwfzwl,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
tcwfzwl,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
tcwfzwl,64,student,300?,00:08:32
tcwfzwl,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
tcwfzwl,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
tcwfzwl,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
tcwfzwl,68,student,Half?,00:09:04
tcwfzwl,69,tutor,Can you talk me through how you got that answer?,00:09:12
tcwfzwl,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
tcwfzwl,71,tutor,Uh-huh. And what would you do next?,00:09:28
tcwfzwl,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
tcwfzwl,73,tutor,Can you talk me through how you got that answer?,00:09:44
tcwfzwl,74,student,Okay,00:09:52
tcwfzwl,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
tcwfzwl,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
tcwfzwl,77,tutor,What do you notice about these two numbers?,00:10:16
tcwfzwl,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
tcwfzwl,79,tutor,Uh-huh. And what would you do next?,00:10:32
tcwfzwl,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
tcwfzwl,81,tutor,Can you talk me through how you got that answer?,00:10:48
tcwfzwl,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
tcwfzwl,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
tcwfzwl,84,student,Maybe I should compare them as decimals first.,00:11:12
tcwfzwl,85,tutor,What do you notice about these two numbers?,00:11:20
tcwfzwl,86,student,Half?,00:11:28
tcwfzwl,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
tcwfzwl,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
tcwfzwl,89,tutor,Uh-huh. And what would you do next?,00:11:52
tcwfzwl,90,student,Maybe I should compare them as decimals first.,00:12:00
tcwfzwl,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
tcwfzwl,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
tcwfzwl,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
tcwfzwl,94,student,Yes,00:12:32
tcwfzwl,95,tutor,Can you talk me through how you got that answer?,00:12:40
tcwfzwl,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
tcwfzwl,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
tcwfzwl,98,student,6?,00:13:04
tcwfzwl,99,tutor,So let me ask you first. Do you know what a fact family is?,00:13:12
tcwfzwl,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
tcwfzwl,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
tcwfzwl,102,student,Maybe I should compare them as decimals first.,00:13:36
tcwfzwl,103,tutor,What do you notice about these two numbers?,00:13:44
tcwfzwl,104,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:52
tcwfzwl,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
tcwfzwl,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
tcwfzwl,107,tutor,Can you talk me through how you got that answer?,00:14:16
tcwfzwl,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
tcwfzwl,109,tutor,Uh-huh. And what would you do next?,00:14:32
tcwfzwl,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
tcwfzwl,111,tutor,Remember what we said about the denominator. What happens here?,00:14:48
tcwfzwl,112,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:56
tcwfzwl,113,tutor,So let me ask you first. Do you know what a fact family is?,00:15:04
tcwfzwl,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
tcwfzwl,115,tutor,Can you talk me through how you got that answer?,00:15:20
tcwfzwl,116,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:28
tcwfzwl,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
tcwfzwl,118,student,I'm not sure. Is it because 10 has one zero?,00:15:44
tcwfzwl,119,tutor,"Good thinking. Now, is that answer reasonable?",00:15:52
tcwfzwl,120,student,"I would divide it by 100, so the answer is 3.45.",00:16:00
tcwfzwl,121,tutor,Can you talk me through how you got that answer?,00:16:08
tcwfzwl,122,student,I'm not sure. Is it because 10 has one zero?,00:16:16
tcwfzwl,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
tcwfzwl,124,student,300?,00:16:32
tcwfzwl,125,tutor,Uh-huh. And what would you do next?,00:16:40
tcwfzwl,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
tcwfzwl,127,tutor,Remember what we said about the denominator. What happens here?,00:16:56
tcwfzwl,128,student,"I would divide it by 100, so the answer is 3.45.",00:17:04
tcwfzwl,129,tutor,Can you talk me through how you got that answer?,00:17:12
tcwfzwl,130,student,Yes,00:17:20
tcwfzwl,131,tutor,Remember what we said about the denominator. What happens here?,00:17:28
tcwfzwl,132,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:36
tcwfzwl,133,tutor,Remember what we said about the denominator. What happens here?,00:17:44
tcwfzwl,134,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:52
tcwfzwl,135,tutor,Uh-huh. And what would you do next?,00:18:00
tcwfzwl,136,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:08
tcwfzwl,137,tutor,Remember what we said about the denominator. What happens here?,00:18:16
tcwfzwl,138,student,6?,00:18:24
tcwfzwl,139,tutor,Remember what we said about the denominator. What happens here?,00:18:32
tcwfzwl,140,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:40
tcwfzwl,141,tutor,So let me ask you first. Do you know what a fact family is?,00:18:48
