session_id,utterance_id,role,content,timestamp
cgsrldm,0,background,[unclear],00:00:00
cgsrldm,1,tutor,"Hello, are you ready to get started today?",00:00:08
cgsrldm,2,student,"Yes, I think so.",00:00:16
cgsrldm,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
cgsrldm,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
cgsrldm,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
cgsrldm,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
cgsrldm,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
cgsrldm,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
cgsrldm,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
cgsrldm,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
cgsrldm,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
cgsrldm,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
cgsrldm,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
cgsrldm,14,student,75.,00:01:52
cgsrldm,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
cgsrldm,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
cgsrldm,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
cgsrldm,18,student,Maybe I should compare them as decimals first.,00:02:24
cgsrldm,19,tutor,What do you notice about these two numbers?,00:02:32
cgsrldm,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
cgsrldm,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
cgsrldm,22,student,Maybe I should compare them as decimals first.,00:02:56
cgsrldm,23,tutor,What do you notice about these two numbers?,00:03:04
cgsrldm,24,student,Maybe I should compare them as decimals first.,00:03:12
cgsrldm,25,tutor,Can you talk me through how you got that answer?,00:03:20
cgsrldm,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
cgsrldm,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
cgsrldm,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
cgsrldm,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
cgsrldm,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
cgsrldm,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
cgsrldm,32,student,Maybe I should compare them as decimals first.,00:04:16
cgsrldm,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
cgsrldm,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
cgsrldm,35,tutor,What do you notice about these two numbers?,00:04:40
cgsrldm,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
cgsrldm,37,tutor,What do you notice about these two numbers?,00:04:56
cgsrldm,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
cgsrldm,39,tutor,Can you talk me through how you got that answer?,00:05:12
cgsrldm,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
cgsrldm,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
cgsrldm,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
cgsrldm,43,tutor,Uh-huh. And what would you do next?,00:05:44
cgsrldm,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
cgsrldm,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
cgsrldm,46,student,6?,00:06:08
cgsrldm,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
cgsrldm,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
cgsrldm,49,tutor,Uh-huh. And what would you do next?,00:06:32
cgsrldm,50,student,75.,00:06:40
cgsrldm,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
cgsrldm,52,student,Maybe I should compare them as decimals first.,00:06:56
cgsrldm,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
cgsrldm,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
cgsrldm,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
cgsrldm,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
cgsrldm,57,tutor,What do you notice about these two numbers?,00:07:36
cgsrldm,58,student,Maybe I should compare them as decimals first.,00:07:44
cgsrldm,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
cgsrldm,60,student,Okay,00:08:00
cgsrldm,61,tutor,Uh-huh. And what would you do next?,00:08:08
cgsrldm,62,student,Maybe I should compare them as decimals first.,00:08:16
cgsrldm,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
cgsrldm,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
cgsrldm,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
cgsrldm,66,student,Maybe I should compare them as decimals first.,00:08:48
cgsrldm,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
