session_id,utterance_id,role,content,timestamp
vjynqfz,0,background,[unclear],00:00:00
vjynqfz,1,tutor,"Hello, are you ready to get started today?",00:00:08
vjynqfz,2,student,"Yes, I think so.",00:00:16
vjynqfz,3,tutor,Uh-huh. And what would you do next?,00:00:24
vjynqfz,4,student,75.,00:00:32
vjynqfz,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
vjynqfz,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
vjynqfz,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
vjynqfz,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
vjynqfz,9,tutor,Can you talk me through how you got that answer?,00:01:12
vjynqfz,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
vjynqfz,11,tutor,Uh-huh. And what would you do next?,00:01:28
vjynqfz,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
vjynqfz,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
vjynqfz,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
vjynqfz,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
vjynqfz,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
vjynqfz,17,tutor,What do you notice about these two numbers?,00:02:16
vjynqfz,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
vjynqfz,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
vjynqfz,20,student,Is it 4?,00:02:40
vjynqfz,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
vjynqfz,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
vjynqfz,23,tutor,What do you notice about these two numbers?,00:03:04
vjynqfz,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
vjynqfz,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
vjynqfz,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
vjynqfz,27,tutor,Uh-huh. And what would you do next?,00:03:36
vjynqfz,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
vjynqfz,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
vjynqfz,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
vjynqfz,31,tutor,Can you talk me through how you got that answer?,00:04:08
vjynqfz,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
vjynqfz,33,tutor,Uh-huh. And what would you do next?,00:04:24
vjynqfz,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
vjynqfz,35,tutor,What do you notice about these two numbers?,00:04:40
vjynqfz,36,student,Is it 4?,00:04:48
vjynqfz,37,tutor,What do you notice about these two numbers?,00:04:56
vjynqfz,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
vjynqfz,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
vjynqfz,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
vjynqfz,41,tutor,Uh-huh. And what would you do next?,00:05:28
vjynqfz,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
vjynqfz,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
vjynqfz,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
vjynqfz,45,tutor,Can you talk me through how you got that answer?,00:06:00
vjynqfz,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
vjynqfz,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
vjynqfz,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
vjynqfz,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
vjynqfz,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
