session_id,utterance_id,role,content,timestamp
atjhtit,0,background,[unclear],00:00:00
atjhtit,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
atjhtit,2,student,"Yes, I think so.",00:00:16
atjhtit,3,tutor,What do you notice about these two numbers?,00:00:24
atjhtit,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
atjhtit,5,tutor,What do you notice about these two numbers?,00:00:40
atjhtit,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
atjhtit,7,tutor,Can you talk me through how you got that answer?,00:00:56
atjhtit,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
atjhtit,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
atjhtit,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
atjhtit,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
atjhtit,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
atjhtit,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
atjhtit,14,student,Maybe I should compare them as decimals first.,00:01:52
atjhtit,15,tutor,What do you notice about these two numbers?,00:02:00
atjhtit,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
atjhtit,17,tutor,Can you talk me through how you got that answer?,00:02:16
atjhtit,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
atjhtit,19,tutor,Uh-huh. And what would you do next?,00:02:32
atjhtit,20,student,Maybe I should compare them as decimals first.,00:02:40
atjhtit,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
atjhtit,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
atjhtit,23,tutor,Can you talk me through how you got that answer?,00:03:04
atjhtit,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
atjhtit,25,tutor,What do you notice about these two numbers?,00:03:20
atjhtit,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
atjhtit,27,tutor,Can you talk me through how you got that answer?,00:03:36
atjhtit,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
atjhtit,29,tutor,What do you notice about these two numbers?,00:03:52
atjhtit,30,student,300?,00:04:00
atjhtit,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
atjhtit,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
atjhtit,33,tutor,What do you notice about these two numbers?,00:04:24
atjhtit,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
atjhtit,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
atjhtit,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
atjhtit,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
atjhtit,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
atjhtit,39,tutor,What do you notice about these two numbers?,00:05:12
atjhtit,40,student,Maybe I should compare them as decimals first.,00:05:20
atjhtit,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
