session_id,utterance_id,role,content,timestamp
vnzwmvl,0,background,[unclear],00:00:00
vnzwmvl,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
vnzwmvl,2,student,"Yes, I think so.",00:00:16
vnzwmvl,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
vnzwmvl,4,student,Is it 4?,00:00:32
vnzwmvl,5,tutor,Can you talk me through how you got that answer?,00:00:40
vnzwmvl,6,student,300?,00:00:48
vnzwmvl,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
vnzwmvl,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
vnzwmvl,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
vnzwmvl,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
vnzwmvl,11,tutor,What do you notice about these two numbers?,00:01:28
vnzwmvl,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
vnzwmvl,13,tutor,Uh-huh. And what would you do next?,00:01:44
vnzwmvl,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
vnzwmvl,15,tutor,Can you talk me through how you got that answer?,00:02:00
vnzwmvl,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
vnzwmvl,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
vnzwmvl,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
vnzwmvl,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
vnzwmvl,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
vnzwmvl,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
vnzwmvl,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
vnzwmvl,23,tutor,Uh-huh. And what would you do next?,00:03:04
vnzwmvl,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
vnzwmvl,25,tutor,What do you notice about these two numbers?,00:03:20
vnzwmvl,26,student,Maybe I should compare them as decimals first.,00:03:28
vnzwmvl,27,tutor,What do you notice about these two numbers?,00:03:36
vnzwmvl,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
vnzwmvl,29,tutor,Uh-huh. And what would you do next?,00:03:52
vnzwmvl,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
vnzwmvl,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
vnzwmvl,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
vnzwmvl,33,tutor,Can you talk me through how you got that answer?,00:04:24
vnzwmvl,34,student,Maybe I should compare them as decimals first.,00:04:32
vnzwmvl,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
vnzwmvl,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
vnzwmvl,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
vnzwmvl,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
vnzwmvl,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
vnzwmvl,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
vnzwmvl,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
vnzwmvl,42,student,6?,00:05:36
vnzwmvl,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
vnzwmvl,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
vnzwmvl,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
vnzwmvl,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
vnzwmvl,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
vnzwmvl,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
vnzwmvl,49,tutor,What do you notice about these two numbers?,00:06:32
vnzwmvl,50,student,300?,00:06:40
vnzwmvl,51,tutor,Uh-huh. And what would you do next?,00:06:48
vnzwmvl,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
vnzwmvl,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
vnzwmvl,54,student,Half?,00:07:12
vnzwmvl,55,tutor,Can you talk me through how you got that answer?,00:07:20
vnzwmvl,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
vnzwmvl,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
vnzwmvl,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
vnzwmvl,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
vnzwmvl,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
vnzwmvl,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
vnzwmvl,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
vnzwmvl,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
vnzwmvl,64,student,Maybe I should compare them as decimals first.,00:08:32
vnzwmvl,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
vnzwmvl,66,student,Maybe I should compare them as decimals first.,00:08:48
vnzwmvl,67,tutor,Can you talk me through how you got that answer?,00:08:56
vnzwmvl,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
vnzwmvl,69,tutor,Can you talk me through how you got that answer?,00:09:12
vnzwmvl,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
vnzwmvl,71,tutor,What do you notice about these two numbers?,00:09:28
vnzwmvl,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
vnzwmvl,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
vnzwmvl,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
vnzwmvl,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
vnzwmvl,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
vnzwmvl,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
vnzwmvl,78,student,Maybe I should compare them as decimals first.,00:10:24
vnzwmvl,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
vnzwmvl,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
vnzwmvl,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
vnzwmvl,82,student,Yes,00:10:56
vnzwmvl,83,tutor,Can you talk me through how you got that answer?,00:11:04
vnzwmvl,84,student,Okay,00:11:12
vnzwmvl,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
vnzwmvl,86,student,Maybe I should compare them as decimals first.,00:11:28
vnzwmvl,87,tutor,Uh-huh. And what would you do next?,00:11:36
vnzwmvl,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
vnzwmvl,89,tutor,Uh-huh. And what would you do next?,00:11:52
vnzwmvl,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
vnzwmvl,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
vnzwmvl,92,student,Maybe I should compare them as decimals first.,00:12:16
vnzwmvl,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
vnzwmvl,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
vnzwmvl,95,tutor,What do you notice about these two numbers?,00:12:40
vnzwmvl,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
vnzwmvl,97,tutor,Can you talk me through how you got that answer?,00:12:56
vnzwmvl,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
vnzwmvl,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
vnzwmvl,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
vnzwmvl,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
vnzwmvl,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
vnzwmvl,103,tutor,Remember what we said about the denominator. What happens here?,00:13:44
vnzwmvl,104,student,Is it 4?,00:13:52
vnzwmvl,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
vnzwmvl,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
vnzwmvl,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
vnzwmvl,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
vnzwmvl,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
vnzwmvl,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
vnzwmvl,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
vnzwmvl,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
vnzwmvl,113,tutor,Uh-huh. And what would you do next?,00:15:04
vnzwmvl,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
vnzwmvl,115,tutor,Can you talk me through how you got that answer?,00:15:20
vnzwmvl,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
vnzwmvl,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
