session_id,utterance_id,role,content,timestamp
sfxhzjs,0,background,[unclear],00:00:00
sfxhzjs,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
sfxhzjs,2,student,"Yes, I think so.",00:00:16
sfxhzjs,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
sfxhzjs,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
sfxhzjs,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
sfxhzjs,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
sfxhzjs,7,tutor,Can you talk me through how you got that answer?,00:00:56
sfxhzjs,8,student,No,00:01:04
sfxhzjs,9,tutor,Uh-huh. And what would you do next?,00:01:12
sfxhzjs,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
sfxhzjs,11,tutor,Uh-huh. And what would you do next?,00:01:28
sfxhzjs,12,student,Okay,00:01:36
sfxhzjs,13,tutor,What do you notice about these two numbers?,00:01:44
sfxhzjs,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
sfxhzjs,15,tutor,Can you talk me through how you got that answer?,00:02:00
sfxhzjs,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
sfxhzjs,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
sfxhzjs,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
sfxhzjs,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
sfxhzjs,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
sfxhzjs,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
sfxhzjs,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
sfxhzjs,23,tutor,Can you talk me through how you got that answer?,00:03:04
sfxhzjs,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
sfxhzjs,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
sfxhzjs,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
sfxhzjs,27,tutor,Can you talk me through how you got that answer?,00:03:36
sfxhzjs,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
sfxhzjs,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
sfxhzjs,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
sfxhzjs,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
sfxhzjs,32,student,Maybe I should compare them as decimals first.,00:04:16
sfxhzjs,33,tutor,Uh-huh. And what would you do next?,00:04:24
sfxhzjs,34,student,Maybe I should compare them as decimals first.,00:04:32
sfxhzjs,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
sfxhzjs,36,student,Is it 4?,00:04:48
sfxhzjs,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
sfxhzjs,38,student,Half?,00:05:04
sfxhzjs,39,tutor,Uh-huh. And what would you do next?,00:05:12
sfxhzjs,40,student,Maybe I should compare them as decimals first.,00:05:20
sfxhzjs,41,tutor,Uh-huh. And what would you do next?,00:05:28
sfxhzjs,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
sfxhzjs,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
sfxhzjs,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
sfxhzjs,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
sfxhzjs,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
sfxhzjs,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
sfxhzjs,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
sfxhzjs,49,tutor,What do you notice about these two numbers?,00:06:32
sfxhzjs,50,student,Maybe I should compare them as decimals first.,00:06:40
sfxhzjs,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
sfxhzjs,52,student,Yes,00:06:56
sfxhzjs,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
sfxhzjs,54,student,6?,00:07:12
sfxhzjs,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
sfxhzjs,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
sfxhzjs,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
sfxhzjs,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
sfxhzjs,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
sfxhzjs,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
sfxhzjs,61,tutor,Can you talk me through how you got that answer?,00:08:08
sfxhzjs,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
sfxhzjs,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
sfxhzjs,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
sfxhzjs,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
sfxhzjs,66,student,Okay,00:08:48
sfxhzjs,67,tutor,What do you notice about these two numbers?,00:08:56
sfxhzjs,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
sfxhzjs,69,tutor,Uh-huh. And what would you do next?,00:09:12
sfxhzjs,70,student,75.,00:09:20
sfxhzjs,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
sfxhzjs,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
sfxhzjs,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
sfxhzjs,74,student,Is it 4?,00:09:52
sfxhzjs,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
sfxhzjs,76,student,Maybe I should compare them as decimals first.,00:10:08
sfxhzjs,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
sfxhzjs,78,student,Half?,00:10:24
sfxhzjs,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
sfxhzjs,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
sfxhzjs,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
sfxhzjs,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
sfxhzjs,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
sfxhzjs,84,student,12.,00:11:12
sfxhzjs,85,tutor,What do you notice about these two numbers?,00:11:20
sfxhzjs,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
sfxhzjs,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
sfxhzjs,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
sfxhzjs,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
sfxhzjs,90,student,300?,00:12:00
sfxhzjs,91,tutor,Let's try a similar one. What is 30 times 4?,00:12:08
sfxhzjs,92,student,No,00:12:16
sfxhzjs,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
sfxhzjs,94,student,6?,00:12:32
sfxhzjs,95,tutor,Uh-huh. And what would you do next?,00:12:40
sfxhzjs,96,student,Maybe I should compare them as decimals first.,00:12:48
sfxhzjs,97,tutor,Uh-huh. And what would you do next?,00:12:56
sfxhzjs,98,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:04
sfxhzjs,99,tutor,Can you talk me through how you got that answer?,00:13:12
sfxhzjs,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
sfxhzjs,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
sfxhzjs,102,student,Maybe I should compare them as decimals first.,00:13:36
sfxhzjs,103,tutor,Uh-huh. And what would you do next?,00:13:44
sfxhzjs,104,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:52
sfxhzjs,105,tutor,What do you notice about these two numbers?,00:14:00
sfxhzjs,106,student,Maybe I should compare them as decimals first.,00:14:08
sfxhzjs,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
sfxhzjs,108,student,I'm not sure. Is it because 10 has one zero?,00:14:24
sfxhzjs,109,tutor,Uh-huh. And what would you do next?,00:14:32
sfxhzjs,110,student,Half?,00:14:40
sfxhzjs,111,tutor,Can you talk me through how you got that answer?,00:14:48
sfxhzjs,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
sfxhzjs,113,tutor,Uh-huh. And what would you do next?,00:15:04
sfxhzjs,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
sfxhzjs,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
sfxhzjs,116,student,Maybe I should compare them as decimals first.,00:15:28
sfxhzjs,117,tutor,What do you notice about these two numbers?,00:15:36
sfxhzjs,118,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:44
sfxhzjs,119,tutor,Uh-huh. And what would you do next?,00:15:52
sfxhzjs,120,student,75.,00:16:00
sfxhzjs,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
sfxhzjs,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
sfxhzjs,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
sfxhzjs,124,student,6?,00:16:32
sfxhzjs,125,tutor,Can you talk me through how you got that answer?,00:16:40
sfxhzjs,126,student,I think we need to make the bottom numbers the same before we add.,00:16:48
sfxhzjs,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
sfxhzjs,128,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:04
sfxhzjs,129,tutor,Let's try a similar one. What is 30 times 4?,00:17:12
sfxhzjs,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
sfxhzjs,131,tutor,Can you talk me through how you got that answer?,00:17:28
sfxhzjs,132,student,I think we need to make the bottom numbers the same before we add.,00:17:36
sfxhzjs,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
sfxhzjs,134,student,12.,00:17:52
sfxhzjs,135,tutor,"Good thinking. Now, is that answer reasonable?",00:18:00
sfxhzjs,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
sfxhzjs,137,tutor,Can you talk me through how you got that answer?,00:18:16
sfxhzjs,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
sfxhzjs,139,tutor,Can you talk me through how you got that answer?,00:18:32
sfxhzjs,140,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:40
sfxhzjs,141,tutor,"Good thinking. Now, is that answer reasonable?",00:18:48
sfxhzjs,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
sfxhzjs,143,tutor,"Good thinking. Now, is that answer reasonable?",00:19:04
sfxhzjs,144,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:12
sfxhzjs,145,tutor,So let me ask you first. Do you know what a fact family is?,00:19:20
sfxhzjs,146,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:28
sfxhzjs,147,tutor,Remember what we said about the denominator. What happens here?,00:19:36
sfxhzjs,148,student,Half?,00:19:44
sfxhzjs,149,tutor,Remember what we said about the denominator. What happens here?,00:19:52
sfxhzjs,150,student,I think we need to make the bottom numbers the same before we add.,00:20:00
sfxhzjs,151,tutor,Uh-huh. And what would you do next?,00:20:08
sfxhzjs,152,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:16
sfxhzjs,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
sfxhzjs,154,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:32
sfxhzjs,155,tutor,What do you notice about these two numbers?,00:20:40
sfxhzjs,156,student,I think we need to make the bottom numbers the same before we add.,00:20:48
sfxhzjs,157,tutor,Let's try a similar one. What is 30 times 4?,00:20:56
sfxhzjs,158,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:04
sfxhzjs,159,tutor,Let's try a similar one. What is 30 times 4?,00:21:12
sfxhzjs,160,student,Maybe I should compare them as decimals first.,00:21:20
sfxhzjs,161,tutor,Let's try a similar one. What is 30 times 4?,00:21:28
sfxhzjs,162,student,I think we need to make the bottom numbers the same before we add.,00:21:36
sfxhzjs,163,tutor,Uh-huh. And what would you do next?,00:21:44
sfxhzjs,164,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:52
sfxhzjs,165,tutor,So let me ask you first. Do you know what a fact family is?,00:22:00
sfxhzjs,166,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:08
sfxhzjs,167,tutor,"Good thinking. Now, is that answer reasonable?",00:22:16
sfxhzjs,168,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:24
sfxhzjs,169,tutor,So let me ask you first. Do you know what a fact family is?,00:22:32
sfxhzjs,170,student,"I would divide it by 100, so the answer is 3.45.",00:22:40
sfxhzjs,171,tutor,What do you notice about these two numbers?,00:22:48
sfxhzjs,172,student,Maybe I should compare them as decimals first.,00:22:56
sfxhzjs,173,tutor,"Good thinking. Now, is that answer reasonable?",00:23:04
sfxhzjs,174,student,I'm not sure. Is it because 10 has one zero?,00:23:12
sfxhzjs,175,tutor,Uh-huh. And what would you do next?,00:23:20
sfxhzjs,176,student,Half?,00:23:28
sfxhzjs,177,tutor,Let's try a similar one. What is 30 times 4?,00:23:36
sfxhzjs,178,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:23:44
sfxhzjs,179,tutor,Uh-huh. And what would you do next?,00:23:52
sfxhzjs,180,student,No,00:24:00
sfxhzjs,181,tutor,Let's try a similar one. What is 30 times 4?,00:24:08
sfxhzjs,182,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:24:16
sfxhzjs,183,tutor,"Good thinking. Now, is that answer reasonable?",00:24:24
sfxhzjs,184,student,12.,00:24:32
sfxhzjs,185,tutor,What do you notice about these two numbers?,00:24:40
sfxhzjs,186,student,I think we need to make the bottom numbers the same before we add.,00:24:48
sfxhzjs,187,tutor,Uh-huh. And what would you do next?,00:24:56
sfxhzjs,188,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:25:04
sfxhzjs,189,tutor,What do you notice about these two numbers?,00:25:12
sfxhzjs,190,student,I think we need to make the bottom numbers the same before we add.,00:25:20
sfxhzjs,191,tutor,So let me ask you first. Do you know what a fact family is?,00:25:28
sfxhzjs,192,student,I'm not sure. Is it because 10 has one zero?,00:25:36
sfxhzjs,193,tutor,Uh-huh. And what would you do next?,00:25:44
sfxhzjs,194,student,300?,00:25:52
sfxhzjs,195,tutor,Can you talk me through how you got that answer?,00:26:00
sfxhzjs,196,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:26:08
sfxhzjs,197,tutor,Remember what we said about the denominator. What happens here?,00:26:16
sfxhzjs,198,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:26:24
sfxhzjs,199,tutor,What do you notice about these two numbers?,00:26:32
sfxhzjs,200,student,75.,00:26:40
sfxhzjs,201,tutor,Can you talk me through how you got that answer?,00:26:48
sfxhzjs,202,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:26:56
sfxhzjs,203,tutor,So let me ask you first. Do you know what a fact family is?,00:27:04
sfxhzjs,204,student,I think we need to make the bottom numbers the same before we add.,00:27:12
sfxhzjs,205,tutor,So let me ask you first. Do you know what a fact family is?,00:27:20
sfxhzjs,206,student,300?,00:27:28
sfxhzjs,207,tutor,"Good thinking. Now, is that answer reasonable?",00:27:36
sfxhzjs,208,student,"I would divide it by 100, so the answer is 3.45.",00:27:44
sfxhzjs,209,tutor,"Good thinking. Now, is that answer reasonable?",00:27:52
sfxhzjs,210,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:28:00
sfxhzjs,211,tutor,Let's try a similar one. What is 30 times 4?,00:28:08
sfxhzjs,212,student,I'm not sure. Is it because 10 has one zero?,00:28:16
sfxhzjs,213,tutor,Uh-huh. And what would you do next?,00:28:24
sfxhzjs,214,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:28:32
sfxhzjs,215,tutor,"Good thinking. Now, is that answer reasonable?",00:28:40
sfxhzjs,216,student,I'm not sure. Is it because 10 has one zero?,00:28:48
sfxhzjs,217,tutor,"Good thinking. Now, is that answer reasonable?",00:28:56
sfxhzjs,218,student,I think we need to make the bottom numbers the same before we add.,00:29:04
sfxhzjs,219,tutor,Remember what we said about the denominator. What happens here?,00:29:12
sfxhzjs,220,student,I'm not sure. Is it because 10 has one zero?,00:29:20
sfxhzjs,221,tutor,Let's try a similar one. What is 30 times 4?,00:29:28
sfxhzjs,222,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:29:36
sfxhzjs,223,tutor,So let me ask you first. Do you know what a fact family is?,00:29:44
sfxhzjs,224,student,I think we need to make the bottom numbers the same before we add.,00:29:52
sfxhzjs,225,tutor,Can you talk me through how you got that answer?,00:30:00
sfxhzjs,226,student,I think we need to make the bottom numbers the same before we add.,00:30:08
sfxhzjs,227,tutor,Let's try a similar one. What is 30 times 4?,00:30:16
sfxhzjs,228,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:30:24
sfxhzjs,229,tutor,Can you talk me through how you got that answer?,00:30:32
sfxhzjs,230,student,12.,00:30:40
sfxhzjs,231,tutor,Uh-huh. And what would you do next?,00:30:48
sfxhzjs,232,student,I think we need to make the bottom numbers the same before we add.,00:30:56
sfxhzjs,233,tutor,Can you talk me through how you got that answer?,00:31:04
sfxhzjs,234,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:31:12
sfxhzjs,235,tutor,Uh-huh. And what would you do next?,00:31:20
sfxhzjs,236,student,"I would divide it by 100, so the answer is 3.45.",00:31:28
sfxhzjs,237,tutor,Let's try a similar one. What is 30 times 4?,00:31:36
sfxhzjs,238,student,I'm not sure. Is it because 10 has one zero?,00:31:44
sfxhzjs,239,tutor,Remember what we said about the denominator. What happens here?,00:31:52
sfxhzjs,240,student,Maybe I should compare them as decimals first.,00:32:00
sfxhzjs,241,tutor,Let's try a similar one. What is 30 times 4?,00:32:08
sfxhzjs,242,student,No,00:32:16
sfxhzjs,243,tutor,Can you talk me through how you got that answer?,00:32:24
sfxhzjs,244,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:32:32
sfxhzjs,245,tutor,Uh-huh. And what would you do next?,00:32:40
sfxhzjs,246,student,Is it 4?,00:32:48
sfxhzjs,247,tutor,What do you notice about these two numbers?,00:32:56
sfxhzjs,248,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:33:04
sfxhzjs,249,tutor,So let me ask you first. Do you know what a fact family is?,00:33:12
sfxhzjs,250,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:33:20
sfxhzjs,251,tutor,So let me ask you first. Do you know what a fact family is?,00:33:28
sfxhzjs,252,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:33:36
sfxhzjs,253,tutor,So let me ask you first. Do you know what a fact family is?,00:33:44
sfxhzjs,254,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:33:52
sfxhzjs,255,tutor,"Good thinking. Now, is that answer reasonable?",00:34:00
sfxhzjs,256,student,12.,00:34:08
sfxhzjs,257,tutor,What do you notice about these two numbers?,00:34:16
sfxhzjs,258,student,12.,00:34:24
sfxhzjs,259,tutor,Let's try a similar one. What is 30 times 4?,00:34:32
sfxhzjs,260,student,300?,00:34:40
sfxhzjs,261,tutor,Remember what we said about the denominator. What happens here?,00:34:48
sfxhzjs,262,student,300?,00:34:56
sfxhzjs,263,tutor,Uh-huh. And what would you do next?,00:35:04
sfxhzjs,264,student,Maybe I should compare them as decimals first.,00:35:12
sfxhzjs,265,tutor,So let me ask you first. Do you know what a fact family is?,00:35:20
sfxhzjs,266,student,"I would divide it by 100, so the answer is 3.45.",00:35:28
sfxhzjs,267,tutor,Uh-huh. And what would you do next?,00:35:36
sfxhzjs,268,student,Maybe I should compare them as decimals first.,00:35:44
sfxhzjs,269,tutor,"Good thinking. Now, is that answer reasonable?",00:35:52
sfxhzjs,270,student,300?,00:36:00
sfxhzjs,271,tutor,Can you talk me through how you got that answer?,00:36:08
sfxhzjs,272,student,I think we need to make the bottom numbers the same before we add.,00:36:16
sfxhzjs,273,tutor,What do you notice about these two numbers?,00:36:24
sfxhzjs,274,student,"I would divide it by 100, so the answer is 3.45.",00:36:32
sfxhzjs,275,tutor,Remember what we said about the denominator. What happens here?,00:36:40
sfxhzjs,276,student,Half?,00:36:48
sfxhzjs,277,tutor,Let's try a similar one. What is 30 times 4?,00:36:56
sfxhzjs,278,student,300?,00:37:04
sfxhzjs,279,tutor,Remember what we said about the denominator. What happens here?,00:37:12
sfxhzjs,280,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:37:20
sfxhzjs,281,tutor,"Good thinking. Now, is that answer reasonable?",00:37:28
sfxhzjs,282,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:37:36
sfxhzjs,283,tutor,Uh-huh. And what would you do next?,00:37:44
sfxhzjs,284,student,Maybe I should compare them as decimals first.,00:37:52
sfxhzjs,285,tutor,Let's try a similar one. What is 30 times 4?,00:38:00
sfxhzjs,286,student,"I would divide it by 100, so the answer is 3.45.",00:38:08
sfxhzjs,287,tutor,Uh-huh. And what would you do next?,00:38:16
sfxhzjs,288,student,12.,00:38:24
sfxhzjs,289,tutor,What do you notice about these two numbers?,00:38:32
sfxhzjs,290,student,Half?,00:38:40
sfxhzjs,291,tutor,Can you talk me through how you got that answer?,00:38:48
sfxhzjs,292,student,I think we need to make the bottom numbers the same before we add.,00:38:56
sfxhzjs,293,tutor,What do you notice about these two numbers?,00:39:04
sfxhzjs,294,student,I'm not sure. Is it because 10 has one zero?,00:39:12
sfxhzjs,295,tutor,Remember what we said about the denominator. What happens here?,00:39:20
sfxhzjs,296,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:39:28
sfxhzjs,297,tutor,Let's try a similar one. What is 30 times 4?,00:39:36
sfxhzjs,298,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:39:44
sfxhzjs,299,tutor,So let me ask you first. Do you know what a fact family is?,00:39:52
sfxhzjs,300,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:40:00
sfxhzjs,301,tutor,Remember what we said about the denominator. What happens here?,00:40:08
sfxhzjs,302,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:40:16
sfxhzjs,303,tutor,Can you talk me through how you got that answer?,00:40:24
sfxhzjs,304,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:40:32
sfxhzjs,305,tutor,"Good thinking. Now, is that answer reasonable?",00:40:40
sfxhzjs,306,student,Yes,00:40:48
sfxhzjs,307,tutor,Let's try a similar one. What is 30 times 4?,00:40:56
sfxhzjs,308,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:41:04
sfxhzjs,309,tutor,Let's try a similar one. What is 30 times 4?,00:41:12
sfxhzjs,310,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:41:20
