session_id,utterance_id,role,content,timestamp
nqlwzfs,0,background,[unclear],00:00:00
nqlwzfs,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
nqlwzfs,2,student,"Yes, I think so.",00:00:16
nqlwzfs,3,tutor,Can you talk me through how you got that answer?,00:00:24
nqlwzfs,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
nqlwzfs,5,tutor,What do you notice about these two numbers?,00:00:40
nqlwzfs,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
nqlwzfs,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
nqlwzfs,8,student,Half?,00:01:04
nqlwzfs,9,tutor,Can you talk me through how you got that answer?,00:01:12
nqlwzfs,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
nqlwzfs,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
nqlwzfs,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
nqlwzfs,13,tutor,Can you talk me through how you got that answer?,00:01:44
nqlwzfs,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
nqlwzfs,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
nqlwzfs,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
nqlwzfs,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
nqlwzfs,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
nqlwzfs,19,tutor,Can you talk me through how you got that answer?,00:02:32
nqlwzfs,20,student,Maybe I should compare them as decimals first.,00:02:40
nqlwzfs,21,tutor,Can you talk me through how you got that answer?,00:02:48
nqlwzfs,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
nqlwzfs,23,tutor,Can you talk me through how you got that answer?,00:03:04
nqlwzfs,24,student,6?,00:03:12
nqlwzfs,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
nqlwzfs,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
nqlwzfs,27,tutor,Can you talk me through how you got that answer?,00:03:36
nqlwzfs,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
nqlwzfs,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
nqlwzfs,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
nqlwzfs,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
nqlwzfs,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
nqlwzfs,33,tutor,Uh-huh. And what would you do next?,00:04:24
nqlwzfs,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
nqlwzfs,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
nqlwzfs,36,student,Maybe I should compare them as decimals first.,00:04:48
nqlwzfs,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
nqlwzfs,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
nqlwzfs,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
nqlwzfs,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
nqlwzfs,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
nqlwzfs,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
nqlwzfs,43,tutor,What do you notice about these two numbers?,00:05:44
nqlwzfs,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
nqlwzfs,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
nqlwzfs,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
