session_id,utterance_id,role,content,timestamp
ceorztf,0,background,[unclear],00:00:00
ceorztf,1,tutor,"Hello, are you ready to get started today?",00:00:08
ceorztf,2,student,"Yes, I think so.",00:00:16
ceorztf,3,tutor,Can you talk me through how you got that answer?,00:00:24
ceorztf,4,student,300?,00:00:32
ceorztf,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
ceorztf,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
ceorztf,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
ceorztf,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
ceorztf,9,tutor,Can you talk me through how you got that answer?,00:01:12
ceorztf,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
ceorztf,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
ceorztf,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
ceorztf,13,tutor,What do you notice about these two numbers?,00:01:44
ceorztf,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
ceorztf,15,tutor,Uh-huh. And what would you do next?,00:02:00
ceorztf,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
ceorztf,17,tutor,What do you notice about these two numbers?,00:02:16
ceorztf,18,student,300?,00:02:24
ceorztf,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
ceorztf,20,student,12.,00:02:40
ceorztf,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
ceorztf,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
ceorztf,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
ceorztf,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
ceorztf,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
ceorztf,26,student,300?,00:03:28
ceorztf,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
ceorztf,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
ceorztf,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
ceorztf,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
ceorztf,31,tutor,Can you talk me through how you got that answer?,00:04:08
ceorztf,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
ceorztf,33,tutor,What do you notice about these two numbers?,00:04:24
ceorztf,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
ceorztf,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
ceorztf,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
ceorztf,37,tutor,Uh-huh. And what would you do next?,00:04:56
ceorztf,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
ceorztf,39,tutor,Can you talk me through how you got that answer?,00:05:12
ceorztf,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
ceorztf,41,tutor,Uh-huh. And what would you do next?,00:05:28
ceorztf,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
ceorztf,43,tutor,What do you notice about these two numbers?,00:05:44
