session_id,utterance_id,role,content,timestamp
rnxlhpr,0,background,[unclear],00:00:00
rnxlhpr,1,tutor,"Hello, are you ready to get started today?",00:00:08
rnxlhpr,2,student,"Yes, I think so.",00:00:16
rnxlhpr,3,tutor,What do you notice about these two numbers?,00:00:24
rnxlhpr,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
rnxlhpr,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
rnxlhpr,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
rnxlhpr,7,tutor,Uh-huh. And what would you do next?,00:00:56
rnxlhpr,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
rnxlhpr,9,tutor,Can you talk me through how you got that answer?,00:01:12
rnxlhpr,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
rnxlhpr,11,tutor,Can you talk me through how you got that answer?,00:01:28
rnxlhpr,12,student,300?,00:01:36
rnxlhpr,13,tutor,Uh-huh. And what would you do next?,00:01:44
rnxlhpr,14,student,Half?,00:01:52
rnxlhpr,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
rnxlhpr,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
rnxlhpr,17,tutor,What do you notice about these two numbers?,00:02:16
rnxlhpr,18,student,Maybe I should compare them as decimals first.,00:02:24
rnxlhpr,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
rnxlhpr,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
rnxlhpr,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
rnxlhpr,22,student,Is it 4?,00:02:56
rnxlhpr,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
rnxlhpr,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
rnxlhpr,25,tutor,What do you notice about these two numbers?,00:03:20
rnxlhpr,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
rnxlhpr,27,tutor,What do you notice about these two numbers?,00:03:36
rnxlhpr,28,student,Is it 4?,00:03:44
rnxlhpr,29,tutor,Uh-huh. And what would you do next?,00:03:52
rnxlhpr,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
rnxlhpr,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
rnxlhpr,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
rnxlhpr,33,tutor,Can you talk me through how you got that answer?,00:04:24
rnxlhpr,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
rnxlhpr,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
rnxlhpr,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
rnxlhpr,37,tutor,Can you talk me through how you got that answer?,00:04:56
rnxlhpr,38,student,75.,00:05:04
rnxlhpr,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
rnxlhpr,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
rnxlhpr,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
rnxlhpr,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
rnxlhpr,43,tutor,What do you notice about these two numbers?,00:05:44
rnxlhpr,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
rnxlhpr,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
rnxlhpr,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
rnxlhpr,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
rnxlhpr,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
rnxlhpr,49,tutor,Can you talk me through how you got that answer?,00:06:32
rnxlhpr,50,student,75.,00:06:40
rnxlhpr,51,tutor,What do you notice about these two numbers?,00:06:48
rnxlhpr,52,student,75.,00:06:56
rnxlhpr,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
rnxlhpr,54,student,12.,00:07:12
rnxlhpr,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
rnxlhpr,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
rnxlhpr,57,tutor,Uh-huh. And what would you do next?,00:07:36
rnxlhpr,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
rnxlhpr,59,tutor,Can you talk me through how you got that answer?,00:07:52
rnxlhpr,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
rnxlhpr,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
rnxlhpr,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
rnxlhpr,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
rnxlhpr,64,student,Maybe I should compare them as decimals first.,00:08:32
rnxlhpr,65,tutor,Uh-huh. And what would you do next?,00:08:40
rnxlhpr,66,student,Maybe I should compare them as decimals first.,00:08:48
rnxlhpr,67,tutor,Uh-huh. And what would you do next?,00:08:56
rnxlhpr,68,student,Maybe I should compare them as decimals first.,00:09:04
rnxlhpr,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
rnxlhpr,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
rnxlhpr,71,tutor,Can you talk me through how you got that answer?,00:09:28
rnxlhpr,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
rnxlhpr,73,tutor,Uh-huh. And what would you do next?,00:09:44
rnxlhpr,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
rnxlhpr,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
rnxlhpr,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
rnxlhpr,77,tutor,Can you talk me through how you got that answer?,00:10:16
rnxlhpr,78,student,Maybe I should compare them as decimals first.,00:10:24
rnxlhpr,79,tutor,Uh-huh. And what would you do next?,00:10:32
rnxlhpr,80,student,Maybe I should compare them as decimals first.,00:10:40
rnxlhpr,81,tutor,Uh-huh. And what would you do next?,00:10:48
rnxlhpr,82,student,Maybe I should compare them as decimals first.,00:10:56
rnxlhpr,83,tutor,Uh-huh. And what would you do next?,00:11:04
rnxlhpr,84,student,Half?,00:11:12
rnxlhpr,85,tutor,Uh-huh. And what would you do next?,00:11:20
rnxlhpr,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
rnxlhpr,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
rnxlhpr,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
rnxlhpr,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
rnxlhpr,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
rnxlhpr,91,tutor,Can you talk me through how you got that answer?,00:12:08
rnxlhpr,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
rnxlhpr,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
rnxlhpr,94,student,Maybe I should compare them as decimals first.,00:12:32
rnxlhpr,95,tutor,Can you talk me through how you got that answer?,00:12:40
rnxlhpr,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
rnxlhpr,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
rnxlhpr,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
rnxlhpr,99,tutor,So let me ask you first. Do you know what a fact family is?,00:13:12
rnxlhpr,100,student,"I would divide it by 100, so the answer is 3.45.",00:13:20
rnxlhpr,101,tutor,Can you talk me through how you got that answer?,00:13:28
rnxlhpr,102,student,6?,00:13:36
rnxlhpr,103,tutor,What do you notice about these two numbers?,00:13:44
rnxlhpr,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
rnxlhpr,105,tutor,Uh-huh. And what would you do next?,00:14:00
rnxlhpr,106,student,"I would divide it by 100, so the answer is 3.45.",00:14:08
rnxlhpr,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
rnxlhpr,108,student,I'm not sure. Is it because 10 has one zero?,00:14:24
rnxlhpr,109,tutor,So let me ask you first. Do you know what a fact family is?,00:14:32
rnxlhpr,110,student,6?,00:14:40
rnxlhpr,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
rnxlhpr,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
rnxlhpr,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
rnxlhpr,114,student,Maybe I should compare them as decimals first.,00:15:12
rnxlhpr,115,tutor,What do you notice about these two numbers?,00:15:20
rnxlhpr,116,student,6?,00:15:28
rnxlhpr,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
rnxlhpr,118,student,75.,00:15:44
rnxlhpr,119,tutor,Remember what we said about the denominator. What happens here?,00:15:52
rnxlhpr,120,student,"I would divide it by 100, so the answer is 3.45.",00:16:00
rnxlhpr,121,tutor,Remember what we said about the denominator. What happens here?,00:16:08
rnxlhpr,122,student,"I would divide it by 100, so the answer is 3.45.",00:16:16
