session_id,utterance_id,role,content,timestamp
zfrtvjw,0,background,[unclear],00:00:00
zfrtvjw,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
zfrtvjw,2,student,"Yes, I think so.",00:00:16
zfrtvjw,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
zfrtvjw,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
zfrtvjw,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
zfrtvjw,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
zfrtvjw,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
zfrtvjw,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
zfrtvjw,9,tutor,Can you talk me through how you got that answer?,00:01:12
zfrtvjw,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
zfrtvjw,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
zfrtvjw,12,student,300?,00:01:36
zfrtvjw,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
zfrtvjw,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
zfrtvjw,15,tutor,What do you notice about these two numbers?,00:02:00
zfrtvjw,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
zfrtvjw,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
zfrtvjw,18,student,Maybe I should compare them as decimals first.,00:02:24
zfrtvjw,19,tutor,What do you notice about these two numbers?,00:02:32
zfrtvjw,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
zfrtvjw,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
zfrtvjw,22,student,Maybe I should compare them as decimals first.,00:02:56
zfrtvjw,23,tutor,Can you talk me through how you got that answer?,00:03:04
zfrtvjw,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
zfrtvjw,25,tutor,What do you notice about these two numbers?,00:03:20
zfrtvjw,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
zfrtvjw,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
zfrtvjw,28,student,12.,00:03:44
zfrtvjw,29,tutor,Can you talk me through how you got that answer?,00:03:52
zfrtvjw,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
zfrtvjw,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
zfrtvjw,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
zfrtvjw,33,tutor,Uh-huh. And what would you do next?,00:04:24
zfrtvjw,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
zfrtvjw,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
zfrtvjw,36,student,Half?,00:04:48
zfrtvjw,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
zfrtvjw,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
zfrtvjw,39,tutor,Uh-huh. And what would you do next?,00:05:12
zfrtvjw,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
zfrtvjw,41,tutor,Uh-huh. And what would you do next?,00:05:28
zfrtvjw,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
zfrtvjw,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
zfrtvjw,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
zfrtvjw,45,tutor,Uh-huh. And what would you do next?,00:06:00
zfrtvjw,46,student,75.,00:06:08
zfrtvjw,47,tutor,What do you notice about these two numbers?,00:06:16
zfrtvjw,48,student,Maybe I should compare them as decimals first.,00:06:24
zfrtvjw,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
zfrtvjw,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
zfrtvjw,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
zfrtvjw,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
zfrtvjw,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
zfrtvjw,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
zfrtvjw,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
zfrtvjw,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
zfrtvjw,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
zfrtvjw,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
zfrtvjw,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
zfrtvjw,60,student,No,00:08:00
zfrtvjw,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
zfrtvjw,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
zfrtvjw,63,tutor,Uh-huh. And what would you do next?,00:08:24
zfrtvjw,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
zfrtvjw,65,tutor,Uh-huh. And what would you do next?,00:08:40
zfrtvjw,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
zfrtvjw,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
zfrtvjw,68,student,Maybe I should compare them as decimals first.,00:09:04
zfrtvjw,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
zfrtvjw,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
zfrtvjw,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
zfrtvjw,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
zfrtvjw,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
zfrtvjw,74,student,Maybe I should compare them as decimals first.,00:09:52
