session_id,utterance_id,role,content,timestamp
xzwdhto,0,background,[unclear],00:00:00
xzwdhto,1,tutor,"Hello, are you ready to get started today?",00:00:08
xzwdhto,2,student,"Yes, I think so.",00:00:16
xzwdhto,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
xzwdhto,4,student,Half?,00:00:32
xzwdhto,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
xzwdhto,6,student,6?,00:00:48
xzwdhto,7,tutor,Uh-huh. And what would you do next?,00:00:56
xzwdhto,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
xzwdhto,9,tutor,What do you notice about these two numbers?,00:01:12
xzwdhto,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
xzwdhto,11,tutor,Uh-huh. And what would you do next?,00:01:28
xzwdhto,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
xzwdhto,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
xzwdhto,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
xzwdhto,15,tutor,Can you talk me through how you got that answer?,00:02:00
xzwdhto,16,student,Maybe I should compare them as decimals first.,00:02:08
xzwdhto,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
xzwdhto,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
xzwdhto,19,tutor,Can you talk me through how you got that answer?,00:02:32
xzwdhto,20,student,Is it 4?,00:02:40
xzwdhto,21,tutor,Can you talk me through how you got that answer?,00:02:48
xzwdhto,22,student,Maybe I should compare them as decimals first.,00:02:56
xzwdhto,23,tutor,What do you notice about these two numbers?,00:03:04
xzwdhto,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
xzwdhto,25,tutor,Uh-huh. And what would you do next?,00:03:20
xzwdhto,26,student,6?,00:03:28
xzwdhto,27,tutor,Can you talk me through how you got that answer?,00:03:36
xzwdhto,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
xzwdhto,29,tutor,Uh-huh. And what would you do next?,00:03:52
xzwdhto,30,student,75.,00:04:00
xzwdhto,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
xzwdhto,32,student,12.,00:04:16
xzwdhto,33,tutor,Uh-huh. And what would you do next?,00:04:24
xzwdhto,34,student,Half?,00:04:32
xzwdhto,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
xzwdhto,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
