session_id,utterance_id,role,content,timestamp
vwasjng,0,background,[unclear],00:00:00
vwasjng,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
vwasjng,2,student,"Yes, I think so.",00:00:16
vwasjng,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
vwasjng,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
vwasjng,5,tutor,Can you talk me through how you got that answer?,00:00:40
vwasjng,6,student,Maybe I should compare them as decimals first.,00:00:48
vwasjng,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
vwasjng,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
vwasjng,9,tutor,Uh-huh. And what would you do next?,00:01:12
vwasjng,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
vwasjng,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
vwasjng,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
vwasjng,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
vwasjng,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
vwasjng,15,tutor,Uh-huh. And what would you do next?,00:02:00
vwasjng,16,student,6?,00:02:08
vwasjng,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
vwasjng,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
vwasjng,19,tutor,What do you notice about these two numbers?,00:02:32
vwasjng,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
vwasjng,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
vwasjng,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
vwasjng,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
vwasjng,24,student,Maybe I should compare them as decimals first.,00:03:12
vwasjng,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
vwasjng,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
vwasjng,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
vwasjng,28,student,6?,00:03:44
vwasjng,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
vwasjng,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
vwasjng,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
vwasjng,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
vwasjng,33,tutor,What do you notice about these two numbers?,00:04:24
vwasjng,34,student,12.,00:04:32
vwasjng,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
vwasjng,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
vwasjng,37,tutor,Uh-huh. And what would you do next?,00:04:56
vwasjng,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
vwasjng,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
vwasjng,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
vwasjng,41,tutor,Can you talk me through how you got that answer?,00:05:28
vwasjng,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
vwasjng,43,tutor,What do you notice about these two numbers?,00:05:44
vwasjng,44,student,Half?,00:05:52
vwasjng,45,tutor,What do you notice about these two numbers?,00:06:00
vwasjng,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
vwasjng,47,tutor,What do you notice about these two numbers?,00:06:16
vwasjng,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
vwasjng,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
vwasjng,50,student,12.,00:06:40
vwasjng,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
vwasjng,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
vwasjng,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
vwasjng,54,student,Maybe I should compare them as decimals first.,00:07:12
vwasjng,55,tutor,What do you notice about these two numbers?,00:07:20
vwasjng,56,student,12.,00:07:28
vwasjng,57,tutor,Can you talk me through how you got that answer?,00:07:36
vwasjng,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
vwasjng,59,tutor,Can you talk me through how you got that answer?,00:07:52
vwasjng,60,student,Maybe I should compare them as decimals first.,00:08:00
vwasjng,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
vwasjng,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
vwasjng,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
vwasjng,64,student,Maybe I should compare them as decimals first.,00:08:32
vwasjng,65,tutor,Can you talk me through how you got that answer?,00:08:40
vwasjng,66,student,300?,00:08:48
vwasjng,67,tutor,What do you notice about these two numbers?,00:08:56
vwasjng,68,student,Half?,00:09:04
vwasjng,69,tutor,What do you notice about these two numbers?,00:09:12
vwasjng,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
vwasjng,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
vwasjng,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
vwasjng,73,tutor,Can you talk me through how you got that answer?,00:09:44
vwasjng,74,student,Is it 4?,00:09:52
vwasjng,75,tutor,What do you notice about these two numbers?,00:10:00
vwasjng,76,student,"I would divide it by 100, so the answer is 3.45.",00:10:08
vwasjng,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
vwasjng,78,student,Maybe I should compare them as decimals first.,00:10:24
vwasjng,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
vwasjng,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
vwasjng,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
vwasjng,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
vwasjng,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
vwasjng,84,student,Maybe I should compare them as decimals first.,00:11:12
vwasjng,85,tutor,Uh-huh. And what would you do next?,00:11:20
vwasjng,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
vwasjng,87,tutor,What do you notice about these two numbers?,00:11:36
vwasjng,88,student,6?,00:11:44
vwasjng,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
vwasjng,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
vwasjng,91,tutor,Can you talk me through how you got that answer?,00:12:08
vwasjng,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
vwasjng,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
vwasjng,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
vwasjng,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
vwasjng,96,student,Maybe I should compare them as decimals first.,00:12:48
vwasjng,97,tutor,Uh-huh. And what would you do next?,00:12:56
vwasjng,98,student,Is it 4?,00:13:04
vwasjng,99,tutor,Can you talk me through how you got that answer?,00:13:12
vwasjng,100,student,Maybe I should compare them as decimals first.,00:13:20
vwasjng,101,tutor,What do you notice about these two numbers?,00:13:28
vwasjng,102,student,Half?,00:13:36
vwasjng,103,tutor,Can you talk me through how you got that answer?,00:13:44
vwasjng,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
vwasjng,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
vwasjng,106,student,Yes,00:14:08
vwasjng,107,tutor,What do you notice about these two numbers?,00:14:16
vwasjng,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
vwasjng,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
vwasjng,110,student,I'm not sure. Is it because 10 has one zero?,00:14:40
vwasjng,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
vwasjng,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
vwasjng,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
vwasjng,114,student,Maybe I should compare them as decimals first.,00:15:12
vwasjng,115,tutor,What do you notice about these two numbers?,00:15:20
vwasjng,116,student,I'm not sure. Is it because 10 has one zero?,00:15:28
vwasjng,117,tutor,Uh-huh. And what would you do next?,00:15:36
vwasjng,118,student,300?,00:15:44
vwasjng,119,tutor,Uh-huh. And what would you do next?,00:15:52
vwasjng,120,student,"I would divide it by 100, so the answer is 3.45.",00:16:00
vwasjng,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
vwasjng,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
vwasjng,123,tutor,Can you talk me through how you got that answer?,00:16:24
vwasjng,124,student,Maybe I should compare them as decimals first.,00:16:32
vwasjng,125,tutor,Uh-huh. And what would you do next?,00:16:40
vwasjng,126,student,Yes,00:16:48
vwasjng,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
vwasjng,128,student,I'm not sure. Is it because 10 has one zero?,00:17:04
vwasjng,129,tutor,Can you talk me through how you got that answer?,00:17:12
vwasjng,130,student,I'm not sure. Is it because 10 has one zero?,00:17:20
vwasjng,131,tutor,Remember what we said about the denominator. What happens here?,00:17:28
vwasjng,132,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:36
vwasjng,133,tutor,"Good thinking. Now, is that answer reasonable?",00:17:44
vwasjng,134,student,I think we need to make the bottom numbers the same before we add.,00:17:52
vwasjng,135,tutor,What do you notice about these two numbers?,00:18:00
vwasjng,136,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:08
vwasjng,137,tutor,Uh-huh. And what would you do next?,00:18:16
vwasjng,138,student,75.,00:18:24
vwasjng,139,tutor,Let's try a similar one. What is 30 times 4?,00:18:32
vwasjng,140,student,"I would divide it by 100, so the answer is 3.45.",00:18:40
vwasjng,141,tutor,Uh-huh. And what would you do next?,00:18:48
vwasjng,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
vwasjng,143,tutor,Can you talk me through how you got that answer?,00:19:04
vwasjng,144,student,I think we need to make the bottom numbers the same before we add.,00:19:12
vwasjng,145,tutor,So let me ask you first. Do you know what a fact family is?,00:19:20
vwasjng,146,student,Maybe I should compare them as decimals first.,00:19:28
vwasjng,147,tutor,"Good thinking. Now, is that answer reasonable?",00:19:36
vwasjng,148,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:44
vwasjng,149,tutor,"Good thinking. Now, is that answer reasonable?",00:19:52
vwasjng,150,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:00
vwasjng,151,tutor,What do you notice about these two numbers?,00:20:08
vwasjng,152,student,"I would divide it by 100, so the answer is 3.45.",00:20:16
vwasjng,153,tutor,Uh-huh. And what would you do next?,00:20:24
vwasjng,154,student,"I would divide it by 100, so the answer is 3.45.",00:20:32
vwasjng,155,tutor,Uh-huh. And what would you do next?,00:20:40
vwasjng,156,student,I think we need to make the bottom numbers the same before we add.,00:20:48
