session_id,utterance_id,role,content,timestamp
rgigijc,0,background,[unclear],00:00:00
rgigijc,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
rgigijc,2,student,"Yes, I think so.",00:00:16
rgigijc,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
rgigijc,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
rgigijc,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
rgigijc,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
rgigijc,7,tutor,What do you notice about these two numbers?,00:00:56
rgigijc,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
rgigijc,9,tutor,What do you notice about these two numbers?,00:01:12
rgigijc,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
rgigijc,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
rgigijc,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
rgigijc,13,tutor,Uh-huh. And what would you do next?,00:01:44
rgigijc,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
rgigijc,15,tutor,What do you notice about these two numbers?,00:02:00
rgigijc,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
rgigijc,17,tutor,What do you notice about these two numbers?,00:02:16
rgigijc,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
rgigijc,19,tutor,Can you talk me through how you got that answer?,00:02:32
rgigijc,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
rgigijc,21,tutor,Uh-huh. And what would you do next?,00:02:48
rgigijc,22,student,Maybe I should compare them as decimals first.,00:02:56
rgigijc,23,tutor,Can you talk me through how you got that answer?,00:03:04
rgigijc,24,student,Maybe I should compare them as decimals first.,00:03:12
rgigijc,25,tutor,What do you notice about these two numbers?,00:03:20
rgigijc,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
rgigijc,27,tutor,Uh-huh. And what would you do next?,00:03:36
rgigijc,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
rgigijc,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
rgigijc,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
rgigijc,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
rgigijc,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
rgigijc,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
rgigijc,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
rgigijc,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
