session_id,utterance_id,role,content,timestamp
itnfova,0,background,[unclear],00:00:00
itnfova,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
itnfova,2,student,"Yes, I think so.",00:00:16
itnfova,3,tutor,Uh-huh. And what would you do next?,00:00:24
itnfova,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
itnfova,5,tutor,Can you talk me through how you got that answer?,00:00:40
itnfova,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
itnfova,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
itnfova,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
itnfova,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
itnfova,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
itnfova,11,tutor,What do you notice about these two numbers?,00:01:28
itnfova,12,student,Maybe I should compare them as decimals first.,00:01:36
itnfova,13,tutor,Can you talk me through how you got that answer?,00:01:44
itnfova,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
itnfova,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
itnfova,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
itnfova,17,tutor,Uh-huh. And what would you do next?,00:02:16
itnfova,18,student,Yes,00:02:24
itnfova,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
itnfova,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
itnfova,21,tutor,Uh-huh. And what would you do next?,00:02:48
itnfova,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
itnfova,23,tutor,Uh-huh. And what would you do next?,00:03:04
itnfova,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
itnfova,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
itnfova,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
itnfova,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
itnfova,28,student,Maybe I should compare them as decimals first.,00:03:44
itnfova,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
itnfova,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
itnfova,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
itnfova,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
itnfova,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
itnfova,34,student,Maybe I should compare them as decimals first.,00:04:32
itnfova,35,tutor,What do you notice about these two numbers?,00:04:40
itnfova,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
itnfova,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
itnfova,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
itnfova,39,tutor,Can you talk me through how you got that answer?,00:05:12
itnfova,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
itnfova,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
itnfova,42,student,Yes,00:05:36
itnfova,43,tutor,Can you talk me through how you got that answer?,00:05:44
itnfova,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
itnfova,45,tutor,What do you notice about these two numbers?,00:06:00
itnfova,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
itnfova,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
itnfova,48,student,Maybe I should compare them as decimals first.,00:06:24
itnfova,49,tutor,Uh-huh. And what would you do next?,00:06:32
itnfova,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
itnfova,51,tutor,Uh-huh. And what would you do next?,00:06:48
itnfova,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
itnfova,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
itnfova,54,student,Maybe I should compare them as decimals first.,00:07:12
itnfova,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
itnfova,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
itnfova,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
itnfova,58,student,Is it 4?,00:07:44
itnfova,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
itnfova,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
itnfova,61,tutor,Uh-huh. And what would you do next?,00:08:08
itnfova,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
itnfova,63,tutor,Uh-huh. And what would you do next?,00:08:24
itnfova,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
itnfova,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
itnfova,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
itnfova,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
itnfova,68,student,Maybe I should compare them as decimals first.,00:09:04
itnfova,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
itnfova,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
itnfova,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
itnfova,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
itnfova,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
itnfova,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
itnfova,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
