session_id,utterance_id,role,content,timestamp
fpyywmo,0,background,[unclear],00:00:00
fpyywmo,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
fpyywmo,2,student,"Yes, I think so.",00:00:16
fpyywmo,3,tutor,Can you talk me through how you got that answer?,00:00:24
fpyywmo,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
fpyywmo,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
fpyywmo,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
fpyywmo,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
fpyywmo,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
fpyywmo,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
fpyywmo,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
fpyywmo,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
fpyywmo,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
fpyywmo,13,tutor,Can you talk me through how you got that answer?,00:01:44
fpyywmo,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
fpyywmo,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
fpyywmo,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
fpyywmo,17,tutor,Can you talk me through how you got that answer?,00:02:16
fpyywmo,18,student,75.,00:02:24
fpyywmo,19,tutor,What do you notice about these two numbers?,00:02:32
fpyywmo,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
fpyywmo,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
fpyywmo,22,student,Maybe I should compare them as decimals first.,00:02:56
fpyywmo,23,tutor,Can you talk me through how you got that answer?,00:03:04
fpyywmo,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
fpyywmo,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
fpyywmo,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
fpyywmo,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
fpyywmo,28,student,Maybe I should compare them as decimals first.,00:03:44
fpyywmo,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
fpyywmo,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
fpyywmo,31,tutor,Can you talk me through how you got that answer?,00:04:08
fpyywmo,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
fpyywmo,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
fpyywmo,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
fpyywmo,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
fpyywmo,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
fpyywmo,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
fpyywmo,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
fpyywmo,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
fpyywmo,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
fpyywmo,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
fpyywmo,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
fpyywmo,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
fpyywmo,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
fpyywmo,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
fpyywmo,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
fpyywmo,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
fpyywmo,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
fpyywmo,49,tutor,Can you talk me through how you got that answer?,00:06:32
fpyywmo,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
fpyywmo,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
fpyywmo,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
fpyywmo,53,tutor,Uh-huh. And what would you do next?,00:07:04
fpyywmo,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
fpyywmo,55,tutor,Uh-huh. And what would you do next?,00:07:20
fpyywmo,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
fpyywmo,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
fpyywmo,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
fpyywmo,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
fpyywmo,60,student,Maybe I should compare them as decimals first.,00:08:00
fpyywmo,61,tutor,Can you talk me through how you got that answer?,00:08:08
fpyywmo,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
fpyywmo,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
fpyywmo,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
fpyywmo,65,tutor,Can you talk me through how you got that answer?,00:08:40
fpyywmo,66,student,300?,00:08:48
fpyywmo,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
fpyywmo,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
fpyywmo,69,tutor,Can you talk me through how you got that answer?,00:09:12
fpyywmo,70,student,75.,00:09:20
fpyywmo,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
fpyywmo,72,student,6?,00:09:36
fpyywmo,73,tutor,Can you talk me through how you got that answer?,00:09:44
fpyywmo,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
fpyywmo,75,tutor,Uh-huh. And what would you do next?,00:10:00
fpyywmo,76,student,"I would divide it by 100, so the answer is 3.45.",00:10:08
fpyywmo,77,tutor,Can you talk me through how you got that answer?,00:10:16
fpyywmo,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
fpyywmo,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
fpyywmo,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
fpyywmo,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
fpyywmo,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
fpyywmo,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
fpyywmo,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
fpyywmo,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
fpyywmo,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
fpyywmo,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
fpyywmo,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
fpyywmo,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
fpyywmo,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
fpyywmo,91,tutor,What do you notice about these two numbers?,00:12:08
fpyywmo,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
fpyywmo,93,tutor,Uh-huh. And what would you do next?,00:12:24
fpyywmo,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
fpyywmo,95,tutor,Can you talk me through how you got that answer?,00:12:40
fpyywmo,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
fpyywmo,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
fpyywmo,98,student,"I would divide it by 100, so the answer is 3.45.",00:13:04
fpyywmo,99,tutor,What do you notice about these two numbers?,00:13:12
fpyywmo,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
fpyywmo,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
fpyywmo,102,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:36
fpyywmo,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
fpyywmo,104,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:52
fpyywmo,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
fpyywmo,106,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:08
fpyywmo,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
fpyywmo,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
fpyywmo,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
fpyywmo,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
fpyywmo,111,tutor,What do you notice about these two numbers?,00:14:48
fpyywmo,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
fpyywmo,113,tutor,Let's try a similar one. What is 30 times 4?,00:15:04
fpyywmo,114,student,Yes,00:15:12
fpyywmo,115,tutor,What do you notice about these two numbers?,00:15:20
fpyywmo,116,student,Is it 4?,00:15:28
fpyywmo,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
fpyywmo,118,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:44
fpyywmo,119,tutor,Remember what we said about the denominator. What happens here?,00:15:52
fpyywmo,120,student,Okay,00:16:00
fpyywmo,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
fpyywmo,122,student,I'm not sure. Is it because 10 has one zero?,00:16:16
fpyywmo,123,tutor,What do you notice about these two numbers?,00:16:24
fpyywmo,124,student,Maybe I should compare them as decimals first.,00:16:32
fpyywmo,125,tutor,So let me ask you first. Do you know what a fact family is?,00:16:40
fpyywmo,126,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:48
fpyywmo,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
fpyywmo,128,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:04
fpyywmo,129,tutor,Uh-huh. And what would you do next?,00:17:12
fpyywmo,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
fpyywmo,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
fpyywmo,132,student,75.,00:17:36
fpyywmo,133,tutor,Remember what we said about the denominator. What happens here?,00:17:44
fpyywmo,134,student,75.,00:17:52
fpyywmo,135,tutor,"Good thinking. Now, is that answer reasonable?",00:18:00
fpyywmo,136,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:08
fpyywmo,137,tutor,Remember what we said about the denominator. What happens here?,00:18:16
fpyywmo,138,student,75.,00:18:24
fpyywmo,139,tutor,Remember what we said about the denominator. What happens here?,00:18:32
fpyywmo,140,student,Maybe I should compare them as decimals first.,00:18:40
fpyywmo,141,tutor,Uh-huh. And what would you do next?,00:18:48
fpyywmo,142,student,Half?,00:18:56
fpyywmo,143,tutor,What do you notice about these two numbers?,00:19:04
fpyywmo,144,student,I'm not sure. Is it because 10 has one zero?,00:19:12
fpyywmo,145,tutor,"Good thinking. Now, is that answer reasonable?",00:19:20
fpyywmo,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
fpyywmo,147,tutor,So let me ask you first. Do you know what a fact family is?,00:19:36
fpyywmo,148,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:44
fpyywmo,149,tutor,Uh-huh. And what would you do next?,00:19:52
fpyywmo,150,student,I think we need to make the bottom numbers the same before we add.,00:20:00
fpyywmo,151,tutor,Remember what we said about the denominator. What happens here?,00:20:08
fpyywmo,152,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:16
fpyywmo,153,tutor,What do you notice about these two numbers?,00:20:24
fpyywmo,154,student,I think we need to make the bottom numbers the same before we add.,00:20:32
fpyywmo,155,tutor,Can you talk me through how you got that answer?,00:20:40
fpyywmo,156,student,I'm not sure. Is it because 10 has one zero?,00:20:48
fpyywmo,157,tutor,So let me ask you first. Do you know what a fact family is?,00:20:56
fpyywmo,158,student,Maybe I should compare them as decimals first.,00:21:04
fpyywmo,159,tutor,Can you talk me through how you got that answer?,00:21:12
fpyywmo,160,student,I think we need to make the bottom numbers the same before we add.,00:21:20
fpyywmo,161,tutor,What do you notice about these two numbers?,00:21:28
fpyywmo,162,student,"I would divide it by 100, so the answer is 3.45.",00:21:36
fpyywmo,163,tutor,What do you notice about these two numbers?,00:21:44
fpyywmo,164,student,I'm not sure. Is it because 10 has one zero?,00:21:52
fpyywmo,165,tutor,"Good thinking. Now, is that answer reasonable?",00:22:00
fpyywmo,166,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:22:08
fpyywmo,167,tutor,Uh-huh. And what would you do next?,00:22:16
fpyywmo,168,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:24
fpyywmo,169,tutor,Remember what we said about the denominator. What happens here?,00:22:32
fpyywmo,170,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:22:40
fpyywmo,171,tutor,"Good thinking. Now, is that answer reasonable?",00:22:48
fpyywmo,172,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:56
fpyywmo,173,tutor,So let me ask you first. Do you know what a fact family is?,00:23:04
fpyywmo,174,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:23:12
fpyywmo,175,tutor,What do you notice about these two numbers?,00:23:20
fpyywmo,176,student,I think we need to make the bottom numbers the same before we add.,00:23:28
fpyywmo,177,tutor,Uh-huh. And what would you do next?,00:23:36
fpyywmo,178,student,Maybe I should compare them as decimals first.,00:23:44
fpyywmo,179,tutor,Can you talk me through how you got that answer?,00:23:52
fpyywmo,180,student,Okay,00:24:00
fpyywmo,181,tutor,So let me ask you first. Do you know what a fact family is?,00:24:08
fpyywmo,182,student,300?,00:24:16
fpyywmo,183,tutor,Can you talk me through how you got that answer?,00:24:24
fpyywmo,184,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:32
fpyywmo,185,tutor,Can you talk me through how you got that answer?,00:24:40
fpyywmo,186,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:48
fpyywmo,187,tutor,So let me ask you first. Do you know what a fact family is?,00:24:56
fpyywmo,188,student,I'm not sure. Is it because 10 has one zero?,00:25:04
fpyywmo,189,tutor,What do you notice about these two numbers?,00:25:12
fpyywmo,190,student,I think we need to make the bottom numbers the same before we add.,00:25:20
fpyywmo,191,tutor,"Good thinking. Now, is that answer reasonable?",00:25:28
fpyywmo,192,student,"I would divide it by 100, so the answer is 3.45.",00:25:36
fpyywmo,193,tutor,Can you talk me through how you got that answer?,00:25:44
fpyywmo,194,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:25:52
fpyywmo,195,tutor,Can you talk me through how you got that answer?,00:26:00
fpyywmo,196,student,Half?,00:26:08
fpyywmo,197,tutor,So let me ask you first. Do you know what a fact family is?,00:26:16
fpyywmo,198,student,I'm not sure. Is it because 10 has one zero?,00:26:24
fpyywmo,199,tutor,Remember what we said about the denominator. What happens here?,00:26:32
fpyywmo,200,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:26:40
