session_id,utterance_id,role,content,timestamp
envsvqw,0,background,[unclear],00:00:00
envsvqw,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
envsvqw,2,student,"Yes, I think so.",00:00:16
envsvqw,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
envsvqw,4,student,Maybe I should compare them as decimals first.,00:00:32
envsvqw,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
envsvqw,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
envsvqw,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
envsvqw,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
envsvqw,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
envsvqw,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
envsvqw,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
envsvqw,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
envsvqw,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
envsvqw,14,student,Maybe I should compare them as decimals first.,00:01:52
envsvqw,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
envsvqw,16,student,Maybe I should compare them as decimals first.,00:02:08
envsvqw,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
envsvqw,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
envsvqw,19,tutor,Can you talk me through how you got that answer?,00:02:32
envsvqw,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
envsvqw,21,tutor,Uh-huh. And what would you do next?,00:02:48
envsvqw,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
envsvqw,23,tutor,What do you notice about these two numbers?,00:03:04
envsvqw,24,student,Maybe I should compare them as decimals first.,00:03:12
envsvqw,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
envsvqw,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
envsvqw,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
envsvqw,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
envsvqw,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
envsvqw,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
envsvqw,31,tutor,Uh-huh. And what would you do next?,00:04:08
envsvqw,32,student,Maybe I should compare them as decimals first.,00:04:16
envsvqw,33,tutor,Can you talk me through how you got that answer?,00:04:24
envsvqw,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
envsvqw,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
envsvqw,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
envsvqw,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
envsvqw,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
envsvqw,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
envsvqw,40,student,Maybe I should compare them as decimals first.,00:05:20
envsvqw,41,tutor,Uh-huh. And what would you do next?,00:05:28
envsvqw,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
envsvqw,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
envsvqw,44,student,6?,00:05:52
envsvqw,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
envsvqw,46,student,Yes,00:06:08
envsvqw,47,tutor,What do you notice about these two numbers?,00:06:16
envsvqw,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
envsvqw,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
envsvqw,50,student,Maybe I should compare them as decimals first.,00:06:40
envsvqw,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
envsvqw,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
envsvqw,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
envsvqw,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
envsvqw,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
envsvqw,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
envsvqw,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
envsvqw,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
envsvqw,59,tutor,What do you notice about these two numbers?,00:07:52
envsvqw,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
envsvqw,61,tutor,Uh-huh. And what would you do next?,00:08:08
envsvqw,62,student,12.,00:08:16
envsvqw,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
envsvqw,64,student,300?,00:08:32
envsvqw,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
envsvqw,66,student,Is it 4?,00:08:48
envsvqw,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
envsvqw,68,student,Maybe I should compare them as decimals first.,00:09:04
