session_id,utterance_id,role,content,timestamp
gycfiav,0,background,[unclear],00:00:00
gycfiav,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
gycfiav,2,student,"Yes, I think so.",00:00:16
gycfiav,3,tutor,What do you notice about these two numbers?,00:00:24
gycfiav,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
gycfiav,5,tutor,What do you notice about these two numbers?,00:00:40
gycfiav,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
gycfiav,7,tutor,Uh-huh. And what would you do next?,00:00:56
gycfiav,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
gycfiav,9,tutor,What do you notice about these two numbers?,00:01:12
gycfiav,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
gycfiav,11,tutor,Uh-huh. And what would you do next?,00:01:28
gycfiav,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
gycfiav,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
gycfiav,14,student,No,00:01:52
gycfiav,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
gycfiav,16,student,Maybe I should compare them as decimals first.,00:02:08
gycfiav,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
gycfiav,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
gycfiav,19,tutor,What do you notice about these two numbers?,00:02:32
gycfiav,20,student,300?,00:02:40
gycfiav,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
gycfiav,22,student,300?,00:02:56
gycfiav,23,tutor,Uh-huh. And what would you do next?,00:03:04
gycfiav,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
gycfiav,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
gycfiav,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
gycfiav,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
gycfiav,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
gycfiav,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
gycfiav,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
gycfiav,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
gycfiav,32,student,Half?,00:04:16
gycfiav,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
gycfiav,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
gycfiav,35,tutor,Can you talk me through how you got that answer?,00:04:40
gycfiav,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
gycfiav,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
gycfiav,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
gycfiav,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
gycfiav,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
gycfiav,41,tutor,Can you talk me through how you got that answer?,00:05:28
gycfiav,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
gycfiav,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
gycfiav,44,student,Maybe I should compare them as decimals first.,00:05:52
gycfiav,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
gycfiav,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
gycfiav,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
gycfiav,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
gycfiav,49,tutor,What do you notice about these two numbers?,00:06:32
gycfiav,50,student,300?,00:06:40
gycfiav,51,tutor,Can you talk me through how you got that answer?,00:06:48
gycfiav,52,student,Half?,00:06:56
gycfiav,53,tutor,Uh-huh. And what would you do next?,00:07:04
gycfiav,54,student,75.,00:07:12
gycfiav,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
gycfiav,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
gycfiav,57,tutor,Can you talk me through how you got that answer?,00:07:36
gycfiav,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
gycfiav,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
gycfiav,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
gycfiav,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
gycfiav,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
gycfiav,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
gycfiav,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
gycfiav,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
gycfiav,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
gycfiav,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
gycfiav,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
gycfiav,69,tutor,What do you notice about these two numbers?,00:09:12
gycfiav,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
gycfiav,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
gycfiav,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
gycfiav,73,tutor,Can you talk me through how you got that answer?,00:09:44
gycfiav,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
gycfiav,75,tutor,Uh-huh. And what would you do next?,00:10:00
gycfiav,76,student,12.,00:10:08
gycfiav,77,tutor,What do you notice about these two numbers?,00:10:16
gycfiav,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
gycfiav,79,tutor,What do you notice about these two numbers?,00:10:32
gycfiav,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
gycfiav,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
gycfiav,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
gycfiav,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
gycfiav,84,student,12.,00:11:12
gycfiav,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
gycfiav,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
gycfiav,87,tutor,What do you notice about these two numbers?,00:11:36
gycfiav,88,student,12.,00:11:44
gycfiav,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
gycfiav,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
gycfiav,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
gycfiav,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
gycfiav,93,tutor,What do you notice about these two numbers?,00:12:24
gycfiav,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
gycfiav,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
gycfiav,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
gycfiav,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
gycfiav,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
gycfiav,99,tutor,What do you notice about these two numbers?,00:13:12
gycfiav,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
gycfiav,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
gycfiav,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
gycfiav,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
gycfiav,104,student,75.,00:13:52
gycfiav,105,tutor,Can you talk me through how you got that answer?,00:14:00
gycfiav,106,student,"I would divide it by 100, so the answer is 3.45.",00:14:08
gycfiav,107,tutor,Can you talk me through how you got that answer?,00:14:16
gycfiav,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
gycfiav,109,tutor,What do you notice about these two numbers?,00:14:32
gycfiav,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
gycfiav,111,tutor,Uh-huh. And what would you do next?,00:14:48
gycfiav,112,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:56
gycfiav,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
gycfiav,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
gycfiav,115,tutor,What do you notice about these two numbers?,00:15:20
gycfiav,116,student,Half?,00:15:28
gycfiav,117,tutor,What do you notice about these two numbers?,00:15:36
