session_id,utterance_id,role,content,timestamp
gfimwtq,0,background,[unclear],00:00:00
gfimwtq,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
gfimwtq,2,student,"Yes, I think so.",00:00:16
gfimwtq,3,tutor,Can you talk me through how you got that answer?,00:00:24
gfimwtq,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
gfimwtq,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
gfimwtq,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
gfimwtq,7,tutor,Uh-huh. And what would you do next?,00:00:56
gfimwtq,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
gfimwtq,9,tutor,Can you talk me through how you got that answer?,00:01:12
gfimwtq,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
gfimwtq,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
gfimwtq,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
gfimwtq,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
gfimwtq,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
gfimwtq,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
gfimwtq,16,student,Maybe I should compare them as decimals first.,00:02:08
gfimwtq,17,tutor,What do you notice about these two numbers?,00:02:16
gfimwtq,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
gfimwtq,19,tutor,What do you notice about these two numbers?,00:02:32
gfimwtq,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
gfimwtq,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
gfimwtq,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
gfimwtq,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
gfimwtq,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
gfimwtq,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
gfimwtq,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
gfimwtq,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
gfimwtq,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
gfimwtq,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
gfimwtq,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
gfimwtq,31,tutor,Can you talk me through how you got that answer?,00:04:08
gfimwtq,32,student,Maybe I should compare them as decimals first.,00:04:16
gfimwtq,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
gfimwtq,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
gfimwtq,35,tutor,Can you talk me through how you got that answer?,00:04:40
gfimwtq,36,student,Okay,00:04:48
gfimwtq,37,tutor,Uh-huh. And what would you do next?,00:04:56
gfimwtq,38,student,Maybe I should compare them as decimals first.,00:05:04
gfimwtq,39,tutor,Can you talk me through how you got that answer?,00:05:12
gfimwtq,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
gfimwtq,41,tutor,Uh-huh. And what would you do next?,00:05:28
gfimwtq,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
gfimwtq,43,tutor,Can you talk me through how you got that answer?,00:05:44
gfimwtq,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
gfimwtq,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
gfimwtq,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
gfimwtq,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
gfimwtq,48,student,Okay,00:06:24
gfimwtq,49,tutor,Can you talk me through how you got that answer?,00:06:32
gfimwtq,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
gfimwtq,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
gfimwtq,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
gfimwtq,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
gfimwtq,54,student,Okay,00:07:12
gfimwtq,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
gfimwtq,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
gfimwtq,57,tutor,What do you notice about these two numbers?,00:07:36
gfimwtq,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
gfimwtq,59,tutor,What do you notice about these two numbers?,00:07:52
gfimwtq,60,student,12.,00:08:00
gfimwtq,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
gfimwtq,62,student,6?,00:08:16
gfimwtq,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
gfimwtq,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
gfimwtq,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
gfimwtq,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
gfimwtq,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
gfimwtq,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
gfimwtq,69,tutor,Can you talk me through how you got that answer?,00:09:12
gfimwtq,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
gfimwtq,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
gfimwtq,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
gfimwtq,73,tutor,Can you talk me through how you got that answer?,00:09:44
