session_id,utterance_id,role,content,timestamp
yimmato,0,background,[unclear],00:00:00
yimmato,1,tutor,"Hello, are you ready to get started today?",00:00:08
yimmato,2,student,"Yes, I think so.",00:00:16
yimmato,3,tutor,Uh-huh. And what would you do next?,00:00:24
yimmato,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
yimmato,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
yimmato,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
yimmato,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
yimmato,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
yimmato,9,tutor,Uh-huh. And what would you do next?,00:01:12
yimmato,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
yimmato,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
yimmato,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
yimmato,13,tutor,What do you notice about these two numbers?,00:01:44
yimmato,14,student,Maybe I should compare them as decimals first.,00:01:52
yimmato,15,tutor,Can you talk me through how you got that answer?,00:02:00
yimmato,16,student,Maybe I should compare them as decimals first.,00:02:08
yimmato,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
yimmato,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
yimmato,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
yimmato,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
yimmato,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
yimmato,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
yimmato,23,tutor,What do you notice about these two numbers?,00:03:04
yimmato,24,student,12.,00:03:12
yimmato,25,tutor,Uh-huh. And what would you do next?,00:03:20
yimmato,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
yimmato,27,tutor,Uh-huh. And what would you do next?,00:03:36
yimmato,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
yimmato,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
yimmato,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
yimmato,31,tutor,Uh-huh. And what would you do next?,00:04:08
yimmato,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
yimmato,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
yimmato,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
yimmato,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
yimmato,36,student,75.,00:04:48
yimmato,37,tutor,Uh-huh. And what would you do next?,00:04:56
yimmato,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
yimmato,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
yimmato,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
yimmato,41,tutor,Uh-huh. And what would you do next?,00:05:28
yimmato,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
yimmato,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
yimmato,44,student,Maybe I should compare them as decimals first.,00:05:52
yimmato,45,tutor,Uh-huh. And what would you do next?,00:06:00
yimmato,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
yimmato,47,tutor,Can you talk me through how you got that answer?,00:06:16
yimmato,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
yimmato,49,tutor,Can you talk me through how you got that answer?,00:06:32
yimmato,50,student,Maybe I should compare them as decimals first.,00:06:40
yimmato,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
yimmato,52,student,Maybe I should compare them as decimals first.,00:06:56
yimmato,53,tutor,Uh-huh. And what would you do next?,00:07:04
yimmato,54,student,Okay,00:07:12
yimmato,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
yimmato,56,student,Maybe I should compare them as decimals first.,00:07:28
yimmato,57,tutor,What do you notice about these two numbers?,00:07:36
yimmato,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
yimmato,59,tutor,What do you notice about these two numbers?,00:07:52
yimmato,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
yimmato,61,tutor,Can you talk me through how you got that answer?,00:08:08
yimmato,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
yimmato,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
yimmato,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
yimmato,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
yimmato,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
yimmato,67,tutor,What do you notice about these two numbers?,00:08:56
yimmato,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
yimmato,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
yimmato,70,student,Half?,00:09:20
yimmato,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
yimmato,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
yimmato,73,tutor,What do you notice about these two numbers?,00:09:44
yimmato,74,student,75.,00:09:52
yimmato,75,tutor,Can you talk me through how you got that answer?,00:10:00
yimmato,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
yimmato,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
yimmato,78,student,Maybe I should compare them as decimals first.,00:10:24
yimmato,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
yimmato,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
yimmato,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
yimmato,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
yimmato,83,tutor,Uh-huh. And what would you do next?,00:11:04
yimmato,84,student,Maybe I should compare them as decimals first.,00:11:12
yimmato,85,tutor,What do you notice about these two numbers?,00:11:20
yimmato,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
yimmato,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
yimmato,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
yimmato,89,tutor,Uh-huh. And what would you do next?,00:11:52
yimmato,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
yimmato,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
yimmato,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
yimmato,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
yimmato,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
yimmato,95,tutor,What do you notice about these two numbers?,00:12:40
