session_id,utterance_id,role,content,timestamp
aeupjzk,0,background,[unclear],00:00:00
aeupjzk,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
aeupjzk,2,student,"Yes, I think so.",00:00:16
aeupjzk,3,tutor,Uh-huh. And what would you do next?,00:00:24
aeupjzk,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
aeupjzk,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
aeupjzk,6,student,Yes,00:00:48
aeupjzk,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
aeupjzk,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
aeupjzk,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
aeupjzk,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
aeupjzk,11,tutor,Can you talk me through how you got that answer?,00:01:28
aeupjzk,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
aeupjzk,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
aeupjzk,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
aeupjzk,15,tutor,What do you notice about these two numbers?,00:02:00
aeupjzk,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
aeupjzk,17,tutor,What do you notice about these two numbers?,00:02:16
aeupjzk,18,student,Maybe I should compare them as decimals first.,00:02:24
aeupjzk,19,tutor,Uh-huh. And what would you do next?,00:02:32
aeupjzk,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
aeupjzk,21,tutor,Can you talk me through how you got that answer?,00:02:48
aeupjzk,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
aeupjzk,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
aeupjzk,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
aeupjzk,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
aeupjzk,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
aeupjzk,27,tutor,Uh-huh. And what would you do next?,00:03:36
aeupjzk,28,student,75.,00:03:44
aeupjzk,29,tutor,Can you talk me through how you got that answer?,00:03:52
aeupjzk,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
aeupjzk,31,tutor,Uh-huh. And what would you do next?,00:04:08
aeupjzk,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
aeupjzk,33,tutor,Can you talk me through how you got that answer?,00:04:24
aeupjzk,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
aeupjzk,35,tutor,What do you notice about these two numbers?,00:04:40
aeupjzk,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
aeupjzk,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
aeupjzk,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
aeupjzk,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
aeupjzk,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
aeupjzk,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
aeupjzk,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
aeupjzk,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
aeupjzk,44,student,Maybe I should compare them as decimals first.,00:05:52
aeupjzk,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
aeupjzk,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
aeupjzk,47,tutor,Can you talk me through how you got that answer?,00:06:16
aeupjzk,48,student,Maybe I should compare them as decimals first.,00:06:24
aeupjzk,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
aeupjzk,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
aeupjzk,51,tutor,Can you talk me through how you got that answer?,00:06:48
aeupjzk,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
aeupjzk,53,tutor,Uh-huh. And what would you do next?,00:07:04
aeupjzk,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
