session_id,utterance_id,role,content,timestamp
mkzyvso,0,background,[unclear],00:00:00
mkzyvso,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
mkzyvso,2,student,"Yes, I think so.",00:00:16
mkzyvso,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
mkzyvso,4,student,12.,00:00:32
mkzyvso,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
mkzyvso,6,student,No,00:00:48
mkzyvso,7,tutor,Can you talk me through how you got that answer?,00:00:56
mkzyvso,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
mkzyvso,9,tutor,Can you talk me through how you got that answer?,00:01:12
mkzyvso,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
mkzyvso,11,tutor,What do you notice about these two numbers?,00:01:28
mkzyvso,12,student,300?,00:01:36
mkzyvso,13,tutor,Can you talk me through how you got that answer?,00:01:44
mkzyvso,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
mkzyvso,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
mkzyvso,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
mkzyvso,17,tutor,Can you talk me through how you got that answer?,00:02:16
mkzyvso,18,student,Maybe I should compare them as decimals first.,00:02:24
mkzyvso,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
mkzyvso,20,student,Is it 4?,00:02:40
mkzyvso,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
mkzyvso,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
mkzyvso,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
mkzyvso,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
mkzyvso,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
mkzyvso,26,student,Okay,00:03:28
mkzyvso,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
mkzyvso,28,student,300?,00:03:44
mkzyvso,29,tutor,Uh-huh. And what would you do next?,00:03:52
mkzyvso,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
mkzyvso,31,tutor,Can you talk me through how you got that answer?,00:04:08
mkzyvso,32,student,No,00:04:16
mkzyvso,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
mkzyvso,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
mkzyvso,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
mkzyvso,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
mkzyvso,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
mkzyvso,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
mkzyvso,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
mkzyvso,40,student,Yes,00:05:20
mkzyvso,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
mkzyvso,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
mkzyvso,43,tutor,Can you talk me through how you got that answer?,00:05:44
mkzyvso,44,student,6?,00:05:52
mkzyvso,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
mkzyvso,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
mkzyvso,47,tutor,What do you notice about these two numbers?,00:06:16
mkzyvso,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
mkzyvso,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
mkzyvso,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
mkzyvso,51,tutor,Can you talk me through how you got that answer?,00:06:48
mkzyvso,52,student,No,00:06:56
mkzyvso,53,tutor,Uh-huh. And what would you do next?,00:07:04
mkzyvso,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
