session_id,utterance_id,role,content,timestamp
cwilkhw,0,background,[unclear],00:00:00
cwilkhw,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
cwilkhw,2,student,"Yes, I think so.",00:00:16
cwilkhw,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
cwilkhw,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
cwilkhw,5,tutor,Uh-huh. And what would you do next?,00:00:40
cwilkhw,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
cwilkhw,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
cwilkhw,8,student,Maybe I should compare them as decimals first.,00:01:04
cwilkhw,9,tutor,What do you notice about these two numbers?,00:01:12
cwilkhw,10,student,6?,00:01:20
cwilkhw,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
cwilkhw,12,student,Maybe I should compare them as decimals first.,00:01:36
cwilkhw,13,tutor,What do you notice about these two numbers?,00:01:44
cwilkhw,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
cwilkhw,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
cwilkhw,16,student,Half?,00:02:08
cwilkhw,17,tutor,Uh-huh. And what would you do next?,00:02:16
cwilkhw,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
cwilkhw,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
cwilkhw,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
cwilkhw,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
cwilkhw,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
cwilkhw,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
cwilkhw,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
cwilkhw,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
cwilkhw,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
cwilkhw,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
cwilkhw,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
cwilkhw,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
cwilkhw,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
cwilkhw,31,tutor,Uh-huh. And what would you do next?,00:04:08
cwilkhw,32,student,Yes,00:04:16
cwilkhw,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
cwilkhw,34,student,Is it 4?,00:04:32
cwilkhw,35,tutor,Uh-huh. And what would you do next?,00:04:40
cwilkhw,36,student,Maybe I should compare them as decimals first.,00:04:48
cwilkhw,37,tutor,What do you notice about these two numbers?,00:04:56
cwilkhw,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
cwilkhw,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
cwilkhw,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
cwilkhw,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
cwilkhw,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
cwilkhw,43,tutor,Uh-huh. And what would you do next?,00:05:44
cwilkhw,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
cwilkhw,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
cwilkhw,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
cwilkhw,47,tutor,What do you notice about these two numbers?,00:06:16
cwilkhw,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
cwilkhw,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
cwilkhw,50,student,Maybe I should compare them as decimals first.,00:06:40
cwilkhw,51,tutor,What do you notice about these two numbers?,00:06:48
cwilkhw,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
cwilkhw,53,tutor,Can you talk me through how you got that answer?,00:07:04
cwilkhw,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
cwilkhw,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
cwilkhw,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
cwilkhw,57,tutor,Can you talk me through how you got that answer?,00:07:36
cwilkhw,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
cwilkhw,59,tutor,Uh-huh. And what would you do next?,00:07:52
cwilkhw,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
cwilkhw,61,tutor,Uh-huh. And what would you do next?,00:08:08
cwilkhw,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
