session_id,utterance_id,role,content,timestamp
dkitejg,0,background,[unclear],00:00:00
dkitejg,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
dkitejg,2,student,"Yes, I think so.",00:00:16
dkitejg,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
dkitejg,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
dkitejg,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
dkitejg,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
dkitejg,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
dkitejg,8,student,Half?,00:01:04
dkitejg,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
dkitejg,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
dkitejg,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
dkitejg,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
dkitejg,13,tutor,Can you talk me through how you got that answer?,00:01:44
dkitejg,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
dkitejg,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
dkitejg,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
dkitejg,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
dkitejg,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
dkitejg,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
dkitejg,20,student,Maybe I should compare them as decimals first.,00:02:40
dkitejg,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
dkitejg,22,student,Maybe I should compare them as decimals first.,00:02:56
dkitejg,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
dkitejg,24,student,Maybe I should compare them as decimals first.,00:03:12
dkitejg,25,tutor,Uh-huh. And what would you do next?,00:03:20
dkitejg,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
dkitejg,27,tutor,What do you notice about these two numbers?,00:03:36
dkitejg,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
dkitejg,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
dkitejg,30,student,Yes,00:04:00
dkitejg,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
dkitejg,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
dkitejg,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
dkitejg,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
dkitejg,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
dkitejg,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
dkitejg,37,tutor,What do you notice about these two numbers?,00:04:56
dkitejg,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
dkitejg,39,tutor,Uh-huh. And what would you do next?,00:05:12
dkitejg,40,student,Yes,00:05:20
dkitejg,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
dkitejg,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
dkitejg,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
dkitejg,44,student,Maybe I should compare them as decimals first.,00:05:52
dkitejg,45,tutor,What do you notice about these two numbers?,00:06:00
dkitejg,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
dkitejg,47,tutor,Uh-huh. And what would you do next?,00:06:16
dkitejg,48,student,Maybe I should compare them as decimals first.,00:06:24
dkitejg,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
dkitejg,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
