session_id,utterance_id,role,content,timestamp
xrhawdc,0,background,[unclear],00:00:00
xrhawdc,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
xrhawdc,2,student,"Yes, I think so.",00:00:16
xrhawdc,3,tutor,What do you notice about these two numbers?,00:00:24
xrhawdc,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
xrhawdc,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
xrhawdc,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
xrhawdc,7,tutor,Uh-huh. And what would you do next?,00:00:56
xrhawdc,8,student,Maybe I should compare them as decimals first.,00:01:04
xrhawdc,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
xrhawdc,10,student,Maybe I should compare them as decimals first.,00:01:20
xrhawdc,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
xrhawdc,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
xrhawdc,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
xrhawdc,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
xrhawdc,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
xrhawdc,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
xrhawdc,17,tutor,Can you talk me through how you got that answer?,00:02:16
xrhawdc,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
xrhawdc,19,tutor,What do you notice about these two numbers?,00:02:32
xrhawdc,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
xrhawdc,21,tutor,Can you talk me through how you got that answer?,00:02:48
xrhawdc,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
xrhawdc,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
xrhawdc,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
xrhawdc,25,tutor,What do you notice about these two numbers?,00:03:20
xrhawdc,26,student,12.,00:03:28
xrhawdc,27,tutor,Can you talk me through how you got that answer?,00:03:36
xrhawdc,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
xrhawdc,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
xrhawdc,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
xrhawdc,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
xrhawdc,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
xrhawdc,33,tutor,Uh-huh. And what would you do next?,00:04:24
xrhawdc,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
xrhawdc,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
xrhawdc,36,student,Maybe I should compare them as decimals first.,00:04:48
xrhawdc,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
xrhawdc,38,student,Maybe I should compare them as decimals first.,00:05:04
xrhawdc,39,tutor,Can you talk me through how you got that answer?,00:05:12
xrhawdc,40,student,Maybe I should compare them as decimals first.,00:05:20
xrhawdc,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
