session_id,utterance_id,role,content,timestamp
zvkgyhi,0,background,[unclear],00:00:00
zvkgyhi,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
zvkgyhi,2,student,"Yes, I think so.",00:00:16
zvkgyhi,3,tutor,What do you notice about these two numbers?,00:00:24
zvkgyhi,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
zvkgyhi,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
zvkgyhi,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
zvkgyhi,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
zvkgyhi,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
zvkgyhi,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
zvkgyhi,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
zvkgyhi,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
zvkgyhi,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
zvkgyhi,13,tutor,Can you talk me through how you got that answer?,00:01:44
zvkgyhi,14,student,Maybe I should compare them as decimals first.,00:01:52
zvkgyhi,15,tutor,What do you notice about these two numbers?,00:02:00
zvkgyhi,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
zvkgyhi,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
zvkgyhi,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
zvkgyhi,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
zvkgyhi,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
zvkgyhi,21,tutor,Uh-huh. And what would you do next?,00:02:48
zvkgyhi,22,student,Half?,00:02:56
zvkgyhi,23,tutor,Uh-huh. And what would you do next?,00:03:04
zvkgyhi,24,student,Maybe I should compare them as decimals first.,00:03:12
zvkgyhi,25,tutor,What do you notice about these two numbers?,00:03:20
zvkgyhi,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
zvkgyhi,27,tutor,Uh-huh. And what would you do next?,00:03:36
zvkgyhi,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
zvkgyhi,29,tutor,Can you talk me through how you got that answer?,00:03:52
zvkgyhi,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
zvkgyhi,31,tutor,Uh-huh. And what would you do next?,00:04:08
zvkgyhi,32,student,12.,00:04:16
zvkgyhi,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
zvkgyhi,34,student,Maybe I should compare them as decimals first.,00:04:32
zvkgyhi,35,tutor,Uh-huh. And what would you do next?,00:04:40
zvkgyhi,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
zvkgyhi,37,tutor,Can you talk me through how you got that answer?,00:04:56
zvkgyhi,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
zvkgyhi,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
zvkgyhi,40,student,12.,00:05:20
zvkgyhi,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
zvkgyhi,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
zvkgyhi,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
zvkgyhi,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
zvkgyhi,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
zvkgyhi,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
zvkgyhi,47,tutor,Uh-huh. And what would you do next?,00:06:16
zvkgyhi,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
zvkgyhi,49,tutor,What do you notice about these two numbers?,00:06:32
zvkgyhi,50,student,300?,00:06:40
zvkgyhi,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
zvkgyhi,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
zvkgyhi,53,tutor,Can you talk me through how you got that answer?,00:07:04
