session_id,utterance_id,role,content,timestamp
tmsxqvu,0,background,[unclear],00:00:00
tmsxqvu,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
tmsxqvu,2,student,"Yes, I think so.",00:00:16
tmsxqvu,3,tutor,Uh-huh. And what would you do next?,00:00:24
tmsxqvu,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
tmsxqvu,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
tmsxqvu,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
tmsxqvu,7,tutor,What do you notice about these two numbers?,00:00:56
tmsxqvu,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
tmsxqvu,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
tmsxqvu,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
tmsxqvu,11,tutor,Uh-huh. And what would you do next?,00:01:28
tmsxqvu,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
tmsxqvu,13,tutor,Uh-huh. And what would you do next?,00:01:44
tmsxqvu,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
tmsxqvu,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
tmsxqvu,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
tmsxqvu,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
tmsxqvu,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
tmsxqvu,19,tutor,Can you talk me through how you got that answer?,00:02:32
tmsxqvu,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
tmsxqvu,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
tmsxqvu,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
tmsxqvu,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
tmsxqvu,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
tmsxqvu,25,tutor,What do you notice about these two numbers?,00:03:20
tmsxqvu,26,student,Maybe I should compare them as decimals first.,00:03:28
tmsxqvu,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
tmsxqvu,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
tmsxqvu,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
tmsxqvu,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
tmsxqvu,31,tutor,Uh-huh. And what would you do next?,00:04:08
tmsxqvu,32,student,6?,00:04:16
tmsxqvu,33,tutor,Can you talk me through how you got that answer?,00:04:24
tmsxqvu,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
tmsxqvu,35,tutor,Uh-huh. And what would you do next?,00:04:40
tmsxqvu,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
tmsxqvu,37,tutor,What do you notice about these two numbers?,00:04:56
tmsxqvu,38,student,Maybe I should compare them as decimals first.,00:05:04
tmsxqvu,39,tutor,Can you talk me through how you got that answer?,00:05:12
tmsxqvu,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
tmsxqvu,41,tutor,Uh-huh. And what would you do next?,00:05:28
tmsxqvu,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
tmsxqvu,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
tmsxqvu,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
tmsxqvu,45,tutor,What do you notice about these two numbers?,00:06:00
tmsxqvu,46,student,12.,00:06:08
tmsxqvu,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
tmsxqvu,48,student,6?,00:06:24
tmsxqvu,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
tmsxqvu,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
tmsxqvu,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
tmsxqvu,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
tmsxqvu,53,tutor,Uh-huh. And what would you do next?,00:07:04
tmsxqvu,54,student,12.,00:07:12
tmsxqvu,55,tutor,Uh-huh. And what would you do next?,00:07:20
tmsxqvu,56,student,Half?,00:07:28
tmsxqvu,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
tmsxqvu,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
tmsxqvu,59,tutor,Uh-huh. And what would you do next?,00:07:52
tmsxqvu,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
tmsxqvu,61,tutor,What do you notice about these two numbers?,00:08:08
tmsxqvu,62,student,12.,00:08:16
tmsxqvu,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
tmsxqvu,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
tmsxqvu,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
tmsxqvu,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
tmsxqvu,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
tmsxqvu,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
tmsxqvu,69,tutor,Uh-huh. And what would you do next?,00:09:12
tmsxqvu,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
tmsxqvu,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
tmsxqvu,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
tmsxqvu,73,tutor,Uh-huh. And what would you do next?,00:09:44
tmsxqvu,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
tmsxqvu,75,tutor,Uh-huh. And what would you do next?,00:10:00
tmsxqvu,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
tmsxqvu,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
tmsxqvu,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
tmsxqvu,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
tmsxqvu,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
tmsxqvu,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
tmsxqvu,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
tmsxqvu,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
tmsxqvu,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
tmsxqvu,85,tutor,Uh-huh. And what would you do next?,00:11:20
tmsxqvu,86,student,Half?,00:11:28
tmsxqvu,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
tmsxqvu,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
tmsxqvu,89,tutor,Uh-huh. And what would you do next?,00:11:52
tmsxqvu,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
tmsxqvu,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
tmsxqvu,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
tmsxqvu,93,tutor,Uh-huh. And what would you do next?,00:12:24
tmsxqvu,94,student,"I would divide it by 100, so the answer is 3.45.",00:12:32
