session_id,utterance_id,role,content,timestamp
txtdghi,0,background,[unclear],00:00:00
txtdghi,1,tutor,"Hello, are you ready to get started today?",00:00:08
txtdghi,2,student,"Yes, I think so.",00:00:16
txtdghi,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
txtdghi,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
txtdghi,5,tutor,Uh-huh. And what would you do next?,00:00:40
txtdghi,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
txtdghi,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
txtdghi,8,student,Maybe I should compare them as decimals first.,00:01:04
txtdghi,9,tutor,Can you talk me through how you got that answer?,00:01:12
txtdghi,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
txtdghi,11,tutor,Can you talk me through how you got that answer?,00:01:28
txtdghi,12,student,Yes,00:01:36
txtdghi,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
txtdghi,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
txtdghi,15,tutor,Can you talk me through how you got that answer?,00:02:00
txtdghi,16,student,75.,00:02:08
txtdghi,17,tutor,Uh-huh. And what would you do next?,00:02:16
txtdghi,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
txtdghi,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
txtdghi,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
txtdghi,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
txtdghi,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
txtdghi,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
txtdghi,24,student,Okay,00:03:12
txtdghi,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
txtdghi,26,student,Okay,00:03:28
txtdghi,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
txtdghi,28,student,No,00:03:44
txtdghi,29,tutor,Can you talk me through how you got that answer?,00:03:52
txtdghi,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
txtdghi,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
txtdghi,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
txtdghi,33,tutor,What do you notice about these two numbers?,00:04:24
txtdghi,34,student,Maybe I should compare them as decimals first.,00:04:32
txtdghi,35,tutor,What do you notice about these two numbers?,00:04:40
txtdghi,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
txtdghi,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
txtdghi,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
txtdghi,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
txtdghi,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
txtdghi,41,tutor,What do you notice about these two numbers?,00:05:28
txtdghi,42,student,Half?,00:05:36
txtdghi,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
txtdghi,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
txtdghi,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
txtdghi,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
txtdghi,47,tutor,What do you notice about these two numbers?,00:06:16
txtdghi,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
txtdghi,49,tutor,Uh-huh. And what would you do next?,00:06:32
txtdghi,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
txtdghi,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
txtdghi,52,student,Maybe I should compare them as decimals first.,00:06:56
txtdghi,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
txtdghi,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
txtdghi,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
txtdghi,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
txtdghi,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
txtdghi,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
txtdghi,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
txtdghi,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
txtdghi,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
txtdghi,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
txtdghi,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
txtdghi,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
txtdghi,65,tutor,Uh-huh. And what would you do next?,00:08:40
txtdghi,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
txtdghi,67,tutor,Uh-huh. And what would you do next?,00:08:56
txtdghi,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
txtdghi,69,tutor,What do you notice about these two numbers?,00:09:12
txtdghi,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
txtdghi,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
txtdghi,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
txtdghi,73,tutor,Uh-huh. And what would you do next?,00:09:44
txtdghi,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
txtdghi,75,tutor,Can you talk me through how you got that answer?,00:10:00
txtdghi,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
txtdghi,77,tutor,What do you notice about these two numbers?,00:10:16
txtdghi,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
txtdghi,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
txtdghi,80,student,12.,00:10:40
txtdghi,81,tutor,Uh-huh. And what would you do next?,00:10:48
txtdghi,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
txtdghi,83,tutor,What do you notice about these two numbers?,00:11:04
txtdghi,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
txtdghi,85,tutor,Can you talk me through how you got that answer?,00:11:20
txtdghi,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
txtdghi,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
txtdghi,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
txtdghi,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
txtdghi,90,student,Maybe I should compare them as decimals first.,00:12:00
txtdghi,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
txtdghi,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
txtdghi,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
txtdghi,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
txtdghi,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
txtdghi,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
txtdghi,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
txtdghi,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
txtdghi,99,tutor,So let me ask you first. Do you know what a fact family is?,00:13:12
