session_id,utterance_id,role,content,timestamp
mzznlpe,0,background,[unclear],00:00:00
mzznlpe,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
mzznlpe,2,student,"Yes, I think so.",00:00:16
mzznlpe,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
mzznlpe,4,student,No,00:00:32
mzznlpe,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
mzznlpe,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
mzznlpe,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
mzznlpe,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
mzznlpe,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
mzznlpe,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
mzznlpe,11,tutor,Can you talk me through how you got that answer?,00:01:28
mzznlpe,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
mzznlpe,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
mzznlpe,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
mzznlpe,15,tutor,Can you talk me through how you got that answer?,00:02:00
mzznlpe,16,student,Half?,00:02:08
mzznlpe,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
mzznlpe,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
mzznlpe,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
mzznlpe,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
mzznlpe,21,tutor,Uh-huh. And what would you do next?,00:02:48
mzznlpe,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
mzznlpe,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
mzznlpe,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
mzznlpe,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
mzznlpe,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
mzznlpe,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
mzznlpe,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
mzznlpe,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
mzznlpe,30,student,Maybe I should compare them as decimals first.,00:04:00
mzznlpe,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
mzznlpe,32,student,Half?,00:04:16
mzznlpe,33,tutor,Uh-huh. And what would you do next?,00:04:24
mzznlpe,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
mzznlpe,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
mzznlpe,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
mzznlpe,37,tutor,Uh-huh. And what would you do next?,00:04:56
mzznlpe,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
mzznlpe,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
mzznlpe,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
mzznlpe,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
mzznlpe,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
mzznlpe,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
mzznlpe,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
mzznlpe,45,tutor,What do you notice about these two numbers?,00:06:00
mzznlpe,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
mzznlpe,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
mzznlpe,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
mzznlpe,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
mzznlpe,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
mzznlpe,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
mzznlpe,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
mzznlpe,53,tutor,What do you notice about these two numbers?,00:07:04
mzznlpe,54,student,Maybe I should compare them as decimals first.,00:07:12
mzznlpe,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
mzznlpe,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
mzznlpe,57,tutor,Uh-huh. And what would you do next?,00:07:36
mzznlpe,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
mzznlpe,59,tutor,Uh-huh. And what would you do next?,00:07:52
mzznlpe,60,student,No,00:08:00
mzznlpe,61,tutor,Can you talk me through how you got that answer?,00:08:08
mzznlpe,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
mzznlpe,63,tutor,Can you talk me through how you got that answer?,00:08:24
mzznlpe,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
mzznlpe,65,tutor,What do you notice about these two numbers?,00:08:40
mzznlpe,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
mzznlpe,67,tutor,What do you notice about these two numbers?,00:08:56
mzznlpe,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
mzznlpe,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
mzznlpe,70,student,Maybe I should compare them as decimals first.,00:09:20
mzznlpe,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
mzznlpe,72,student,12.,00:09:36
mzznlpe,73,tutor,Uh-huh. And what would you do next?,00:09:44
mzznlpe,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
mzznlpe,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
mzznlpe,76,student,12.,00:10:08
mzznlpe,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
mzznlpe,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
mzznlpe,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
mzznlpe,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
mzznlpe,81,tutor,Can you talk me through how you got that answer?,00:10:48
mzznlpe,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
mzznlpe,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
mzznlpe,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
mzznlpe,85,tutor,What do you notice about these two numbers?,00:11:20
mzznlpe,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
mzznlpe,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
mzznlpe,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
mzznlpe,89,tutor,Uh-huh. And what would you do next?,00:11:52
mzznlpe,90,student,Maybe I should compare them as decimals first.,00:12:00
mzznlpe,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
mzznlpe,92,student,12.,00:12:16
mzznlpe,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
mzznlpe,94,student,300?,00:12:32
mzznlpe,95,tutor,What do you notice about these two numbers?,00:12:40
mzznlpe,96,student,12.,00:12:48
mzznlpe,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
mzznlpe,98,student,"I would divide it by 100, so the answer is 3.45.",00:13:04
mzznlpe,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
mzznlpe,100,student,75.,00:13:20
mzznlpe,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
mzznlpe,102,student,No,00:13:36
mzznlpe,103,tutor,Can you talk me through how you got that answer?,00:13:44
mzznlpe,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
mzznlpe,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
mzznlpe,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
mzznlpe,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
mzznlpe,108,student,I'm not sure. Is it because 10 has one zero?,00:14:24
mzznlpe,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
mzznlpe,110,student,"I would divide it by 100, so the answer is 3.45.",00:14:40
mzznlpe,111,tutor,Uh-huh. And what would you do next?,00:14:48
mzznlpe,112,student,Yes,00:14:56
mzznlpe,113,tutor,What do you notice about these two numbers?,00:15:04
mzznlpe,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
mzznlpe,115,tutor,Uh-huh. And what would you do next?,00:15:20
mzznlpe,116,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:28
mzznlpe,117,tutor,Can you talk me through how you got that answer?,00:15:36
mzznlpe,118,student,I'm not sure. Is it because 10 has one zero?,00:15:44
mzznlpe,119,tutor,Remember what we said about the denominator. What happens here?,00:15:52
mzznlpe,120,student,I think we need to make the bottom numbers the same before we add.,00:16:00
mzznlpe,121,tutor,Remember what we said about the denominator. What happens here?,00:16:08
mzznlpe,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
mzznlpe,123,tutor,What do you notice about these two numbers?,00:16:24
mzznlpe,124,student,Is it 4?,00:16:32
mzznlpe,125,tutor,Can you talk me through how you got that answer?,00:16:40
mzznlpe,126,student,Is it 4?,00:16:48
mzznlpe,127,tutor,What do you notice about these two numbers?,00:16:56
mzznlpe,128,student,Yes,00:17:04
mzznlpe,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
mzznlpe,130,student,Yes,00:17:20
mzznlpe,131,tutor,Remember what we said about the denominator. What happens here?,00:17:28
mzznlpe,132,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:36
mzznlpe,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
mzznlpe,134,student,"I would divide it by 100, so the answer is 3.45.",00:17:52
mzznlpe,135,tutor,Remember what we said about the denominator. What happens here?,00:18:00
mzznlpe,136,student,Is it 4?,00:18:08
mzznlpe,137,tutor,"Good thinking. Now, is that answer reasonable?",00:18:16
mzznlpe,138,student,Maybe I should compare them as decimals first.,00:18:24
mzznlpe,139,tutor,"Good thinking. Now, is that answer reasonable?",00:18:32
mzznlpe,140,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:40
mzznlpe,141,tutor,Remember what we said about the denominator. What happens here?,00:18:48
mzznlpe,142,student,Yes,00:18:56
mzznlpe,143,tutor,"Good thinking. Now, is that answer reasonable?",00:19:04
mzznlpe,144,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:12
mzznlpe,145,tutor,What do you notice about these two numbers?,00:19:20
mzznlpe,146,student,I'm not sure. Is it because 10 has one zero?,00:19:28
mzznlpe,147,tutor,Can you talk me through how you got that answer?,00:19:36
mzznlpe,148,student,Okay,00:19:44
mzznlpe,149,tutor,Remember what we said about the denominator. What happens here?,00:19:52
mzznlpe,150,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:00
mzznlpe,151,tutor,Uh-huh. And what would you do next?,00:20:08
mzznlpe,152,student,Maybe I should compare them as decimals first.,00:20:16
mzznlpe,153,tutor,Can you talk me through how you got that answer?,00:20:24
mzznlpe,154,student,6?,00:20:32
mzznlpe,155,tutor,Remember what we said about the denominator. What happens here?,00:20:40
mzznlpe,156,student,Maybe I should compare them as decimals first.,00:20:48
mzznlpe,157,tutor,Let's try a similar one. What is 30 times 4?,00:20:56
mzznlpe,158,student,"I would divide it by 100, so the answer is 3.45.",00:21:04
mzznlpe,159,tutor,Can you talk me through how you got that answer?,00:21:12
mzznlpe,160,student,Yes,00:21:20
mzznlpe,161,tutor,What do you notice about these two numbers?,00:21:28
mzznlpe,162,student,Yes,00:21:36
mzznlpe,163,tutor,"Good thinking. Now, is that answer reasonable?",00:21:44
mzznlpe,164,student,I'm not sure. Is it because 10 has one zero?,00:21:52
mzznlpe,165,tutor,Let's try a similar one. What is 30 times 4?,00:22:00
