session_id,utterance_id,role,content,timestamp
ahajzma,0,background,[unclear],00:00:00
ahajzma,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ahajzma,2,student,"Yes, I think so.",00:00:16
ahajzma,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
ahajzma,4,student,Maybe I should compare them as decimals first.,00:00:32
ahajzma,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
ahajzma,6,student,300?,00:00:48
ahajzma,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
ahajzma,8,student,Maybe I should compare them as decimals first.,00:01:04
ahajzma,9,tutor,Can you talk me through how you got that answer?,00:01:12
ahajzma,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
ahajzma,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
ahajzma,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
ahajzma,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
ahajzma,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
ahajzma,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
ahajzma,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
ahajzma,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
ahajzma,18,student,Is it 4?,00:02:24
ahajzma,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
ahajzma,20,student,Maybe I should compare them as decimals first.,00:02:40
ahajzma,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
ahajzma,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
ahajzma,23,tutor,What do you notice about these two numbers?,00:03:04
ahajzma,24,student,No,00:03:12
ahajzma,25,tutor,Uh-huh. And what would you do next?,00:03:20
ahajzma,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
ahajzma,27,tutor,What do you notice about these two numbers?,00:03:36
ahajzma,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
ahajzma,29,tutor,Uh-huh. And what would you do next?,00:03:52
ahajzma,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
ahajzma,31,tutor,What do you notice about these two numbers?,00:04:08
ahajzma,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
ahajzma,33,tutor,Uh-huh. And what would you do next?,00:04:24
ahajzma,34,student,Yes,00:04:32
ahajzma,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
ahajzma,36,student,Maybe I should compare them as decimals first.,00:04:48
ahajzma,37,tutor,What do you notice about these two numbers?,00:04:56
ahajzma,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
ahajzma,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
ahajzma,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
ahajzma,41,tutor,Uh-huh. And what would you do next?,00:05:28
ahajzma,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
ahajzma,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
ahajzma,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
ahajzma,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
ahajzma,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
ahajzma,47,tutor,What do you notice about these two numbers?,00:06:16
ahajzma,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
ahajzma,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
ahajzma,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
ahajzma,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
ahajzma,52,student,Maybe I should compare them as decimals first.,00:06:56
ahajzma,53,tutor,Uh-huh. And what would you do next?,00:07:04
ahajzma,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
ahajzma,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
ahajzma,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
ahajzma,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
ahajzma,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
ahajzma,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
ahajzma,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
ahajzma,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
ahajzma,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
ahajzma,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
ahajzma,64,student,Maybe I should compare them as decimals first.,00:08:32
ahajzma,65,tutor,What do you notice about these two numbers?,00:08:40
ahajzma,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
ahajzma,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
ahajzma,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
ahajzma,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
ahajzma,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
ahajzma,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
ahajzma,72,student,Maybe I should compare them as decimals first.,00:09:36
ahajzma,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
ahajzma,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
ahajzma,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
ahajzma,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
ahajzma,77,tutor,What do you notice about these two numbers?,00:10:16
ahajzma,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
ahajzma,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
ahajzma,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
ahajzma,81,tutor,What do you notice about these two numbers?,00:10:48
ahajzma,82,student,Yes,00:10:56
ahajzma,83,tutor,What do you notice about these two numbers?,00:11:04
ahajzma,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
ahajzma,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
ahajzma,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
ahajzma,87,tutor,What do you notice about these two numbers?,00:11:36
ahajzma,88,student,Yes,00:11:44
ahajzma,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
ahajzma,90,student,"I would divide it by 100, so the answer is 3.45.",00:12:00
ahajzma,91,tutor,Uh-huh. And what would you do next?,00:12:08
ahajzma,92,student,Maybe I should compare them as decimals first.,00:12:16
ahajzma,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
ahajzma,94,student,6?,00:12:32
ahajzma,95,tutor,Uh-huh. And what would you do next?,00:12:40
ahajzma,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
ahajzma,97,tutor,Uh-huh. And what would you do next?,00:12:56
ahajzma,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
ahajzma,99,tutor,What do you notice about these two numbers?,00:13:12
