session_id,utterance_id,role,content,timestamp
goeyxik,0,background,[unclear],00:00:00
goeyxik,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
goeyxik,2,student,"Yes, I think so.",00:00:16
goeyxik,3,tutor,Can you talk me through how you got that answer?,00:00:24
goeyxik,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
goeyxik,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
goeyxik,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
goeyxik,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
goeyxik,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
goeyxik,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
goeyxik,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
goeyxik,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
goeyxik,12,student,Maybe I should compare them as decimals first.,00:01:36
goeyxik,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
goeyxik,14,student,Yes,00:01:52
goeyxik,15,tutor,Uh-huh. And what would you do next?,00:02:00
goeyxik,16,student,Okay,00:02:08
goeyxik,17,tutor,What do you notice about these two numbers?,00:02:16
goeyxik,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
goeyxik,19,tutor,Uh-huh. And what would you do next?,00:02:32
goeyxik,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
goeyxik,21,tutor,Uh-huh. And what would you do next?,00:02:48
goeyxik,22,student,Yes,00:02:56
goeyxik,23,tutor,Can you talk me through how you got that answer?,00:03:04
goeyxik,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
goeyxik,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
goeyxik,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
goeyxik,27,tutor,Uh-huh. And what would you do next?,00:03:36
goeyxik,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
goeyxik,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
goeyxik,30,student,Maybe I should compare them as decimals first.,00:04:00
goeyxik,31,tutor,Can you talk me through how you got that answer?,00:04:08
goeyxik,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
goeyxik,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
goeyxik,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
goeyxik,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
goeyxik,36,student,Maybe I should compare them as decimals first.,00:04:48
goeyxik,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
goeyxik,38,student,No,00:05:04
goeyxik,39,tutor,Can you talk me through how you got that answer?,00:05:12
goeyxik,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
