session_id,utterance_id,role,content,timestamp
vtnbmqw,0,background,[unclear],00:00:00
vtnbmqw,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
vtnbmqw,2,student,"Yes, I think so.",00:00:16
vtnbmqw,3,tutor,Can you talk me through how you got that answer?,00:00:24
vtnbmqw,4,student,Maybe I should compare them as decimals first.,00:00:32
vtnbmqw,5,tutor,Uh-huh. And what would you do next?,00:00:40
vtnbmqw,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
vtnbmqw,7,tutor,What do you notice about these two numbers?,00:00:56
vtnbmqw,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
vtnbmqw,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
vtnbmqw,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
vtnbmqw,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
vtnbmqw,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
vtnbmqw,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
vtnbmqw,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
vtnbmqw,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
vtnbmqw,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
vtnbmqw,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
vtnbmqw,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
vtnbmqw,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
vtnbmqw,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
vtnbmqw,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
vtnbmqw,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
vtnbmqw,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
vtnbmqw,24,student,Maybe I should compare them as decimals first.,00:03:12
vtnbmqw,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
vtnbmqw,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
vtnbmqw,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
vtnbmqw,28,student,No,00:03:44
vtnbmqw,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
vtnbmqw,30,student,12.,00:04:00
vtnbmqw,31,tutor,Can you talk me through how you got that answer?,00:04:08
vtnbmqw,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
vtnbmqw,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
vtnbmqw,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
vtnbmqw,35,tutor,Uh-huh. And what would you do next?,00:04:40
vtnbmqw,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
vtnbmqw,37,tutor,What do you notice about these two numbers?,00:04:56
vtnbmqw,38,student,300?,00:05:04
vtnbmqw,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
vtnbmqw,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
vtnbmqw,41,tutor,What do you notice about these two numbers?,00:05:28
vtnbmqw,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
vtnbmqw,43,tutor,What do you notice about these two numbers?,00:05:44
vtnbmqw,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
vtnbmqw,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
vtnbmqw,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
vtnbmqw,47,tutor,What do you notice about these two numbers?,00:06:16
vtnbmqw,48,student,300?,00:06:24
vtnbmqw,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
vtnbmqw,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
vtnbmqw,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
vtnbmqw,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
vtnbmqw,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
vtnbmqw,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
vtnbmqw,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
vtnbmqw,56,student,Okay,00:07:28
vtnbmqw,57,tutor,What do you notice about these two numbers?,00:07:36
vtnbmqw,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
vtnbmqw,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
vtnbmqw,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
vtnbmqw,61,tutor,What do you notice about these two numbers?,00:08:08
vtnbmqw,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
vtnbmqw,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
vtnbmqw,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
vtnbmqw,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
vtnbmqw,66,student,12.,00:08:48
vtnbmqw,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
vtnbmqw,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
vtnbmqw,69,tutor,Uh-huh. And what would you do next?,00:09:12
vtnbmqw,70,student,Maybe I should compare them as decimals first.,00:09:20
vtnbmqw,71,tutor,What do you notice about these two numbers?,00:09:28
vtnbmqw,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
vtnbmqw,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
vtnbmqw,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
vtnbmqw,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
vtnbmqw,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
vtnbmqw,77,tutor,What do you notice about these two numbers?,00:10:16
vtnbmqw,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
vtnbmqw,79,tutor,Uh-huh. And what would you do next?,00:10:32
vtnbmqw,80,student,Maybe I should compare them as decimals first.,00:10:40
vtnbmqw,81,tutor,What do you notice about these two numbers?,00:10:48
vtnbmqw,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
vtnbmqw,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
vtnbmqw,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
vtnbmqw,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
vtnbmqw,86,student,Maybe I should compare them as decimals first.,00:11:28
vtnbmqw,87,tutor,Uh-huh. And what would you do next?,00:11:36
vtnbmqw,88,student,Maybe I should compare them as decimals first.,00:11:44
vtnbmqw,89,tutor,What do you notice about these two numbers?,00:11:52
vtnbmqw,90,student,Half?,00:12:00
vtnbmqw,91,tutor,Can you talk me through how you got that answer?,00:12:08
vtnbmqw,92,student,I'm not sure. Is it because 10 has one zero?,00:12:16
vtnbmqw,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
vtnbmqw,94,student,Maybe I should compare them as decimals first.,00:12:32
vtnbmqw,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
vtnbmqw,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
vtnbmqw,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
vtnbmqw,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
vtnbmqw,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
vtnbmqw,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
vtnbmqw,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
vtnbmqw,102,student,Okay,00:13:36
vtnbmqw,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
vtnbmqw,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
vtnbmqw,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
