session_id,utterance_id,role,content,timestamp
xmswmhz,0,background,[unclear],00:00:00
xmswmhz,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
xmswmhz,2,student,"Yes, I think so.",00:00:16
xmswmhz,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
xmswmhz,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
xmswmhz,5,tutor,Can you talk me through how you got that answer?,00:00:40
xmswmhz,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
xmswmhz,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
xmswmhz,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
xmswmhz,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
xmswmhz,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
xmswmhz,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
xmswmhz,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
xmswmhz,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
xmswmhz,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
xmswmhz,15,tutor,Can you talk me through how you got that answer?,00:02:00
xmswmhz,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
xmswmhz,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
xmswmhz,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
xmswmhz,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
xmswmhz,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
xmswmhz,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
xmswmhz,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
xmswmhz,23,tutor,What do you notice about these two numbers?,00:03:04
xmswmhz,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
xmswmhz,25,tutor,Can you talk me through how you got that answer?,00:03:20
xmswmhz,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
xmswmhz,27,tutor,Can you talk me through how you got that answer?,00:03:36
xmswmhz,28,student,Okay,00:03:44
xmswmhz,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
xmswmhz,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
xmswmhz,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
xmswmhz,32,student,Maybe I should compare them as decimals first.,00:04:16
xmswmhz,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
xmswmhz,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
xmswmhz,35,tutor,Can you talk me through how you got that answer?,00:04:40
xmswmhz,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
xmswmhz,37,tutor,What do you notice about these two numbers?,00:04:56
xmswmhz,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
xmswmhz,39,tutor,Can you talk me through how you got that answer?,00:05:12
xmswmhz,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
xmswmhz,41,tutor,Uh-huh. And what would you do next?,00:05:28
xmswmhz,42,student,300?,00:05:36
xmswmhz,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
xmswmhz,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
xmswmhz,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
xmswmhz,46,student,Maybe I should compare them as decimals first.,00:06:08
xmswmhz,47,tutor,Can you talk me through how you got that answer?,00:06:16
xmswmhz,48,student,Maybe I should compare them as decimals first.,00:06:24
xmswmhz,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
xmswmhz,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
xmswmhz,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
xmswmhz,52,student,Okay,00:06:56
xmswmhz,53,tutor,Uh-huh. And what would you do next?,00:07:04
xmswmhz,54,student,6?,00:07:12
xmswmhz,55,tutor,Uh-huh. And what would you do next?,00:07:20
xmswmhz,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
xmswmhz,57,tutor,Uh-huh. And what would you do next?,00:07:36
xmswmhz,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
xmswmhz,59,tutor,Can you talk me through how you got that answer?,00:07:52
xmswmhz,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
xmswmhz,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
xmswmhz,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
xmswmhz,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
xmswmhz,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
xmswmhz,65,tutor,What do you notice about these two numbers?,00:08:40
xmswmhz,66,student,300?,00:08:48
xmswmhz,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
xmswmhz,68,student,Maybe I should compare them as decimals first.,00:09:04
xmswmhz,69,tutor,What do you notice about these two numbers?,00:09:12
xmswmhz,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
xmswmhz,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
xmswmhz,72,student,300?,00:09:36
xmswmhz,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
xmswmhz,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
xmswmhz,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
xmswmhz,76,student,Maybe I should compare them as decimals first.,00:10:08
xmswmhz,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
xmswmhz,78,student,Maybe I should compare them as decimals first.,00:10:24
xmswmhz,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
xmswmhz,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
xmswmhz,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
