session_id,utterance_id,role,content,timestamp
bwytdcf,0,background,[unclear],00:00:00
bwytdcf,1,tutor,"Hello, are you ready to get started today?",00:00:08
bwytdcf,2,student,"Yes, I think so.",00:00:16
bwytdcf,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
bwytdcf,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
bwytdcf,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
bwytdcf,6,student,75.,00:00:48
bwytdcf,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
bwytdcf,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
bwytdcf,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
bwytdcf,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
bwytdcf,11,tutor,Uh-huh. And what would you do next?,00:01:28
bwytdcf,12,student,Half?,00:01:36
bwytdcf,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
bwytdcf,14,student,Is it 4?,00:01:52
bwytdcf,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
bwytdcf,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
bwytdcf,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
bwytdcf,18,student,No,00:02:24
bwytdcf,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
bwytdcf,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
bwytdcf,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
bwytdcf,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
bwytdcf,23,tutor,What do you notice about these two numbers?,00:03:04
bwytdcf,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
bwytdcf,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
bwytdcf,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
bwytdcf,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
bwytdcf,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
bwytdcf,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
bwytdcf,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
bwytdcf,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
bwytdcf,32,student,Half?,00:04:16
bwytdcf,33,tutor,What do you notice about these two numbers?,00:04:24
bwytdcf,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
bwytdcf,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
bwytdcf,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
bwytdcf,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
bwytdcf,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
bwytdcf,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
bwytdcf,40,student,75.,00:05:20
bwytdcf,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
bwytdcf,42,student,75.,00:05:36
bwytdcf,43,tutor,Uh-huh. And what would you do next?,00:05:44
bwytdcf,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
bwytdcf,45,tutor,What do you notice about these two numbers?,00:06:00
bwytdcf,46,student,6?,00:06:08
bwytdcf,47,tutor,What do you notice about these two numbers?,00:06:16
bwytdcf,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
bwytdcf,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
bwytdcf,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
bwytdcf,51,tutor,What do you notice about these two numbers?,00:06:48
bwytdcf,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
bwytdcf,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
bwytdcf,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
bwytdcf,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
bwytdcf,56,student,Is it 4?,00:07:28
bwytdcf,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
bwytdcf,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
bwytdcf,59,tutor,Uh-huh. And what would you do next?,00:07:52
bwytdcf,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
bwytdcf,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
bwytdcf,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
bwytdcf,63,tutor,Can you talk me through how you got that answer?,00:08:24
bwytdcf,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
bwytdcf,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
bwytdcf,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
bwytdcf,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
bwytdcf,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
bwytdcf,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
bwytdcf,70,student,Yes,00:09:20
bwytdcf,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
bwytdcf,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
bwytdcf,73,tutor,Can you talk me through how you got that answer?,00:09:44
bwytdcf,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
bwytdcf,75,tutor,Can you talk me through how you got that answer?,00:10:00
bwytdcf,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
bwytdcf,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
bwytdcf,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
bwytdcf,79,tutor,What do you notice about these two numbers?,00:10:32
bwytdcf,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
bwytdcf,81,tutor,Can you talk me through how you got that answer?,00:10:48
bwytdcf,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
bwytdcf,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
bwytdcf,84,student,Maybe I should compare them as decimals first.,00:11:12
bwytdcf,85,tutor,What do you notice about these two numbers?,00:11:20
bwytdcf,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
bwytdcf,87,tutor,What do you notice about these two numbers?,00:11:36
bwytdcf,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
bwytdcf,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
bwytdcf,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
bwytdcf,91,tutor,Uh-huh. And what would you do next?,00:12:08
bwytdcf,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
bwytdcf,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
bwytdcf,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
bwytdcf,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
bwytdcf,96,student,75.,00:12:48
bwytdcf,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
bwytdcf,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
bwytdcf,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
bwytdcf,100,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:20
bwytdcf,101,tutor,What do you notice about these two numbers?,00:13:28
bwytdcf,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
bwytdcf,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
bwytdcf,104,student,12.,00:13:52
bwytdcf,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
bwytdcf,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
bwytdcf,107,tutor,Can you talk me through how you got that answer?,00:14:16
bwytdcf,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
bwytdcf,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
bwytdcf,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
bwytdcf,111,tutor,So let me ask you first. Do you know what a fact family is?,00:14:48
bwytdcf,112,student,I'm not sure. Is it because 10 has one zero?,00:14:56
bwytdcf,113,tutor,So let me ask you first. Do you know what a fact family is?,00:15:04
bwytdcf,114,student,"I would divide it by 100, so the answer is 3.45.",00:15:12
bwytdcf,115,tutor,Can you talk me through how you got that answer?,00:15:20
bwytdcf,116,student,No,00:15:28
bwytdcf,117,tutor,What do you notice about these two numbers?,00:15:36
bwytdcf,118,student,12.,00:15:44
bwytdcf,119,tutor,Can you talk me through how you got that answer?,00:15:52
bwytdcf,120,student,I think we need to make the bottom numbers the same before we add.,00:16:00
bwytdcf,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
bwytdcf,122,student,Is it 4?,00:16:16
bwytdcf,123,tutor,Uh-huh. And what would you do next?,00:16:24
bwytdcf,124,student,Maybe I should compare them as decimals first.,00:16:32
bwytdcf,125,tutor,"Good thinking. Now, is that answer reasonable?",00:16:40
bwytdcf,126,student,300?,00:16:48
bwytdcf,127,tutor,Uh-huh. And what would you do next?,00:16:56
bwytdcf,128,student,Maybe I should compare them as decimals first.,00:17:04
bwytdcf,129,tutor,Uh-huh. And what would you do next?,00:17:12
bwytdcf,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
bwytdcf,131,tutor,So let me ask you first. Do you know what a fact family is?,00:17:28
bwytdcf,132,student,I think we need to make the bottom numbers the same before we add.,00:17:36
bwytdcf,133,tutor,"Good thinking. Now, is that answer reasonable?",00:17:44
bwytdcf,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
bwytdcf,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
bwytdcf,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
bwytdcf,137,tutor,Uh-huh. And what would you do next?,00:18:16
bwytdcf,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
bwytdcf,139,tutor,"Good thinking. Now, is that answer reasonable?",00:18:32
bwytdcf,140,student,"I would divide it by 100, so the answer is 3.45.",00:18:40
bwytdcf,141,tutor,Can you talk me through how you got that answer?,00:18:48
bwytdcf,142,student,"I would divide it by 100, so the answer is 3.45.",00:18:56
bwytdcf,143,tutor,Let's try a similar one. What is 30 times 4?,00:19:04
bwytdcf,144,student,Maybe I should compare them as decimals first.,00:19:12
bwytdcf,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
bwytdcf,146,student,"I would divide it by 100, so the answer is 3.45.",00:19:28
