session_id,utterance_id,role,content,timestamp
klewabh,0,background,[unclear],00:00:00
klewabh,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
klewabh,2,student,"Yes, I think so.",00:00:16
klewabh,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
klewabh,4,student,Maybe I should compare them as decimals first.,00:00:32
klewabh,5,tutor,Can you talk me through how you got that answer?,00:00:40
klewabh,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
klewabh,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
klewabh,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
klewabh,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
klewabh,10,student,300?,00:01:20
klewabh,11,tutor,What do you notice about these two numbers?,00:01:28
klewabh,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
klewabh,13,tutor,Can you talk me through how you got that answer?,00:01:44
klewabh,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
klewabh,15,tutor,Can you talk me through how you got that answer?,00:02:00
klewabh,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
klewabh,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
klewabh,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
klewabh,19,tutor,Uh-huh. And what would you do next?,00:02:32
klewabh,20,student,Okay,00:02:40
klewabh,21,tutor,Can you talk me through how you got that answer?,00:02:48
klewabh,22,student,Maybe I should compare them as decimals first.,00:02:56
klewabh,23,tutor,Uh-huh. And what would you do next?,00:03:04
klewabh,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
klewabh,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
klewabh,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
klewabh,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
klewabh,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
klewabh,29,tutor,What do you notice about these two numbers?,00:03:52
klewabh,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
klewabh,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
klewabh,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
klewabh,33,tutor,What do you notice about these two numbers?,00:04:24
klewabh,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
klewabh,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
klewabh,36,student,Is it 4?,00:04:48
klewabh,37,tutor,Can you talk me through how you got that answer?,00:04:56
klewabh,38,student,Maybe I should compare them as decimals first.,00:05:04
klewabh,39,tutor,What do you notice about these two numbers?,00:05:12
klewabh,40,student,Maybe I should compare them as decimals first.,00:05:20
klewabh,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
klewabh,42,student,Yes,00:05:36
klewabh,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
klewabh,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
