session_id,utterance_id,role,content,timestamp
ouforik,0,background,[unclear],00:00:00
ouforik,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ouforik,2,student,"Yes, I think so.",00:00:16
ouforik,3,tutor,What do you notice about these two numbers?,00:00:24
ouforik,4,student,Maybe I should compare them as decimals first.,00:00:32
ouforik,5,tutor,What do you notice about these two numbers?,00:00:40
ouforik,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
ouforik,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
ouforik,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
ouforik,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
ouforik,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
ouforik,11,tutor,What do you notice about these two numbers?,00:01:28
ouforik,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
ouforik,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
ouforik,14,student,Maybe I should compare them as decimals first.,00:01:52
ouforik,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
ouforik,16,student,Maybe I should compare them as decimals first.,00:02:08
ouforik,17,tutor,What do you notice about these two numbers?,00:02:16
ouforik,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
ouforik,19,tutor,Can you talk me through how you got that answer?,00:02:32
ouforik,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
ouforik,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
ouforik,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
ouforik,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
ouforik,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
ouforik,25,tutor,Can you talk me through how you got that answer?,00:03:20
ouforik,26,student,12.,00:03:28
ouforik,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
ouforik,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
ouforik,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
ouforik,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
ouforik,31,tutor,Uh-huh. And what would you do next?,00:04:08
ouforik,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
ouforik,33,tutor,Uh-huh. And what would you do next?,00:04:24
ouforik,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
ouforik,35,tutor,What do you notice about these two numbers?,00:04:40
ouforik,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
ouforik,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
ouforik,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
ouforik,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
ouforik,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
ouforik,41,tutor,What do you notice about these two numbers?,00:05:28
ouforik,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
ouforik,43,tutor,Can you talk me through how you got that answer?,00:05:44
ouforik,44,student,Yes,00:05:52
ouforik,45,tutor,Can you talk me through how you got that answer?,00:06:00
ouforik,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
ouforik,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
ouforik,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
ouforik,49,tutor,Uh-huh. And what would you do next?,00:06:32
ouforik,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
ouforik,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
ouforik,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
ouforik,53,tutor,Uh-huh. And what would you do next?,00:07:04
ouforik,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
ouforik,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
ouforik,56,student,75.,00:07:28
ouforik,57,tutor,Uh-huh. And what would you do next?,00:07:36
ouforik,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
ouforik,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
ouforik,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
ouforik,61,tutor,What do you notice about these two numbers?,00:08:08
ouforik,62,student,Yes,00:08:16
ouforik,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
ouforik,64,student,Maybe I should compare them as decimals first.,00:08:32
ouforik,65,tutor,Uh-huh. And what would you do next?,00:08:40
ouforik,66,student,Is it 4?,00:08:48
ouforik,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
ouforik,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
ouforik,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
ouforik,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
ouforik,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
ouforik,72,student,Maybe I should compare them as decimals first.,00:09:36
ouforik,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
ouforik,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
ouforik,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
ouforik,76,student,75.,00:10:08
ouforik,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
ouforik,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
ouforik,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
ouforik,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
ouforik,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
ouforik,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
ouforik,83,tutor,Can you talk me through how you got that answer?,00:11:04
ouforik,84,student,Is it 4?,00:11:12
ouforik,85,tutor,What do you notice about these two numbers?,00:11:20
ouforik,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
ouforik,87,tutor,Can you talk me through how you got that answer?,00:11:36
ouforik,88,student,Maybe I should compare them as decimals first.,00:11:44
ouforik,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
ouforik,90,student,Okay,00:12:00
ouforik,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
ouforik,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
ouforik,93,tutor,Can you talk me through how you got that answer?,00:12:24
ouforik,94,student,"I would divide it by 100, so the answer is 3.45.",00:12:32
ouforik,95,tutor,Can you talk me through how you got that answer?,00:12:40
ouforik,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
ouforik,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
ouforik,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
ouforik,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
ouforik,100,student,Maybe I should compare them as decimals first.,00:13:20
ouforik,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
ouforik,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
ouforik,103,tutor,Remember what we said about the denominator. What happens here?,00:13:44
ouforik,104,student,Maybe I should compare them as decimals first.,00:13:52
ouforik,105,tutor,Can you talk me through how you got that answer?,00:14:00
ouforik,106,student,Okay,00:14:08
ouforik,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
ouforik,108,student,Maybe I should compare them as decimals first.,00:14:24
ouforik,109,tutor,What do you notice about these two numbers?,00:14:32
ouforik,110,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:40
ouforik,111,tutor,Uh-huh. And what would you do next?,00:14:48
ouforik,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
ouforik,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
ouforik,114,student,I think we need to make the bottom numbers the same before we add.,00:15:12
ouforik,115,tutor,What do you notice about these two numbers?,00:15:20
ouforik,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
ouforik,117,tutor,What do you notice about these two numbers?,00:15:36
ouforik,118,student,Maybe I should compare them as decimals first.,00:15:44
ouforik,119,tutor,What do you notice about these two numbers?,00:15:52
ouforik,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
ouforik,121,tutor,Uh-huh. And what would you do next?,00:16:08
ouforik,122,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:16
ouforik,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
ouforik,124,student,Okay,00:16:32
ouforik,125,tutor,Can you talk me through how you got that answer?,00:16:40
ouforik,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
ouforik,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
ouforik,128,student,300?,00:17:04
ouforik,129,tutor,So let me ask you first. Do you know what a fact family is?,00:17:12
ouforik,130,student,I'm not sure. Is it because 10 has one zero?,00:17:20
ouforik,131,tutor,Uh-huh. And what would you do next?,00:17:28
ouforik,132,student,I think we need to make the bottom numbers the same before we add.,00:17:36
ouforik,133,tutor,So let me ask you first. Do you know what a fact family is?,00:17:44
ouforik,134,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:52
ouforik,135,tutor,Uh-huh. And what would you do next?,00:18:00
ouforik,136,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:08
ouforik,137,tutor,So let me ask you first. Do you know what a fact family is?,00:18:16
ouforik,138,student,No,00:18:24
ouforik,139,tutor,So let me ask you first. Do you know what a fact family is?,00:18:32
ouforik,140,student,"I would divide it by 100, so the answer is 3.45.",00:18:40
ouforik,141,tutor,So let me ask you first. Do you know what a fact family is?,00:18:48
ouforik,142,student,Is it 4?,00:18:56
ouforik,143,tutor,Remember what we said about the denominator. What happens here?,00:19:04
ouforik,144,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:12
ouforik,145,tutor,Uh-huh. And what would you do next?,00:19:20
ouforik,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
ouforik,147,tutor,"Good thinking. Now, is that answer reasonable?",00:19:36
ouforik,148,student,Is it 4?,00:19:44
ouforik,149,tutor,Remember what we said about the denominator. What happens here?,00:19:52
ouforik,150,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:00
ouforik,151,tutor,Can you talk me through how you got that answer?,00:20:08
ouforik,152,student,Maybe I should compare them as decimals first.,00:20:16
ouforik,153,tutor,So let me ask you first. Do you know what a fact family is?,00:20:24
ouforik,154,student,I think we need to make the bottom numbers the same before we add.,00:20:32
ouforik,155,tutor,Can you talk me through how you got that answer?,00:20:40
ouforik,156,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:48
ouforik,157,tutor,Uh-huh. And what would you do next?,00:20:56
ouforik,158,student,75.,00:21:04
