session_id,utterance_id,role,content,timestamp
dalshwj,0,background,[unclear],00:00:00
dalshwj,1,tutor,"Hello, are you ready to get started today?",00:00:08
dalshwj,2,student,"Yes, I think so.",00:00:16
dalshwj,3,tutor,What do you notice about these two numbers?,00:00:24
dalshwj,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
dalshwj,5,tutor,Uh-huh. And what would you do next?,00:00:40
dalshwj,6,student,Okay,00:00:48
dalshwj,7,tutor,What do you notice about these two numbers?,00:00:56
dalshwj,8,student,Maybe I should compare them as decimals first.,00:01:04
dalshwj,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
dalshwj,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
dalshwj,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
dalshwj,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
dalshwj,13,tutor,Can you talk me through how you got that answer?,00:01:44
dalshwj,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
dalshwj,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
dalshwj,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
dalshwj,17,tutor,Can you talk me through how you got that answer?,00:02:16
dalshwj,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
dalshwj,19,tutor,What do you notice about these two numbers?,00:02:32
dalshwj,20,student,Maybe I should compare them as decimals first.,00:02:40
dalshwj,21,tutor,Uh-huh. And what would you do next?,00:02:48
dalshwj,22,student,75.,00:02:56
dalshwj,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
dalshwj,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
dalshwj,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
dalshwj,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
dalshwj,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
dalshwj,28,student,Maybe I should compare them as decimals first.,00:03:44
dalshwj,29,tutor,What do you notice about these two numbers?,00:03:52
dalshwj,30,student,6?,00:04:00
dalshwj,31,tutor,Can you talk me through how you got that answer?,00:04:08
dalshwj,32,student,Is it 4?,00:04:16
dalshwj,33,tutor,Uh-huh. And what would you do next?,00:04:24
dalshwj,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
dalshwj,35,tutor,Can you talk me through how you got that answer?,00:04:40
dalshwj,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
dalshwj,37,tutor,What do you notice about these two numbers?,00:04:56
dalshwj,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
dalshwj,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
dalshwj,40,student,Maybe I should compare them as decimals first.,00:05:20
dalshwj,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
dalshwj,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
dalshwj,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
dalshwj,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
dalshwj,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
dalshwj,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
dalshwj,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
dalshwj,48,student,Half?,00:06:24
dalshwj,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
dalshwj,50,student,Is it 4?,00:06:40
dalshwj,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
dalshwj,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
dalshwj,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
dalshwj,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
dalshwj,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
dalshwj,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
dalshwj,57,tutor,Can you talk me through how you got that answer?,00:07:36
dalshwj,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
dalshwj,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
dalshwj,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
dalshwj,61,tutor,Uh-huh. And what would you do next?,00:08:08
dalshwj,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
dalshwj,63,tutor,What do you notice about these two numbers?,00:08:24
dalshwj,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
dalshwj,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
dalshwj,66,student,Yes,00:08:48
