session_id,utterance_id,role,content,timestamp
nckkvdv,0,background,[unclear],00:00:00
nckkvdv,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
nckkvdv,2,student,"Yes, I think so.",00:00:16
nckkvdv,3,tutor,What do you notice about these two numbers?,00:00:24
nckkvdv,4,student,Maybe I should compare them as decimals first.,00:00:32
nckkvdv,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
nckkvdv,6,student,300?,00:00:48
nckkvdv,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
nckkvdv,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
nckkvdv,9,tutor,Uh-huh. And what would you do next?,00:01:12
nckkvdv,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
nckkvdv,11,tutor,Can you talk me through how you got that answer?,00:01:28
nckkvdv,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
nckkvdv,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
nckkvdv,14,student,12.,00:01:52
nckkvdv,15,tutor,Can you talk me through how you got that answer?,00:02:00
nckkvdv,16,student,Yes,00:02:08
nckkvdv,17,tutor,Uh-huh. And what would you do next?,00:02:16
nckkvdv,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
nckkvdv,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
nckkvdv,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
nckkvdv,21,tutor,What do you notice about these two numbers?,00:02:48
nckkvdv,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
nckkvdv,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
nckkvdv,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
nckkvdv,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
nckkvdv,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
nckkvdv,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
nckkvdv,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
nckkvdv,29,tutor,Uh-huh. And what would you do next?,00:03:52
nckkvdv,30,student,Maybe I should compare them as decimals first.,00:04:00
nckkvdv,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
nckkvdv,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
nckkvdv,33,tutor,Can you talk me through how you got that answer?,00:04:24
nckkvdv,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
nckkvdv,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
nckkvdv,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
nckkvdv,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
nckkvdv,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
nckkvdv,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
nckkvdv,40,student,Maybe I should compare them as decimals first.,00:05:20
nckkvdv,41,tutor,Uh-huh. And what would you do next?,00:05:28
nckkvdv,42,student,Okay,00:05:36
nckkvdv,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
nckkvdv,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
nckkvdv,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
nckkvdv,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
nckkvdv,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
nckkvdv,48,student,75.,00:06:24
nckkvdv,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
nckkvdv,50,student,300?,00:06:40
nckkvdv,51,tutor,Can you talk me through how you got that answer?,00:06:48
nckkvdv,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
nckkvdv,53,tutor,Uh-huh. And what would you do next?,00:07:04
nckkvdv,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
nckkvdv,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
nckkvdv,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
nckkvdv,57,tutor,Uh-huh. And what would you do next?,00:07:36
nckkvdv,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
nckkvdv,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
nckkvdv,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
nckkvdv,61,tutor,Uh-huh. And what would you do next?,00:08:08
nckkvdv,62,student,Maybe I should compare them as decimals first.,00:08:16
nckkvdv,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
nckkvdv,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
nckkvdv,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
nckkvdv,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
nckkvdv,67,tutor,What do you notice about these two numbers?,00:08:56
nckkvdv,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
nckkvdv,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
nckkvdv,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
nckkvdv,71,tutor,Uh-huh. And what would you do next?,00:09:28
nckkvdv,72,student,300?,00:09:36
nckkvdv,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
nckkvdv,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
nckkvdv,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
nckkvdv,76,student,"I would divide it by 100, so the answer is 3.45.",00:10:08
nckkvdv,77,tutor,What do you notice about these two numbers?,00:10:16
nckkvdv,78,student,6?,00:10:24
nckkvdv,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
nckkvdv,80,student,300?,00:10:40
nckkvdv,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
nckkvdv,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
nckkvdv,83,tutor,Uh-huh. And what would you do next?,00:11:04
nckkvdv,84,student,Okay,00:11:12
nckkvdv,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
nckkvdv,86,student,Maybe I should compare them as decimals first.,00:11:28
nckkvdv,87,tutor,Can you talk me through how you got that answer?,00:11:36
nckkvdv,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
nckkvdv,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
nckkvdv,90,student,Is it 4?,00:12:00
nckkvdv,91,tutor,Can you talk me through how you got that answer?,00:12:08
nckkvdv,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
nckkvdv,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
nckkvdv,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
nckkvdv,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
nckkvdv,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
nckkvdv,97,tutor,Can you talk me through how you got that answer?,00:12:56
nckkvdv,98,student,No,00:13:04
nckkvdv,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
nckkvdv,100,student,300?,00:13:20
nckkvdv,101,tutor,What do you notice about these two numbers?,00:13:28
nckkvdv,102,student,Maybe I should compare them as decimals first.,00:13:36
nckkvdv,103,tutor,What do you notice about these two numbers?,00:13:44
nckkvdv,104,student,No,00:13:52
nckkvdv,105,tutor,Can you talk me through how you got that answer?,00:14:00
nckkvdv,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
nckkvdv,107,tutor,Uh-huh. And what would you do next?,00:14:16
nckkvdv,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
nckkvdv,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
nckkvdv,110,student,Maybe I should compare them as decimals first.,00:14:40
nckkvdv,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
nckkvdv,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
nckkvdv,113,tutor,Uh-huh. And what would you do next?,00:15:04
nckkvdv,114,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:12
nckkvdv,115,tutor,What do you notice about these two numbers?,00:15:20
nckkvdv,116,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:28
nckkvdv,117,tutor,Uh-huh. And what would you do next?,00:15:36
nckkvdv,118,student,I think we need to make the bottom numbers the same before we add.,00:15:44
nckkvdv,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
nckkvdv,120,student,Maybe I should compare them as decimals first.,00:16:00
nckkvdv,121,tutor,Uh-huh. And what would you do next?,00:16:08
nckkvdv,122,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:16
nckkvdv,123,tutor,Remember what we said about the denominator. What happens here?,00:16:24
nckkvdv,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
nckkvdv,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
nckkvdv,126,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:48
nckkvdv,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
nckkvdv,128,student,I'm not sure. Is it because 10 has one zero?,00:17:04
