session_id,utterance_id,role,content,timestamp
epubcao,0,background,[unclear],00:00:00
epubcao,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
epubcao,2,student,"Yes, I think so.",00:00:16
epubcao,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
epubcao,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
epubcao,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
epubcao,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
epubcao,7,tutor,What do you notice about these two numbers?,00:00:56
epubcao,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
epubcao,9,tutor,Can you talk me through how you got that answer?,00:01:12
epubcao,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
epubcao,11,tutor,Uh-huh. And what would you do next?,00:01:28
epubcao,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
epubcao,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
epubcao,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
epubcao,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
epubcao,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
epubcao,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
epubcao,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
epubcao,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
epubcao,20,student,Maybe I should compare them as decimals first.,00:02:40
epubcao,21,tutor,Can you talk me through how you got that answer?,00:02:48
epubcao,22,student,6?,00:02:56
epubcao,23,tutor,Uh-huh. And what would you do next?,00:03:04
epubcao,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
epubcao,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
epubcao,26,student,75.,00:03:28
epubcao,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
epubcao,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
epubcao,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
epubcao,30,student,Okay,00:04:00
epubcao,31,tutor,Uh-huh. And what would you do next?,00:04:08
epubcao,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
epubcao,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
epubcao,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
epubcao,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
epubcao,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
epubcao,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
epubcao,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
epubcao,39,tutor,Can you talk me through how you got that answer?,00:05:12
epubcao,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
epubcao,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
epubcao,42,student,Yes,00:05:36
epubcao,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
epubcao,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
