session_id,utterance_id,role,content,timestamp
gedzmik,0,background,[unclear],00:00:00
gedzmik,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
gedzmik,2,student,"Yes, I think so.",00:00:16
gedzmik,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
gedzmik,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
gedzmik,5,tutor,Can you talk me through how you got that answer?,00:00:40
gedzmik,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
gedzmik,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
gedzmik,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
gedzmik,9,tutor,What do you notice about these two numbers?,00:01:12
gedzmik,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
gedzmik,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
gedzmik,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
gedzmik,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
gedzmik,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
gedzmik,15,tutor,Can you talk me through how you got that answer?,00:02:00
gedzmik,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
gedzmik,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
gedzmik,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
gedzmik,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
gedzmik,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
gedzmik,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
gedzmik,22,student,No,00:02:56
gedzmik,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
gedzmik,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
gedzmik,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
gedzmik,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
gedzmik,27,tutor,Can you talk me through how you got that answer?,00:03:36
gedzmik,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
gedzmik,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
gedzmik,30,student,Okay,00:04:00
gedzmik,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
gedzmik,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
gedzmik,33,tutor,What do you notice about these two numbers?,00:04:24
gedzmik,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
gedzmik,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
gedzmik,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
gedzmik,37,tutor,What do you notice about these two numbers?,00:04:56
gedzmik,38,student,12.,00:05:04
gedzmik,39,tutor,What do you notice about these two numbers?,00:05:12
gedzmik,40,student,300?,00:05:20
gedzmik,41,tutor,Uh-huh. And what would you do next?,00:05:28
gedzmik,42,student,12.,00:05:36
gedzmik,43,tutor,What do you notice about these two numbers?,00:05:44
gedzmik,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
gedzmik,45,tutor,Can you talk me through how you got that answer?,00:06:00
gedzmik,46,student,75.,00:06:08
gedzmik,47,tutor,What do you notice about these two numbers?,00:06:16
gedzmik,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
gedzmik,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
gedzmik,50,student,75.,00:06:40
gedzmik,51,tutor,Uh-huh. And what would you do next?,00:06:48
gedzmik,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
gedzmik,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
gedzmik,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
gedzmik,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
gedzmik,56,student,Maybe I should compare them as decimals first.,00:07:28
gedzmik,57,tutor,Uh-huh. And what would you do next?,00:07:36
gedzmik,58,student,Half?,00:07:44
gedzmik,59,tutor,What do you notice about these two numbers?,00:07:52
gedzmik,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
gedzmik,61,tutor,What do you notice about these two numbers?,00:08:08
gedzmik,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
gedzmik,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
gedzmik,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
gedzmik,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
gedzmik,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
gedzmik,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
gedzmik,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
gedzmik,69,tutor,What do you notice about these two numbers?,00:09:12
gedzmik,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
gedzmik,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
gedzmik,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
