session_id,utterance_id,role,content,timestamp
nnsmnqk,0,background,[unclear],00:00:00
nnsmnqk,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
nnsmnqk,2,student,"Yes, I think so.",00:00:16
nnsmnqk,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
nnsmnqk,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
nnsmnqk,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
nnsmnqk,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
nnsmnqk,7,tutor,Uh-huh. And what would you do next?,00:00:56
nnsmnqk,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
nnsmnqk,9,tutor,Uh-huh. And what would you do next?,00:01:12
nnsmnqk,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
nnsmnqk,11,tutor,Uh-huh. And what would you do next?,00:01:28
nnsmnqk,12,student,6?,00:01:36
nnsmnqk,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
nnsmnqk,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
nnsmnqk,15,tutor,What do you notice about these two numbers?,00:02:00
nnsmnqk,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
nnsmnqk,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
nnsmnqk,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
nnsmnqk,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
nnsmnqk,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
nnsmnqk,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
nnsmnqk,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
nnsmnqk,23,tutor,Can you talk me through how you got that answer?,00:03:04
nnsmnqk,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
nnsmnqk,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
nnsmnqk,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
nnsmnqk,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
nnsmnqk,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
nnsmnqk,29,tutor,What do you notice about these two numbers?,00:03:52
nnsmnqk,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
nnsmnqk,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
nnsmnqk,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
nnsmnqk,33,tutor,What do you notice about these two numbers?,00:04:24
nnsmnqk,34,student,Maybe I should compare them as decimals first.,00:04:32
nnsmnqk,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
nnsmnqk,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
nnsmnqk,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
nnsmnqk,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
nnsmnqk,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
nnsmnqk,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
nnsmnqk,41,tutor,Uh-huh. And what would you do next?,00:05:28
