session_id,utterance_id,role,content,timestamp
abzwsvb,0,background,[unclear],00:00:00
abzwsvb,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
abzwsvb,2,student,"Yes, I think so.",00:00:16
abzwsvb,3,tutor,Can you talk me through how you got that answer?,00:00:24
abzwsvb,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
abzwsvb,5,tutor,Uh-huh. And what would you do next?,00:00:40
abzwsvb,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
abzwsvb,7,tutor,Can you talk me through how you got that answer?,00:00:56
abzwsvb,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
abzwsvb,9,tutor,Uh-huh. And what would you do next?,00:01:12
abzwsvb,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
abzwsvb,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
abzwsvb,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
abzwsvb,13,tutor,Uh-huh. And what would you do next?,00:01:44
abzwsvb,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
abzwsvb,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
abzwsvb,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
abzwsvb,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
abzwsvb,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
abzwsvb,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
abzwsvb,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
abzwsvb,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
abzwsvb,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
abzwsvb,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
abzwsvb,24,student,6?,00:03:12
abzwsvb,25,tutor,Can you talk me through how you got that answer?,00:03:20
abzwsvb,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
abzwsvb,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
abzwsvb,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
abzwsvb,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
abzwsvb,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
abzwsvb,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
abzwsvb,32,student,Half?,00:04:16
