session_id,utterance_id,role,content,timestamp
iyvimnt,0,background,[unclear],00:00:00
iyvimnt,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
iyvimnt,2,student,"Yes, I think so.",00:00:16
iyvimnt,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
iyvimnt,4,student,12.,00:00:32
iyvimnt,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
iyvimnt,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
iyvimnt,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
iyvimnt,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
iyvimnt,9,tutor,What do you notice about these two numbers?,00:01:12
iyvimnt,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
iyvimnt,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
iyvimnt,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
iyvimnt,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
iyvimnt,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
iyvimnt,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
iyvimnt,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
iyvimnt,17,tutor,Can you talk me through how you got that answer?,00:02:16
iyvimnt,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
iyvimnt,19,tutor,What do you notice about these two numbers?,00:02:32
iyvimnt,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
iyvimnt,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
iyvimnt,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
iyvimnt,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
iyvimnt,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
iyvimnt,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
iyvimnt,26,student,75.,00:03:28
iyvimnt,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
iyvimnt,28,student,300?,00:03:44
iyvimnt,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
iyvimnt,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
