session_id,utterance_id,role,content,timestamp
kbiwwar,0,background,[unclear],00:00:00
kbiwwar,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
kbiwwar,2,student,"Yes, I think so.",00:00:16
kbiwwar,3,tutor,Uh-huh. And what would you do next?,00:00:24
kbiwwar,4,student,No,00:00:32
kbiwwar,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
kbiwwar,6,student,Maybe I should compare them as decimals first.,00:00:48
kbiwwar,7,tutor,Can you talk me through how you got that answer?,00:00:56
kbiwwar,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
kbiwwar,9,tutor,Uh-huh. And what would you do next?,00:01:12
kbiwwar,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
kbiwwar,11,tutor,Uh-huh. And what would you do next?,00:01:28
kbiwwar,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
kbiwwar,13,tutor,Can you talk me through how you got that answer?,00:01:44
kbiwwar,14,student,Maybe I should compare them as decimals first.,00:01:52
kbiwwar,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
kbiwwar,16,student,12.,00:02:08
kbiwwar,17,tutor,Uh-huh. And what would you do next?,00:02:16
kbiwwar,18,student,Maybe I should compare them as decimals first.,00:02:24
kbiwwar,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
kbiwwar,20,student,6?,00:02:40
kbiwwar,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
kbiwwar,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
kbiwwar,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
kbiwwar,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
kbiwwar,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
kbiwwar,26,student,6?,00:03:28
kbiwwar,27,tutor,Can you talk me through how you got that answer?,00:03:36
kbiwwar,28,student,Maybe I should compare them as decimals first.,00:03:44
kbiwwar,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
