session_id,utterance_id,role,content,timestamp
hzhxyrd,0,background,[unclear],00:00:00
hzhxyrd,1,tutor,"Hello, are you ready to get started today?",00:00:08
hzhxyrd,2,student,"Yes, I think so.",00:00:16
hzhxyrd,3,tutor,Uh-huh. And what would you do next?,00:00:24
hzhxyrd,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
hzhxyrd,5,tutor,What do you notice about these two numbers?,00:00:40
hzhxyrd,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
hzhxyrd,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
hzhxyrd,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
hzhxyrd,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
hzhxyrd,10,student,Yes,00:01:20
hzhxyrd,11,tutor,Can you talk me through how you got that answer?,00:01:28
hzhxyrd,12,student,75.,00:01:36
hzhxyrd,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
hzhxyrd,14,student,Maybe I should compare them as decimals first.,00:01:52
hzhxyrd,15,tutor,What do you notice about these two numbers?,00:02:00
hzhxyrd,16,student,No,00:02:08
hzhxyrd,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
hzhxyrd,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
hzhxyrd,19,tutor,Uh-huh. And what would you do next?,00:02:32
hzhxyrd,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
hzhxyrd,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
hzhxyrd,22,student,Okay,00:02:56
hzhxyrd,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
hzhxyrd,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
hzhxyrd,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
hzhxyrd,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
hzhxyrd,27,tutor,What do you notice about these two numbers?,00:03:36
hzhxyrd,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
hzhxyrd,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
hzhxyrd,30,student,Maybe I should compare them as decimals first.,00:04:00
hzhxyrd,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
hzhxyrd,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
hzhxyrd,33,tutor,Uh-huh. And what would you do next?,00:04:24
hzhxyrd,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
hzhxyrd,35,tutor,What do you notice about these two numbers?,00:04:40
hzhxyrd,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
hzhxyrd,37,tutor,Uh-huh. And what would you do next?,00:04:56
hzhxyrd,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
hzhxyrd,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
hzhxyrd,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
hzhxyrd,41,tutor,Can you talk me through how you got that answer?,00:05:28
hzhxyrd,42,student,Yes,00:05:36
hzhxyrd,43,tutor,Can you talk me through how you got that answer?,00:05:44
hzhxyrd,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
hzhxyrd,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
hzhxyrd,46,student,Maybe I should compare them as decimals first.,00:06:08
hzhxyrd,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
hzhxyrd,48,student,No,00:06:24
hzhxyrd,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
hzhxyrd,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
hzhxyrd,51,tutor,Uh-huh. And what would you do next?,00:06:48
hzhxyrd,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
hzhxyrd,53,tutor,What do you notice about these two numbers?,00:07:04
hzhxyrd,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
hzhxyrd,55,tutor,What do you notice about these two numbers?,00:07:20
hzhxyrd,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
hzhxyrd,57,tutor,What do you notice about these two numbers?,00:07:36
hzhxyrd,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
hzhxyrd,59,tutor,Can you talk me through how you got that answer?,00:07:52
hzhxyrd,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
hzhxyrd,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
hzhxyrd,62,student,Is it 4?,00:08:16
hzhxyrd,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
hzhxyrd,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
hzhxyrd,65,tutor,Can you talk me through how you got that answer?,00:08:40
hzhxyrd,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
hzhxyrd,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
hzhxyrd,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
hzhxyrd,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
