session_id,utterance_id,role,content,timestamp
gewijbl,0,background,[unclear],00:00:00
gewijbl,1,tutor,"Hello, are you ready to get started today?",00:00:08
gewijbl,2,student,"Yes, I think so.",00:00:16
gewijbl,3,tutor,What do you notice about these two numbers?,00:00:24
gewijbl,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
gewijbl,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
gewijbl,6,student,Is it 4?,00:00:48
gewijbl,7,tutor,What do you notice about these two numbers?,00:00:56
gewijbl,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
gewijbl,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
gewijbl,10,student,Okay,00:01:20
gewijbl,11,tutor,Uh-huh. And what would you do next?,00:01:28
gewijbl,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
gewijbl,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
gewijbl,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
gewijbl,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
gewijbl,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
gewijbl,17,tutor,Uh-huh. And what would you do next?,00:02:16
gewijbl,18,student,Maybe I should compare them as decimals first.,00:02:24
gewijbl,19,tutor,What do you notice about these two numbers?,00:02:32
gewijbl,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
gewijbl,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
gewijbl,22,student,Maybe I should compare them as decimals first.,00:02:56
gewijbl,23,tutor,Uh-huh. And what would you do next?,00:03:04
gewijbl,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
gewijbl,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
gewijbl,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
gewijbl,27,tutor,Uh-huh. And what would you do next?,00:03:36
gewijbl,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
gewijbl,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
gewijbl,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
gewijbl,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
gewijbl,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
gewijbl,33,tutor,Can you talk me through how you got that answer?,00:04:24
gewijbl,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
gewijbl,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
gewijbl,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
gewijbl,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
gewijbl,38,student,No,00:05:04
gewijbl,39,tutor,What do you notice about these two numbers?,00:05:12
gewijbl,40,student,Is it 4?,00:05:20
gewijbl,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
gewijbl,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
gewijbl,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
gewijbl,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
gewijbl,45,tutor,Uh-huh. And what would you do next?,00:06:00
gewijbl,46,student,12.,00:06:08
