session_id,utterance_id,role,content,timestamp
vgtvvvz,0,background,[unclear],00:00:00
vgtvvvz,1,tutor,"Hello, are you ready to get started today?",00:00:08
vgtvvvz,2,student,"Yes, I think so.",00:00:16
vgtvvvz,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
vgtvvvz,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
vgtvvvz,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
vgtvvvz,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
vgtvvvz,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
vgtvvvz,8,student,Maybe I should compare them as decimals first.,00:01:04
vgtvvvz,9,tutor,Uh-huh. And what would you do next?,00:01:12
vgtvvvz,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
vgtvvvz,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
vgtvvvz,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
vgtvvvz,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
vgtvvvz,14,student,300?,00:01:52
vgtvvvz,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
vgtvvvz,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
vgtvvvz,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
vgtvvvz,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
vgtvvvz,19,tutor,What do you notice about these two numbers?,00:02:32
vgtvvvz,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
vgtvvvz,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
vgtvvvz,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
vgtvvvz,23,tutor,Uh-huh. And what would you do next?,00:03:04
vgtvvvz,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
vgtvvvz,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
vgtvvvz,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
vgtvvvz,27,tutor,Can you talk me through how you got that answer?,00:03:36
vgtvvvz,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
vgtvvvz,29,tutor,Uh-huh. And what would you do next?,00:03:52
vgtvvvz,30,student,12.,00:04:00
vgtvvvz,31,tutor,Uh-huh. And what would you do next?,00:04:08
vgtvvvz,32,student,Maybe I should compare them as decimals first.,00:04:16
vgtvvvz,33,tutor,Can you talk me through how you got that answer?,00:04:24
vgtvvvz,34,student,No,00:04:32
vgtvvvz,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
vgtvvvz,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
vgtvvvz,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
vgtvvvz,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
vgtvvvz,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
vgtvvvz,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
vgtvvvz,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
vgtvvvz,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
vgtvvvz,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
