session_id,utterance_id,role,content,timestamp
hgsgagm,0,background,[unclear],00:00:00
hgsgagm,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
hgsgagm,2,student,"Yes, I think so.",00:00:16
hgsgagm,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
hgsgagm,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
hgsgagm,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
hgsgagm,6,student,Half?,00:00:48
hgsgagm,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
hgsgagm,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
hgsgagm,9,tutor,Can you talk me through how you got that answer?,00:01:12
hgsgagm,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
hgsgagm,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
hgsgagm,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
hgsgagm,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
hgsgagm,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
hgsgagm,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
hgsgagm,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
hgsgagm,17,tutor,Uh-huh. And what would you do next?,00:02:16
hgsgagm,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
hgsgagm,19,tutor,Uh-huh. And what would you do next?,00:02:32
hgsgagm,20,student,75.,00:02:40
hgsgagm,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
hgsgagm,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
hgsgagm,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
hgsgagm,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
hgsgagm,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
hgsgagm,26,student,75.,00:03:28
hgsgagm,27,tutor,Uh-huh. And what would you do next?,00:03:36
hgsgagm,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
hgsgagm,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
hgsgagm,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
hgsgagm,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
hgsgagm,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
hgsgagm,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
hgsgagm,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
hgsgagm,35,tutor,Uh-huh. And what would you do next?,00:04:40
hgsgagm,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
hgsgagm,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
hgsgagm,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
hgsgagm,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
hgsgagm,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
hgsgagm,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
hgsgagm,42,student,Okay,00:05:36
hgsgagm,43,tutor,Can you talk me through how you got that answer?,00:05:44
hgsgagm,44,student,Maybe I should compare them as decimals first.,00:05:52
hgsgagm,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
hgsgagm,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
hgsgagm,47,tutor,What do you notice about these two numbers?,00:06:16
hgsgagm,48,student,No,00:06:24
hgsgagm,49,tutor,Can you talk me through how you got that answer?,00:06:32
hgsgagm,50,student,No,00:06:40
hgsgagm,51,tutor,What do you notice about these two numbers?,00:06:48
hgsgagm,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
hgsgagm,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
hgsgagm,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
hgsgagm,55,tutor,What do you notice about these two numbers?,00:07:20
hgsgagm,56,student,Maybe I should compare them as decimals first.,00:07:28
hgsgagm,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
hgsgagm,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
hgsgagm,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
hgsgagm,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
hgsgagm,61,tutor,Uh-huh. And what would you do next?,00:08:08
hgsgagm,62,student,Maybe I should compare them as decimals first.,00:08:16
hgsgagm,63,tutor,Uh-huh. And what would you do next?,00:08:24
hgsgagm,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
hgsgagm,65,tutor,Uh-huh. And what would you do next?,00:08:40
hgsgagm,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
hgsgagm,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
hgsgagm,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
hgsgagm,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
hgsgagm,70,student,12.,00:09:20
hgsgagm,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
hgsgagm,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
hgsgagm,73,tutor,Uh-huh. And what would you do next?,00:09:44
hgsgagm,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
hgsgagm,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
hgsgagm,76,student,Maybe I should compare them as decimals first.,00:10:08
hgsgagm,77,tutor,What do you notice about these two numbers?,00:10:16
hgsgagm,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
hgsgagm,79,tutor,What do you notice about these two numbers?,00:10:32
hgsgagm,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
hgsgagm,81,tutor,Can you talk me through how you got that answer?,00:10:48
hgsgagm,82,student,Yes,00:10:56
hgsgagm,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
hgsgagm,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
hgsgagm,85,tutor,Uh-huh. And what would you do next?,00:11:20
hgsgagm,86,student,Maybe I should compare them as decimals first.,00:11:28
hgsgagm,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
hgsgagm,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
hgsgagm,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
hgsgagm,90,student,Maybe I should compare them as decimals first.,00:12:00
hgsgagm,91,tutor,What do you notice about these two numbers?,00:12:08
hgsgagm,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
hgsgagm,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
hgsgagm,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
hgsgagm,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
hgsgagm,96,student,Maybe I should compare them as decimals first.,00:12:48
hgsgagm,97,tutor,What do you notice about these two numbers?,00:12:56
hgsgagm,98,student,Maybe I should compare them as decimals first.,00:13:04
hgsgagm,99,tutor,Can you talk me through how you got that answer?,00:13:12
hgsgagm,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
hgsgagm,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
hgsgagm,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
hgsgagm,103,tutor,Can you talk me through how you got that answer?,00:13:44
hgsgagm,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
hgsgagm,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
hgsgagm,106,student,Maybe I should compare them as decimals first.,00:14:08
hgsgagm,107,tutor,Can you talk me through how you got that answer?,00:14:16
hgsgagm,108,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:24
hgsgagm,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
hgsgagm,110,student,I'm not sure. Is it because 10 has one zero?,00:14:40
hgsgagm,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
hgsgagm,112,student,6?,00:14:56
hgsgagm,113,tutor,So let me ask you first. Do you know what a fact family is?,00:15:04
hgsgagm,114,student,6?,00:15:12
hgsgagm,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
hgsgagm,116,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:28
hgsgagm,117,tutor,Uh-huh. And what would you do next?,00:15:36
hgsgagm,118,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:44
hgsgagm,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
hgsgagm,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
hgsgagm,121,tutor,Remember what we said about the denominator. What happens here?,00:16:08
hgsgagm,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
hgsgagm,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
hgsgagm,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
