session_id,utterance_id,role,content,timestamp
qlnyskl,0,background,[unclear],00:00:00
qlnyskl,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
qlnyskl,2,student,"Yes, I think so.",00:00:16
qlnyskl,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
qlnyskl,4,student,6?,00:00:32
qlnyskl,5,tutor,Uh-huh. And what would you do next?,00:00:40
qlnyskl,6,student,Yes,00:00:48
qlnyskl,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
qlnyskl,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
qlnyskl,9,tutor,Uh-huh. And what would you do next?,00:01:12
qlnyskl,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
qlnyskl,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
qlnyskl,12,student,Okay,00:01:36
qlnyskl,13,tutor,What do you notice about these two numbers?,00:01:44
qlnyskl,14,student,No,00:01:52
qlnyskl,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
qlnyskl,16,student,6?,00:02:08
qlnyskl,17,tutor,Can you talk me through how you got that answer?,00:02:16
qlnyskl,18,student,12.,00:02:24
qlnyskl,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
qlnyskl,20,student,300?,00:02:40
qlnyskl,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
qlnyskl,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
qlnyskl,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
qlnyskl,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
qlnyskl,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
qlnyskl,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
qlnyskl,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
qlnyskl,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
qlnyskl,29,tutor,What do you notice about these two numbers?,00:03:52
qlnyskl,30,student,Maybe I should compare them as decimals first.,00:04:00
qlnyskl,31,tutor,Can you talk me through how you got that answer?,00:04:08
qlnyskl,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
qlnyskl,33,tutor,Can you talk me through how you got that answer?,00:04:24
qlnyskl,34,student,Half?,00:04:32
qlnyskl,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
qlnyskl,36,student,Half?,00:04:48
qlnyskl,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
qlnyskl,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
qlnyskl,39,tutor,What do you notice about these two numbers?,00:05:12
qlnyskl,40,student,Half?,00:05:20
qlnyskl,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
qlnyskl,42,student,Half?,00:05:36
qlnyskl,43,tutor,Can you talk me through how you got that answer?,00:05:44
qlnyskl,44,student,75.,00:05:52
qlnyskl,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
qlnyskl,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
qlnyskl,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
qlnyskl,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
qlnyskl,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
qlnyskl,50,student,300?,00:06:40
qlnyskl,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
qlnyskl,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
qlnyskl,53,tutor,What do you notice about these two numbers?,00:07:04
qlnyskl,54,student,Half?,00:07:12
qlnyskl,55,tutor,What do you notice about these two numbers?,00:07:20
qlnyskl,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
qlnyskl,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
qlnyskl,58,student,Half?,00:07:44
qlnyskl,59,tutor,What do you notice about these two numbers?,00:07:52
qlnyskl,60,student,300?,00:08:00
qlnyskl,61,tutor,Uh-huh. And what would you do next?,00:08:08
qlnyskl,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
qlnyskl,63,tutor,Uh-huh. And what would you do next?,00:08:24
qlnyskl,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
qlnyskl,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
qlnyskl,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
qlnyskl,67,tutor,What do you notice about these two numbers?,00:08:56
qlnyskl,68,student,Yes,00:09:04
qlnyskl,69,tutor,What do you notice about these two numbers?,00:09:12
qlnyskl,70,student,Half?,00:09:20
qlnyskl,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
qlnyskl,72,student,75.,00:09:36
qlnyskl,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
qlnyskl,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
qlnyskl,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
