session_id,utterance_id,role,content,timestamp
fyybjkk,0,background,[unclear],00:00:00
fyybjkk,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
fyybjkk,2,student,"Yes, I think so.",00:00:16
fyybjkk,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
fyybjkk,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
fyybjkk,5,tutor,What do you notice about these two numbers?,00:00:40
fyybjkk,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
fyybjkk,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
fyybjkk,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
fyybjkk,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
fyybjkk,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
fyybjkk,11,tutor,Uh-huh. And what would you do next?,00:01:28
fyybjkk,12,student,Maybe I should compare them as decimals first.,00:01:36
fyybjkk,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
fyybjkk,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
fyybjkk,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
fyybjkk,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
fyybjkk,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
fyybjkk,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
fyybjkk,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
fyybjkk,20,student,No,00:02:40
fyybjkk,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
fyybjkk,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
fyybjkk,23,tutor,Uh-huh. And what would you do next?,00:03:04
fyybjkk,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
fyybjkk,25,tutor,What do you notice about these two numbers?,00:03:20
fyybjkk,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
fyybjkk,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
fyybjkk,28,student,Maybe I should compare them as decimals first.,00:03:44
fyybjkk,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
fyybjkk,30,student,No,00:04:00
fyybjkk,31,tutor,Can you talk me through how you got that answer?,00:04:08
fyybjkk,32,student,Okay,00:04:16
fyybjkk,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
fyybjkk,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
fyybjkk,35,tutor,Can you talk me through how you got that answer?,00:04:40
fyybjkk,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
fyybjkk,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
fyybjkk,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
fyybjkk,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
fyybjkk,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
fyybjkk,41,tutor,Can you talk me through how you got that answer?,00:05:28
fyybjkk,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
fyybjkk,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
fyybjkk,44,student,Okay,00:05:52
fyybjkk,45,tutor,What do you notice about these two numbers?,00:06:00
fyybjkk,46,student,12.,00:06:08
fyybjkk,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
fyybjkk,48,student,Yes,00:06:24
fyybjkk,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
fyybjkk,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
fyybjkk,51,tutor,What do you notice about these two numbers?,00:06:48
fyybjkk,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
fyybjkk,53,tutor,Can you talk me through how you got that answer?,00:07:04
fyybjkk,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
fyybjkk,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
