session_id,utterance_id,role,content,timestamp
rbnltft,0,background,[unclear],00:00:00
rbnltft,1,tutor,"Hello, are you ready to get started today?",00:00:08
rbnltft,2,student,"Yes, I think so.",00:00:16
rbnltft,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
rbnltft,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
rbnltft,5,tutor,What do you notice about these two numbers?,00:00:40
rbnltft,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
rbnltft,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
rbnltft,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
rbnltft,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
rbnltft,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
rbnltft,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
rbnltft,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
rbnltft,13,tutor,Uh-huh. And what would you do next?,00:01:44
rbnltft,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
rbnltft,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
rbnltft,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
rbnltft,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
rbnltft,18,student,Maybe I should compare them as decimals first.,00:02:24
rbnltft,19,tutor,What do you notice about these two numbers?,00:02:32
rbnltft,20,student,Maybe I should compare them as decimals first.,00:02:40
rbnltft,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
rbnltft,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
rbnltft,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
rbnltft,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
rbnltft,25,tutor,What do you notice about these two numbers?,00:03:20
rbnltft,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
rbnltft,27,tutor,Can you talk me through how you got that answer?,00:03:36
rbnltft,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
rbnltft,29,tutor,Can you talk me through how you got that answer?,00:03:52
rbnltft,30,student,Yes,00:04:00
rbnltft,31,tutor,What do you notice about these two numbers?,00:04:08
rbnltft,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
rbnltft,33,tutor,Can you talk me through how you got that answer?,00:04:24
rbnltft,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
rbnltft,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
rbnltft,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
rbnltft,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
rbnltft,38,student,No,00:05:04
rbnltft,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
rbnltft,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
rbnltft,41,tutor,Can you talk me through how you got that answer?,00:05:28
rbnltft,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
rbnltft,43,tutor,Uh-huh. And what would you do next?,00:05:44
rbnltft,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
rbnltft,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
rbnltft,46,student,Okay,00:06:08
