session_id,utterance_id,role,content,timestamp
rzmxzoc,0,background,[unclear],00:00:00
rzmxzoc,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
rzmxzoc,2,student,"Yes, I think so.",00:00:16
rzmxzoc,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
rzmxzoc,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
rzmxzoc,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
rzmxzoc,6,student,Maybe I should compare them as decimals first.,00:00:48
rzmxzoc,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
rzmxzoc,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
rzmxzoc,9,tutor,Can you talk me through how you got that answer?,00:01:12
rzmxzoc,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
rzmxzoc,11,tutor,What do you notice about these two numbers?,00:01:28
rzmxzoc,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
rzmxzoc,13,tutor,What do you notice about these two numbers?,00:01:44
rzmxzoc,14,student,Is it 4?,00:01:52
rzmxzoc,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
rzmxzoc,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
rzmxzoc,17,tutor,Uh-huh. And what would you do next?,00:02:16
rzmxzoc,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
rzmxzoc,19,tutor,Can you talk me through how you got that answer?,00:02:32
rzmxzoc,20,student,No,00:02:40
rzmxzoc,21,tutor,What do you notice about these two numbers?,00:02:48
rzmxzoc,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
rzmxzoc,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
rzmxzoc,24,student,Maybe I should compare them as decimals first.,00:03:12
rzmxzoc,25,tutor,Uh-huh. And what would you do next?,00:03:20
rzmxzoc,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
rzmxzoc,27,tutor,Uh-huh. And what would you do next?,00:03:36
rzmxzoc,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
rzmxzoc,29,tutor,Can you talk me through how you got that answer?,00:03:52
rzmxzoc,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
rzmxzoc,31,tutor,What do you notice about these two numbers?,00:04:08
rzmxzoc,32,student,6?,00:04:16
rzmxzoc,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
rzmxzoc,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
rzmxzoc,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
rzmxzoc,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
rzmxzoc,37,tutor,Uh-huh. And what would you do next?,00:04:56
rzmxzoc,38,student,Okay,00:05:04
rzmxzoc,39,tutor,Can you talk me through how you got that answer?,00:05:12
rzmxzoc,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
rzmxzoc,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
rzmxzoc,42,student,12.,00:05:36
rzmxzoc,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
rzmxzoc,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
rzmxzoc,45,tutor,Uh-huh. And what would you do next?,00:06:00
rzmxzoc,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
