session_id,utterance_id,role,content,timestamp
kznjvgx,0,background,[unclear],00:00:00
kznjvgx,1,tutor,"Hello, are you ready to get started today?",00:00:08
kznjvgx,2,student,"Yes, I think so.",00:00:16
kznjvgx,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
kznjvgx,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
kznjvgx,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
kznjvgx,6,student,Yes,00:00:48
kznjvgx,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
kznjvgx,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
kznjvgx,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
kznjvgx,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
kznjvgx,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
kznjvgx,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
kznjvgx,13,tutor,Uh-huh. And what would you do next?,00:01:44
kznjvgx,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
kznjvgx,15,tutor,Can you talk me through how you got that answer?,00:02:00
kznjvgx,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
kznjvgx,17,tutor,Can you talk me through how you got that answer?,00:02:16
kznjvgx,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
kznjvgx,19,tutor,Can you talk me through how you got that answer?,00:02:32
kznjvgx,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
kznjvgx,21,tutor,Uh-huh. And what would you do next?,00:02:48
kznjvgx,22,student,6?,00:02:56
kznjvgx,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
kznjvgx,24,student,Yes,00:03:12
kznjvgx,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
kznjvgx,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
kznjvgx,27,tutor,What do you notice about these two numbers?,00:03:36
kznjvgx,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
kznjvgx,29,tutor,Uh-huh. And what would you do next?,00:03:52
kznjvgx,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
kznjvgx,31,tutor,Can you talk me through how you got that answer?,00:04:08
kznjvgx,32,student,Maybe I should compare them as decimals first.,00:04:16
kznjvgx,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
kznjvgx,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
kznjvgx,35,tutor,Uh-huh. And what would you do next?,00:04:40
kznjvgx,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
kznjvgx,37,tutor,Can you talk me through how you got that answer?,00:04:56
kznjvgx,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
kznjvgx,39,tutor,What do you notice about these two numbers?,00:05:12
kznjvgx,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
kznjvgx,41,tutor,Can you talk me through how you got that answer?,00:05:28
kznjvgx,42,student,Okay,00:05:36
kznjvgx,43,tutor,Can you talk me through how you got that answer?,00:05:44
kznjvgx,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
kznjvgx,45,tutor,Uh-huh. And what would you do next?,00:06:00
kznjvgx,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
kznjvgx,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
kznjvgx,48,student,No,00:06:24
kznjvgx,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
kznjvgx,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
kznjvgx,51,tutor,Uh-huh. And what would you do next?,00:06:48
kznjvgx,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
kznjvgx,53,tutor,Uh-huh. And what would you do next?,00:07:04
kznjvgx,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
kznjvgx,55,tutor,Can you talk me through how you got that answer?,00:07:20
kznjvgx,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
kznjvgx,57,tutor,Uh-huh. And what would you do next?,00:07:36
kznjvgx,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
kznjvgx,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
kznjvgx,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
kznjvgx,61,tutor,Uh-huh. And what would you do next?,00:08:08
kznjvgx,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
kznjvgx,63,tutor,Can you talk me through how you got that answer?,00:08:24
kznjvgx,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
kznjvgx,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
kznjvgx,66,student,Maybe I should compare them as decimals first.,00:08:48
kznjvgx,67,tutor,Uh-huh. And what would you do next?,00:08:56
kznjvgx,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
kznjvgx,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
kznjvgx,70,student,Maybe I should compare them as decimals first.,00:09:20
kznjvgx,71,tutor,What do you notice about these two numbers?,00:09:28
kznjvgx,72,student,Maybe I should compare them as decimals first.,00:09:36
kznjvgx,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
kznjvgx,74,student,Yes,00:09:52
kznjvgx,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
