session_id,utterance_id,role,content,timestamp
vsxtori,0,background,[unclear],00:00:00
vsxtori,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
vsxtori,2,student,"Yes, I think so.",00:00:16
vsxtori,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
vsxtori,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
vsxtori,5,tutor,Can you talk me through how you got that answer?,00:00:40
vsxtori,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
vsxtori,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
vsxtori,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
vsxtori,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
vsxtori,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
vsxtori,11,tutor,Can you talk me through how you got that answer?,00:01:28
vsxtori,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
vsxtori,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
vsxtori,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
vsxtori,15,tutor,Uh-huh. And what would you do next?,00:02:00
vsxtori,16,student,Maybe I should compare them as decimals first.,00:02:08
vsxtori,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
vsxtori,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
vsxtori,19,tutor,Uh-huh. And what would you do next?,00:02:32
vsxtori,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
vsxtori,21,tutor,What do you notice about these two numbers?,00:02:48
vsxtori,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
vsxtori,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
vsxtori,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
vsxtori,25,tutor,What do you notice about these two numbers?,00:03:20
vsxtori,26,student,Maybe I should compare them as decimals first.,00:03:28
vsxtori,27,tutor,Can you talk me through how you got that answer?,00:03:36
vsxtori,28,student,12.,00:03:44
vsxtori,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
vsxtori,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
vsxtori,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
vsxtori,32,student,6?,00:04:16
vsxtori,33,tutor,Uh-huh. And what would you do next?,00:04:24
vsxtori,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
vsxtori,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
vsxtori,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
vsxtori,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
vsxtori,38,student,Maybe I should compare them as decimals first.,00:05:04
vsxtori,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
vsxtori,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
