session_id,utterance_id,role,content,timestamp
klpgfju,0,background,[unclear],00:00:00
klpgfju,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
klpgfju,2,student,"Yes, I think so.",00:00:16
klpgfju,3,tutor,Can you talk me through how you got that answer?,00:00:24
klpgfju,4,student,Maybe I should compare them as decimals first.,00:00:32
klpgfju,5,tutor,Can you talk me through how you got that answer?,00:00:40
klpgfju,6,student,Maybe I should compare them as decimals first.,00:00:48
klpgfju,7,tutor,What do you notice about these two numbers?,00:00:56
klpgfju,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
klpgfju,9,tutor,What do you notice about these two numbers?,00:01:12
klpgfju,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
klpgfju,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
klpgfju,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
klpgfju,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
klpgfju,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
klpgfju,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
klpgfju,16,student,300?,00:02:08
klpgfju,17,tutor,Uh-huh. And what would you do next?,00:02:16
klpgfju,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
klpgfju,19,tutor,What do you notice about these two numbers?,00:02:32
klpgfju,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
klpgfju,21,tutor,Can you talk me through how you got that answer?,00:02:48
klpgfju,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
klpgfju,23,tutor,Can you talk me through how you got that answer?,00:03:04
klpgfju,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
klpgfju,25,tutor,Uh-huh. And what would you do next?,00:03:20
klpgfju,26,student,Maybe I should compare them as decimals first.,00:03:28
klpgfju,27,tutor,Uh-huh. And what would you do next?,00:03:36
klpgfju,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
klpgfju,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
klpgfju,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
klpgfju,31,tutor,Can you talk me through how you got that answer?,00:04:08
klpgfju,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
klpgfju,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
klpgfju,34,student,Maybe I should compare them as decimals first.,00:04:32
klpgfju,35,tutor,What do you notice about these two numbers?,00:04:40
klpgfju,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
klpgfju,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
klpgfju,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
klpgfju,39,tutor,Can you talk me through how you got that answer?,00:05:12
klpgfju,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
klpgfju,41,tutor,Can you talk me through how you got that answer?,00:05:28
klpgfju,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
klpgfju,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
klpgfju,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
klpgfju,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
klpgfju,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
klpgfju,47,tutor,Can you talk me through how you got that answer?,00:06:16
klpgfju,48,student,12.,00:06:24
klpgfju,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
klpgfju,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
klpgfju,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
klpgfju,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
klpgfju,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
klpgfju,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
klpgfju,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
klpgfju,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
klpgfju,57,tutor,Can you talk me through how you got that answer?,00:07:36
klpgfju,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
klpgfju,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
klpgfju,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
klpgfju,61,tutor,What do you notice about these two numbers?,00:08:08
klpgfju,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
klpgfju,63,tutor,Can you talk me through how you got that answer?,00:08:24
klpgfju,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
klpgfju,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
klpgfju,66,student,No,00:08:48
klpgfju,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
klpgfju,68,student,Maybe I should compare them as decimals first.,00:09:04
klpgfju,69,tutor,What do you notice about these two numbers?,00:09:12
klpgfju,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
klpgfju,71,tutor,What do you notice about these two numbers?,00:09:28
klpgfju,72,student,Okay,00:09:36
klpgfju,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
klpgfju,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
klpgfju,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
klpgfju,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
klpgfju,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
klpgfju,78,student,12.,00:10:24
klpgfju,79,tutor,Uh-huh. And what would you do next?,00:10:32
klpgfju,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
klpgfju,81,tutor,What do you notice about these two numbers?,00:10:48
klpgfju,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
klpgfju,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
klpgfju,84,student,Half?,00:11:12
klpgfju,85,tutor,What do you notice about these two numbers?,00:11:20
klpgfju,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
klpgfju,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
klpgfju,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
klpgfju,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
klpgfju,90,student,6?,00:12:00
klpgfju,91,tutor,Let's try a similar one. What is 30 times 4?,00:12:08
klpgfju,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
klpgfju,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
klpgfju,94,student,300?,00:12:32
klpgfju,95,tutor,Can you talk me through how you got that answer?,00:12:40
klpgfju,96,student,I'm not sure. Is it because 10 has one zero?,00:12:48
klpgfju,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
klpgfju,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
klpgfju,99,tutor,Uh-huh. And what would you do next?,00:13:12
klpgfju,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
klpgfju,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
klpgfju,102,student,Maybe I should compare them as decimals first.,00:13:36
klpgfju,103,tutor,Remember what we said about the denominator. What happens here?,00:13:44
klpgfju,104,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:52
klpgfju,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
klpgfju,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
klpgfju,107,tutor,Uh-huh. And what would you do next?,00:14:16
klpgfju,108,student,I think we need to make the bottom numbers the same before we add.,00:14:24
klpgfju,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
klpgfju,110,student,I'm not sure. Is it because 10 has one zero?,00:14:40
klpgfju,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
klpgfju,112,student,Half?,00:14:56
klpgfju,113,tutor,Uh-huh. And what would you do next?,00:15:04
klpgfju,114,student,Maybe I should compare them as decimals first.,00:15:12
klpgfju,115,tutor,Can you talk me through how you got that answer?,00:15:20
klpgfju,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
klpgfju,117,tutor,Can you talk me through how you got that answer?,00:15:36
klpgfju,118,student,Maybe I should compare them as decimals first.,00:15:44
klpgfju,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
klpgfju,120,student,Half?,00:16:00
klpgfju,121,tutor,Uh-huh. And what would you do next?,00:16:08
klpgfju,122,student,I'm not sure. Is it because 10 has one zero?,00:16:16
klpgfju,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
klpgfju,124,student,12.,00:16:32
klpgfju,125,tutor,Let's try a similar one. What is 30 times 4?,00:16:40
klpgfju,126,student,"I would divide it by 100, so the answer is 3.45.",00:16:48
klpgfju,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
klpgfju,128,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:04
klpgfju,129,tutor,So let me ask you first. Do you know what a fact family is?,00:17:12
klpgfju,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
klpgfju,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
klpgfju,132,student,Maybe I should compare them as decimals first.,00:17:36
klpgfju,133,tutor,"Good thinking. Now, is that answer reasonable?",00:17:44
klpgfju,134,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:52
klpgfju,135,tutor,Uh-huh. And what would you do next?,00:18:00
klpgfju,136,student,Is it 4?,00:18:08
klpgfju,137,tutor,Uh-huh. And what would you do next?,00:18:16
