session_id,utterance_id,role,content,timestamp
sgksyoh,0,background,[unclear],00:00:00
sgksyoh,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
sgksyoh,2,student,"Yes, I think so.",00:00:16
sgksyoh,3,tutor,Can you talk me through how you got that answer?,00:00:24
sgksyoh,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
sgksyoh,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
sgksyoh,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
sgksyoh,7,tutor,Can you talk me through how you got that answer?,00:00:56
sgksyoh,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
sgksyoh,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
sgksyoh,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
sgksyoh,11,tutor,What do you notice about these two numbers?,00:01:28
sgksyoh,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
sgksyoh,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
sgksyoh,14,student,Maybe I should compare them as decimals first.,00:01:52
sgksyoh,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
sgksyoh,16,student,12.,00:02:08
sgksyoh,17,tutor,What do you notice about these two numbers?,00:02:16
sgksyoh,18,student,Half?,00:02:24
sgksyoh,19,tutor,What do you notice about these two numbers?,00:02:32
sgksyoh,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
sgksyoh,21,tutor,Can you talk me through how you got that answer?,00:02:48
sgksyoh,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
sgksyoh,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
sgksyoh,24,student,Half?,00:03:12
sgksyoh,25,tutor,Can you talk me through how you got that answer?,00:03:20
sgksyoh,26,student,75.,00:03:28
sgksyoh,27,tutor,What do you notice about these two numbers?,00:03:36
sgksyoh,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
sgksyoh,29,tutor,Uh-huh. And what would you do next?,00:03:52
sgksyoh,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
sgksyoh,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
sgksyoh,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
sgksyoh,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
sgksyoh,34,student,75.,00:04:32
sgksyoh,35,tutor,What do you notice about these two numbers?,00:04:40
sgksyoh,36,student,6?,00:04:48
sgksyoh,37,tutor,Uh-huh. And what would you do next?,00:04:56
sgksyoh,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
sgksyoh,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
sgksyoh,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
sgksyoh,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
sgksyoh,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
sgksyoh,43,tutor,Can you talk me through how you got that answer?,00:05:44
sgksyoh,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
sgksyoh,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
sgksyoh,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
sgksyoh,47,tutor,What do you notice about these two numbers?,00:06:16
sgksyoh,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
sgksyoh,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
sgksyoh,50,student,Okay,00:06:40
sgksyoh,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
sgksyoh,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
sgksyoh,53,tutor,What do you notice about these two numbers?,00:07:04
sgksyoh,54,student,No,00:07:12
sgksyoh,55,tutor,Uh-huh. And what would you do next?,00:07:20
sgksyoh,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
sgksyoh,57,tutor,Can you talk me through how you got that answer?,00:07:36
sgksyoh,58,student,12.,00:07:44
sgksyoh,59,tutor,Uh-huh. And what would you do next?,00:07:52
sgksyoh,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
sgksyoh,61,tutor,Can you talk me through how you got that answer?,00:08:08
sgksyoh,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
