session_id,utterance_id,role,content,timestamp
rdaostg,0,background,[unclear],00:00:00
rdaostg,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
rdaostg,2,student,"Yes, I think so.",00:00:16
rdaostg,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
rdaostg,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
rdaostg,5,tutor,Can you talk me through how you got that answer?,00:00:40
rdaostg,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
rdaostg,7,tutor,Uh-huh. And what would you do next?,00:00:56
rdaostg,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
rdaostg,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
rdaostg,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
rdaostg,11,tutor,What do you notice about these two numbers?,00:01:28
rdaostg,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
rdaostg,13,tutor,What do you notice about these two numbers?,00:01:44
rdaostg,14,student,300?,00:01:52
rdaostg,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
rdaostg,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
rdaostg,17,tutor,Can you talk me through how you got that answer?,00:02:16
rdaostg,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
rdaostg,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
rdaostg,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
rdaostg,21,tutor,Uh-huh. And what would you do next?,00:02:48
rdaostg,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
rdaostg,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
rdaostg,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
rdaostg,25,tutor,What do you notice about these two numbers?,00:03:20
rdaostg,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
rdaostg,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
rdaostg,28,student,Half?,00:03:44
rdaostg,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
rdaostg,30,student,Maybe I should compare them as decimals first.,00:04:00
rdaostg,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
rdaostg,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
rdaostg,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
rdaostg,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
rdaostg,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
rdaostg,36,student,75.,00:04:48
rdaostg,37,tutor,What do you notice about these two numbers?,00:04:56
rdaostg,38,student,12.,00:05:04
rdaostg,39,tutor,Uh-huh. And what would you do next?,00:05:12
rdaostg,40,student,Is it 4?,00:05:20
rdaostg,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
rdaostg,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
rdaostg,43,tutor,What do you notice about these two numbers?,00:05:44
rdaostg,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
rdaostg,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
rdaostg,46,student,Maybe I should compare them as decimals first.,00:06:08
rdaostg,47,tutor,What do you notice about these two numbers?,00:06:16
rdaostg,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
