session_id,utterance_id,role,content,timestamp
iapcpug,0,background,[unclear],00:00:00
iapcpug,1,tutor,"Hello, are you ready to get started today?",00:00:08
iapcpug,2,student,"Yes, I think so.",00:00:16
iapcpug,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
iapcpug,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
iapcpug,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
iapcpug,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
iapcpug,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
iapcpug,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
iapcpug,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
iapcpug,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
iapcpug,11,tutor,Uh-huh. And what would you do next?,00:01:28
iapcpug,12,student,Maybe I should compare them as decimals first.,00:01:36
iapcpug,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
iapcpug,14,student,No,00:01:52
iapcpug,15,tutor,Can you talk me through how you got that answer?,00:02:00
iapcpug,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
iapcpug,17,tutor,Can you talk me through how you got that answer?,00:02:16
iapcpug,18,student,Maybe I should compare them as decimals first.,00:02:24
iapcpug,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
iapcpug,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
iapcpug,21,tutor,Can you talk me through how you got that answer?,00:02:48
iapcpug,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
iapcpug,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
iapcpug,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
iapcpug,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
iapcpug,26,student,300?,00:03:28
iapcpug,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
iapcpug,28,student,75.,00:03:44
iapcpug,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
iapcpug,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
iapcpug,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
iapcpug,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
iapcpug,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
iapcpug,34,student,Maybe I should compare them as decimals first.,00:04:32
iapcpug,35,tutor,Uh-huh. And what would you do next?,00:04:40
iapcpug,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
iapcpug,37,tutor,Can you talk me through how you got that answer?,00:04:56
iapcpug,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
iapcpug,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
iapcpug,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
iapcpug,41,tutor,What do you notice about these two numbers?,00:05:28
iapcpug,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
iapcpug,43,tutor,Can you talk me through how you got that answer?,00:05:44
iapcpug,44,student,Half?,00:05:52
iapcpug,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
iapcpug,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
iapcpug,47,tutor,Can you talk me through how you got that answer?,00:06:16
iapcpug,48,student,Half?,00:06:24
iapcpug,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
iapcpug,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
iapcpug,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
iapcpug,52,student,No,00:06:56
iapcpug,53,tutor,Can you talk me through how you got that answer?,00:07:04
iapcpug,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
iapcpug,55,tutor,Uh-huh. And what would you do next?,00:07:20
iapcpug,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
iapcpug,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
iapcpug,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
iapcpug,59,tutor,Can you talk me through how you got that answer?,00:07:52
iapcpug,60,student,Yes,00:08:00
iapcpug,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
iapcpug,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
iapcpug,63,tutor,Uh-huh. And what would you do next?,00:08:24
iapcpug,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
iapcpug,65,tutor,Uh-huh. And what would you do next?,00:08:40
iapcpug,66,student,Maybe I should compare them as decimals first.,00:08:48
iapcpug,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
iapcpug,68,student,12.,00:09:04
iapcpug,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
iapcpug,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
iapcpug,71,tutor,What do you notice about these two numbers?,00:09:28
iapcpug,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
iapcpug,73,tutor,What do you notice about these two numbers?,00:09:44
iapcpug,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
iapcpug,75,tutor,Can you talk me through how you got that answer?,00:10:00
iapcpug,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
iapcpug,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
iapcpug,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
iapcpug,79,tutor,What do you notice about these two numbers?,00:10:32
iapcpug,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
iapcpug,81,tutor,Can you talk me through how you got that answer?,00:10:48
iapcpug,82,student,300?,00:10:56
iapcpug,83,tutor,Uh-huh. And what would you do next?,00:11:04
iapcpug,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
iapcpug,85,tutor,Can you talk me through how you got that answer?,00:11:20
iapcpug,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
iapcpug,87,tutor,What do you notice about these two numbers?,00:11:36
iapcpug,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
iapcpug,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
iapcpug,90,student,12.,00:12:00
iapcpug,91,tutor,Can you talk me through how you got that answer?,00:12:08
iapcpug,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
iapcpug,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
iapcpug,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
iapcpug,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
iapcpug,96,student,I'm not sure. Is it because 10 has one zero?,00:12:48
iapcpug,97,tutor,What do you notice about these two numbers?,00:12:56
iapcpug,98,student,Maybe I should compare them as decimals first.,00:13:04
iapcpug,99,tutor,Uh-huh. And what would you do next?,00:13:12
iapcpug,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
iapcpug,101,tutor,What do you notice about these two numbers?,00:13:28
iapcpug,102,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:36
iapcpug,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
iapcpug,104,student,Maybe I should compare them as decimals first.,00:13:52
iapcpug,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
iapcpug,106,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:08
iapcpug,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
iapcpug,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
iapcpug,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
iapcpug,110,student,"I would divide it by 100, so the answer is 3.45.",00:14:40
iapcpug,111,tutor,So let me ask you first. Do you know what a fact family is?,00:14:48
iapcpug,112,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:56
iapcpug,113,tutor,Uh-huh. And what would you do next?,00:15:04
iapcpug,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
iapcpug,115,tutor,Let's try a similar one. What is 30 times 4?,00:15:20
iapcpug,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
iapcpug,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
iapcpug,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
iapcpug,119,tutor,Uh-huh. And what would you do next?,00:15:52
iapcpug,120,student,I think we need to make the bottom numbers the same before we add.,00:16:00
iapcpug,121,tutor,Uh-huh. And what would you do next?,00:16:08
iapcpug,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
iapcpug,123,tutor,Let's try a similar one. What is 30 times 4?,00:16:24
iapcpug,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
iapcpug,125,tutor,"Good thinking. Now, is that answer reasonable?",00:16:40
iapcpug,126,student,Is it 4?,00:16:48
iapcpug,127,tutor,Can you talk me through how you got that answer?,00:16:56
iapcpug,128,student,Is it 4?,00:17:04
