session_id,utterance_id,role,content,timestamp
smijkfq,0,background,[unclear],00:00:00
smijkfq,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
smijkfq,2,student,"Yes, I think so.",00:00:16
smijkfq,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
smijkfq,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
smijkfq,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
smijkfq,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
smijkfq,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
smijkfq,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
smijkfq,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
smijkfq,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
smijkfq,11,tutor,Can you talk me through how you got that answer?,00:01:28
smijkfq,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
smijkfq,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
smijkfq,14,student,Is it 4?,00:01:52
smijkfq,15,tutor,Uh-huh. And what would you do next?,00:02:00
smijkfq,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
smijkfq,17,tutor,Uh-huh. And what would you do next?,00:02:16
smijkfq,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
smijkfq,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
smijkfq,20,student,75.,00:02:40
smijkfq,21,tutor,Uh-huh. And what would you do next?,00:02:48
smijkfq,22,student,75.,00:02:56
smijkfq,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
smijkfq,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
smijkfq,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
smijkfq,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
smijkfq,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
smijkfq,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
smijkfq,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
smijkfq,30,student,Maybe I should compare them as decimals first.,00:04:00
smijkfq,31,tutor,Can you talk me through how you got that answer?,00:04:08
smijkfq,32,student,Maybe I should compare them as decimals first.,00:04:16
smijkfq,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
smijkfq,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
smijkfq,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
smijkfq,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
smijkfq,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
smijkfq,38,student,Maybe I should compare them as decimals first.,00:05:04
smijkfq,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
smijkfq,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
smijkfq,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
smijkfq,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
smijkfq,43,tutor,What do you notice about these two numbers?,00:05:44
smijkfq,44,student,6?,00:05:52
smijkfq,45,tutor,What do you notice about these two numbers?,00:06:00
smijkfq,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
