session_id,utterance_id,role,content,timestamp
ifhclkk,0,background,[unclear],00:00:00
ifhclkk,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ifhclkk,2,student,"Yes, I think so.",00:00:16
ifhclkk,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
ifhclkk,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
ifhclkk,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
ifhclkk,6,student,Maybe I should compare them as decimals first.,00:00:48
ifhclkk,7,tutor,Uh-huh. And what would you do next?,00:00:56
ifhclkk,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
ifhclkk,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
ifhclkk,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
ifhclkk,11,tutor,What do you notice about these two numbers?,00:01:28
ifhclkk,12,student,Maybe I should compare them as decimals first.,00:01:36
ifhclkk,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
ifhclkk,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
ifhclkk,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
ifhclkk,16,student,75.,00:02:08
ifhclkk,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
ifhclkk,18,student,Yes,00:02:24
ifhclkk,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
ifhclkk,20,student,Is it 4?,00:02:40
ifhclkk,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
ifhclkk,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
ifhclkk,23,tutor,Uh-huh. And what would you do next?,00:03:04
ifhclkk,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
ifhclkk,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
ifhclkk,26,student,12.,00:03:28
ifhclkk,27,tutor,What do you notice about these two numbers?,00:03:36
ifhclkk,28,student,12.,00:03:44
ifhclkk,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
ifhclkk,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
ifhclkk,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
ifhclkk,32,student,75.,00:04:16
ifhclkk,33,tutor,What do you notice about these two numbers?,00:04:24
ifhclkk,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
ifhclkk,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
ifhclkk,36,student,12.,00:04:48
ifhclkk,37,tutor,What do you notice about these two numbers?,00:04:56
ifhclkk,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
ifhclkk,39,tutor,Can you talk me through how you got that answer?,00:05:12
ifhclkk,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
ifhclkk,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
ifhclkk,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
ifhclkk,43,tutor,What do you notice about these two numbers?,00:05:44
ifhclkk,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
ifhclkk,45,tutor,Uh-huh. And what would you do next?,00:06:00
ifhclkk,46,student,No,00:06:08
ifhclkk,47,tutor,Can you talk me through how you got that answer?,00:06:16
ifhclkk,48,student,Maybe I should compare them as decimals first.,00:06:24
ifhclkk,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
ifhclkk,50,student,Maybe I should compare them as decimals first.,00:06:40
ifhclkk,51,tutor,What do you notice about these two numbers?,00:06:48
ifhclkk,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
ifhclkk,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
ifhclkk,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
ifhclkk,55,tutor,Can you talk me through how you got that answer?,00:07:20
ifhclkk,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
ifhclkk,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
ifhclkk,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
ifhclkk,59,tutor,Uh-huh. And what would you do next?,00:07:52
ifhclkk,60,student,Maybe I should compare them as decimals first.,00:08:00
ifhclkk,61,tutor,What do you notice about these two numbers?,00:08:08
ifhclkk,62,student,No,00:08:16
ifhclkk,63,tutor,Can you talk me through how you got that answer?,00:08:24
ifhclkk,64,student,Is it 4?,00:08:32
ifhclkk,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
ifhclkk,66,student,Maybe I should compare them as decimals first.,00:08:48
ifhclkk,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
ifhclkk,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
ifhclkk,69,tutor,Uh-huh. And what would you do next?,00:09:12
ifhclkk,70,student,300?,00:09:20
ifhclkk,71,tutor,"Good thinking. Now, is that answer reasonable?",00:09:28
ifhclkk,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
ifhclkk,73,tutor,Can you talk me through how you got that answer?,00:09:44
ifhclkk,74,student,Maybe I should compare them as decimals first.,00:09:52
ifhclkk,75,tutor,Uh-huh. And what would you do next?,00:10:00
ifhclkk,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
ifhclkk,77,tutor,Can you talk me through how you got that answer?,00:10:16
ifhclkk,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
ifhclkk,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
ifhclkk,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
ifhclkk,81,tutor,Can you talk me through how you got that answer?,00:10:48
ifhclkk,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
ifhclkk,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
ifhclkk,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
