session_id,utterance_id,role,content,timestamp
iqdpcqq,0,background,[unclear],00:00:00
iqdpcqq,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
iqdpcqq,2,student,"Yes, I think so.",00:00:16
iqdpcqq,3,tutor,Can you talk me through how you got that answer?,00:00:24
iqdpcqq,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
iqdpcqq,5,tutor,What do you notice about these two numbers?,00:00:40
iqdpcqq,6,student,6?,00:00:48
iqdpcqq,7,tutor,Uh-huh. And what would you do next?,00:00:56
iqdpcqq,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
iqdpcqq,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
iqdpcqq,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
iqdpcqq,11,tutor,Can you talk me through how you got that answer?,00:01:28
iqdpcqq,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
iqdpcqq,13,tutor,What do you notice about these two numbers?,00:01:44
iqdpcqq,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
iqdpcqq,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
iqdpcqq,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
iqdpcqq,17,tutor,Uh-huh. And what would you do next?,00:02:16
iqdpcqq,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
iqdpcqq,19,tutor,Can you talk me through how you got that answer?,00:02:32
iqdpcqq,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
iqdpcqq,21,tutor,What do you notice about these two numbers?,00:02:48
iqdpcqq,22,student,Is it 4?,00:02:56
iqdpcqq,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
iqdpcqq,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
iqdpcqq,25,tutor,Uh-huh. And what would you do next?,00:03:20
iqdpcqq,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
iqdpcqq,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
iqdpcqq,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
iqdpcqq,29,tutor,Uh-huh. And what would you do next?,00:03:52
iqdpcqq,30,student,Maybe I should compare them as decimals first.,00:04:00
iqdpcqq,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
iqdpcqq,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
iqdpcqq,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
iqdpcqq,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
iqdpcqq,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
iqdpcqq,36,student,Is it 4?,00:04:48
iqdpcqq,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
iqdpcqq,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
iqdpcqq,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
iqdpcqq,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
iqdpcqq,41,tutor,Can you talk me through how you got that answer?,00:05:28
iqdpcqq,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
iqdpcqq,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
iqdpcqq,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
iqdpcqq,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
iqdpcqq,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
iqdpcqq,47,tutor,Uh-huh. And what would you do next?,00:06:16
iqdpcqq,48,student,300?,00:06:24
iqdpcqq,49,tutor,What do you notice about these two numbers?,00:06:32
iqdpcqq,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
iqdpcqq,51,tutor,Uh-huh. And what would you do next?,00:06:48
iqdpcqq,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
iqdpcqq,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
iqdpcqq,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
iqdpcqq,55,tutor,What do you notice about these two numbers?,00:07:20
iqdpcqq,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
iqdpcqq,57,tutor,What do you notice about these two numbers?,00:07:36
iqdpcqq,58,student,Maybe I should compare them as decimals first.,00:07:44
iqdpcqq,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
iqdpcqq,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
iqdpcqq,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
iqdpcqq,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
iqdpcqq,63,tutor,What do you notice about these two numbers?,00:08:24
iqdpcqq,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
iqdpcqq,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
iqdpcqq,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
iqdpcqq,67,tutor,What do you notice about these two numbers?,00:08:56
iqdpcqq,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
iqdpcqq,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
iqdpcqq,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
iqdpcqq,71,tutor,Uh-huh. And what would you do next?,00:09:28
iqdpcqq,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
iqdpcqq,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
iqdpcqq,74,student,75.,00:09:52
iqdpcqq,75,tutor,Can you talk me through how you got that answer?,00:10:00
iqdpcqq,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
iqdpcqq,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
iqdpcqq,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
iqdpcqq,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
iqdpcqq,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
iqdpcqq,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
iqdpcqq,82,student,Yes,00:10:56
iqdpcqq,83,tutor,Can you talk me through how you got that answer?,00:11:04
iqdpcqq,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
iqdpcqq,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
iqdpcqq,86,student,Is it 4?,00:11:28
iqdpcqq,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
iqdpcqq,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
iqdpcqq,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
iqdpcqq,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
iqdpcqq,91,tutor,Let's try a similar one. What is 30 times 4?,00:12:08
iqdpcqq,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
iqdpcqq,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
iqdpcqq,94,student,Half?,00:12:32
iqdpcqq,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
iqdpcqq,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
iqdpcqq,97,tutor,Can you talk me through how you got that answer?,00:12:56
iqdpcqq,98,student,6?,00:13:04
iqdpcqq,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
iqdpcqq,100,student,"I would divide it by 100, so the answer is 3.45.",00:13:20
iqdpcqq,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
iqdpcqq,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
iqdpcqq,103,tutor,Uh-huh. And what would you do next?,00:13:44
iqdpcqq,104,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:52
iqdpcqq,105,tutor,Can you talk me through how you got that answer?,00:14:00
iqdpcqq,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
iqdpcqq,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
iqdpcqq,108,student,Half?,00:14:24
iqdpcqq,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
iqdpcqq,110,student,Maybe I should compare them as decimals first.,00:14:40
iqdpcqq,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
iqdpcqq,112,student,Is it 4?,00:14:56
iqdpcqq,113,tutor,So let me ask you first. Do you know what a fact family is?,00:15:04
iqdpcqq,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
iqdpcqq,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
iqdpcqq,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
iqdpcqq,117,tutor,Can you talk me through how you got that answer?,00:15:36
iqdpcqq,118,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:44
iqdpcqq,119,tutor,Can you talk me through how you got that answer?,00:15:52
iqdpcqq,120,student,I think we need to make the bottom numbers the same before we add.,00:16:00
iqdpcqq,121,tutor,Can you talk me through how you got that answer?,00:16:08
