session_id,utterance_id,role,content,timestamp
jqctfxt,0,background,[unclear],00:00:00
jqctfxt,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
jqctfxt,2,student,"Yes, I think so.",00:00:16
jqctfxt,3,tutor,Uh-huh. And what would you do next?,00:00:24
jqctfxt,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
jqctfxt,5,tutor,Uh-huh. And what would you do next?,00:00:40
jqctfxt,6,student,Maybe I should compare them as decimals first.,00:00:48
jqctfxt,7,tutor,Uh-huh. And what would you do next?,00:00:56
jqctfxt,8,student,Maybe I should compare them as decimals first.,00:01:04
jqctfxt,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
jqctfxt,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
jqctfxt,11,tutor,Can you talk me through how you got that answer?,00:01:28
jqctfxt,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
jqctfxt,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
jqctfxt,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
jqctfxt,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
jqctfxt,16,student,Maybe I should compare them as decimals first.,00:02:08
jqctfxt,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
jqctfxt,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
jqctfxt,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
jqctfxt,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
jqctfxt,21,tutor,Can you talk me through how you got that answer?,00:02:48
jqctfxt,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
jqctfxt,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
jqctfxt,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
jqctfxt,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
