session_id,utterance_id,role,content,timestamp
zsytytx,0,background,[unclear],00:00:00
zsytytx,1,tutor,"Hello, are you ready to get started today?",00:00:08
zsytytx,2,student,"Yes, I think so.",00:00:16
zsytytx,3,tutor,Can you talk me through how you got that answer?,00:00:24
zsytytx,4,student,Maybe I should compare them as decimals first.,00:00:32
zsytytx,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
zsytytx,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
zsytytx,7,tutor,Can you talk me through how you got that answer?,00:00:56
zsytytx,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
zsytytx,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
zsytytx,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
zsytytx,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
zsytytx,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
zsytytx,13,tutor,Can you talk me through how you got that answer?,00:01:44
zsytytx,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
zsytytx,15,tutor,Can you talk me through how you got that answer?,00:02:00
zsytytx,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
zsytytx,17,tutor,Uh-huh. And what would you do next?,00:02:16
zsytytx,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
zsytytx,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
zsytytx,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
zsytytx,21,tutor,What do you notice about these two numbers?,00:02:48
zsytytx,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
zsytytx,23,tutor,What do you notice about these two numbers?,00:03:04
zsytytx,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
zsytytx,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
zsytytx,26,student,No,00:03:28
zsytytx,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
zsytytx,28,student,Half?,00:03:44
zsytytx,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
zsytytx,30,student,12.,00:04:00
zsytytx,31,tutor,Uh-huh. And what would you do next?,00:04:08
zsytytx,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
zsytytx,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
zsytytx,34,student,Maybe I should compare them as decimals first.,00:04:32
zsytytx,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
zsytytx,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
